rule_id,initial_topic_id,topic_id,parent_id,name,is_child,definition,seed_status,object_pattern,task_pattern,exclude_title_pattern,required_text_pattern,accepted_documents,candidate_seed_clusters1000,additional_precision_guards
M421.layered,M421.layered,M421.layered,M421,层状及富镍锂电正极材料,True,研究对象须匹配“层状及富镍锂电正极材料”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,nickel.rich|Ni.rich|layered.oxide|NCM|NMC|富镍|高镍|层状氧化物,cathod|positive.electrode|正极,sodium|钠,,3603,T0174|T0447|T0659|T0442|T0951|T0631|T0976|T0257|T0868|T0979,src/decision_guards.py
M341.silicon,M341,M341,M341,硅碳负极材料与制备,False,研究对象须匹配“锂电硅基负极”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,silicon|硅|Si/C|SiOx,anode|负极,solar|光伏|cathode|正极,,2088,T0693|T0305|T0658|T0365|T0717|T0433|T0601|T0243|T0152|T0666,src/decision_guards.py
M279.graphite,M279.graphite,M279.graphite,M279,锂电石墨负极,True,研究对象须匹配“锂电石墨负极”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,graphite|石墨,anode|负极,sodium|钠|graphene|石墨烯,,253,T0685|T0341|T0693|T0365|T0788|T0666|T0999|T0472|T0840|T0045,src/decision_guards.py
M374.multivalent,M374.multivalent,M374.multivalent,M374,镁铝钙多价离子电池,True,研究对象须匹配“镁铝钙多价离子电池”对应对象，且满足所列任务；多任务冲突保留复核。,descriptor_retrieval_only_not_sample_approved,magnesium.ion.batter|aluminum.ion.batter|aluminium.ion.batter|calcium.ion.batter|镁离子电池|铝离子电池|钙离子电池,,,,460,T0453|T0021|T0108,src/decision_guards.py
M374.potassium,M374.potassium,M374.potassium,M374,钾离子电池,True,研究对象须匹配“钾离子电池”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,potassium.ion.batter|钾离子电池,,,,583,T0223,src/decision_guards.py
M327.sulfide_electrolyte,M327.sulfide_electrolyte,M327.sulfide_electrolyte,M327,硫化物固态电解质,True,研究对象须匹配“硫化物固态电解质”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,sulfide|sulphide|硫化物|argyrodite|硫银锗矿,solid.electrolyte|solid.state.electrolyte|固态电解质|固体电解质,lithium.sulfur|锂硫,,457,T0958|T0979|T0447|T0374,src/decision_guards.py
M301.hydrometallurgy,M301.hydrometallurgy,M301.hydrometallurgy,M301,废旧电池湿法回收,True,研究对象须匹配“废旧电池湿法回收”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,"spent.batter|battery.recycl|废旧.{0,8}电池|电池回收",leach|hydrometall|浸出|湿法,,,106,T0687|T0301|T0695,src/decision_guards.py
M301.direct_recycling,M301.direct_recycling,M301.direct_recycling,M301,废旧电池材料直接再生,True,研究对象须匹配“废旧电池材料直接再生”对应对象，且满足所列任务；多任务冲突保留复核。,descriptor_retrieval_only_not_sample_approved,"spent.batter|battery.recycl|废旧.{0,8}电池|电池回收",direct.recycl|direct.regener|relithiat|直接再生|补锂|直接回收,,,5,T0687|T0973|T0063,src/decision_guards.py
M301.disassembly,M301.disassembly,M301.disassembly,M301,废旧电池拆解与物理分离,True,研究对象须匹配“废旧电池拆解与物理分离”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,"spent.batter|battery.recycl|废旧.{0,8}电池|电池回收",disassembl|dismantl|physical.separat|拆解|破碎|物理分离,,,31,T0687,src/decision_guards.py
M055.sizing,M055.sizing,M055.sizing,M055,储能容量配置与选址,True,研究对象须匹配“储能容量配置与选址”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,energy.storage|储能,sizing|capacity.allocation|optimal.placement|容量配置|容量优化|选址,"batter.{0,15}material|电极材料",,590,T0300|T0047|T0172|T0720|T0807|T0862,src/decision_guards.py
M055.dispatch,M055.dispatch,M055.dispatch,M055,储能运行调度与收益,True,研究对象须匹配“储能运行调度与收益”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,energy.storage|储能,dispatch|scheduling|arbitrage|运行调度|套利,microgrid|微电网|integrated.energy|综合能源,,684,T0961|T0300|T0191|T0814|T0897,src/decision_guards.py
M483.integration,M483.integration,M483.integration,M483,储能系统集成与安全装置,True,研究对象须匹配“储能系统集成与安全装置”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,energy.storage.system|energy.storage.cabinet|储能系统|储能柜,integrat|fire.protect|safety|集成|消防|安全,,,107,T0483|T0533|T0300|T0961|T0760|T0900|T0962|T0194|T0684|T0923,src/decision_guards.py
M066.tandem,M066.tandem,M066.tandem,M066,钙钛矿叠层太阳能电池,True,研究对象须匹配“钙钛矿叠层太阳能电池”对应对象，且满足所列任务；多任务冲突保留复核。,keyword_candidate_only,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",tandem|multijunction|multi.junction|叠层|多结,,,1746,T0939|T0220|T0066,src/decision_guards.py
M066.interfaces,M066.interfaces,M066.interfaces,M066,钙钛矿电池界面、钝化与传输层,True,研究对象须匹配“钙钛矿电池界面、钝化与传输层”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",passivat|interface|transport.layer|transport.material|钝化|界面|传输层|传输材料,tandem|叠层|multi.junction|多结,,6900,T0939|T0787|T0243|T0360|T0889|T0158|T0066|T0384|T0220|T0275,src/decision_guards.py
M066.crystallization,M066.crystallization,M066.crystallization,M066,钙钛矿吸收层结晶与成膜,True,研究对象须匹配“钙钛矿吸收层结晶与成膜”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",crystalliz|crystallis|grain.growth|film.formation|结晶|晶粒|成膜,tandem|叠层|transport.layer|传输层,,501,T0787,src/decision_guards.py
M066.stability,M066.stability,M066.stability,M066,钙钛矿电池稳定性与衰减,True,研究对象须匹配“钙钛矿电池稳定性与衰减”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",degradation|moisture.stability|thermal.stability|operational.stability|衰减|湿度稳定|热稳定|运行稳定,tandem|叠层|passivat|钝化|interface|界面,,282,T0939,src/decision_guards.py
M158.polymer,M158.polymer,M158.polymer,M158,聚合物有机太阳能电池,True,研究对象须匹配“聚合物有机太阳能电池”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,polymer.solar.cell|polymer.photovoltaic|聚合物太阳能电池|聚合物光伏,,,,5826,T0158|T0140|T0703,src/decision_guards.py
M158.small_molecule,M158.small_molecule,M158.small_molecule,M158,小分子有机太阳能电池,True,研究对象须匹配“小分子有机太阳能电池”对应对象，且满足所列任务；多任务冲突保留复核。,descriptor_retrieval_only_not_sample_approved,organic.solar.cell|organic.photovoltaic|有机太阳能|有机光伏,small.molecul|小分子,polymer.solar|聚合物太阳能,,1163,T0158|T0974|T0843,src/decision_guards.py
M158.printing,M158.printing,M158.printing,M158,有机光伏印刷与规模制造,True,研究对象须匹配“有机光伏印刷与规模制造”对应对象，且满足所列任务；多任务冲突保留复核。,descriptor_retrieval_only_not_sample_approved,organic.solar.cell|organic.photovoltaic|有机太阳能|有机光伏,roll.to.roll|gravure|slot.die|printing|卷对卷|印刷|狭缝涂布,,,130,T0974|T0912|T0646,src/decision_guards.py
M360.photoanode,M360.photoanode,M360.photoanode,M360,染料敏化电池光阳极,True,研究对象须匹配“染料敏化电池光阳极”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,dye.sensiti[sz]ed|\bDSSC|染料敏化,photoanode|photoelectrode|光阳极|光电极,counter.electrode|对电极,,1665,T0360,src/decision_guards.py
M360.counterelectrode,M360.counterelectrode,M360.counterelectrode,M360,染料敏化电池对电极,True,研究对象须匹配“染料敏化电池对电极”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,dye.sensiti[sz]ed|\bDSSC|染料敏化,counter.electrode|对电极,,,2137,T0534|T0360,src/decision_guards.py
M360.sensitizer,M360.sensitizer,M360.sensitizer,M360,染料敏化电池敏化剂,True,研究对象须匹配“染料敏化电池敏化剂”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,dye.sensiti[sz]ed|\bDSSC|染料敏化,sensitizer|sensitiser|organic.dye|natural.dye|extracted.dye|co.sensiti|敏化剂|有机染料|天然染料|共敏化,counter.electrode|对电极,,2887,T0608|T0326|T0036,src/decision_guards.py
M085.fault,M085.fault,M085.fault,M085,光伏组件故障与缺陷检测,True,研究对象须匹配“光伏组件故障与缺陷检测”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,fault|defect|diagnos|故障|缺陷|诊断,,,1478,T0458|T0157|T0085|T0177|T0513|T0789|T0163|T0639|T0167|T0787,src/decision_guards.py
M085.degradation,M085.degradation,M085.degradation,M085,光伏组件退化与寿命,True,研究对象须匹配“光伏组件退化与寿命”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,degradation|aging|ageing|lifetime|退化|老化|寿命,perovskite|钙钛矿,,400,T0085|T0464|T0672|T0034|T0823|T0961|T0693|T0158|T0140|T0635,src/decision_guards.py
M137.parameters,M137.parameters,M137.parameters,M137,光伏电池与组件模型参数辨识,True,光伏电池或组件电学模型的参数辨识、估计或提取。,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,parameter.identification|parameter.estimation|parameter.extraction|参数辨识|参数估计|参数提取,,,515,T0644|T0248,src/decision_guards.py
M387.power_forecast,M387,M387,M387,光伏发电功率预测方法与装置,False,研究对象须匹配“光伏发电功率预测”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,power.forecast|power.prediction|generation.forecast|generation.prediction|功率预测|发电量预测,,,1470,T0644|T0563|T0177,src/decision_guards.py
M159.irradiance,M159.irradiance,M159.irradiance,M159,太阳辐照度预测估算,True,研究对象须匹配“太阳辐照度预测估算”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,solar.irradian|solar.radiation|太阳辐射|太阳辐照,forecast|predict|estimat|预测|估算|估计,,,3121,T0376|T0159,src/decision_guards.py
M376.measurement,M376.measurement,M376.measurement,M376,太阳辐射测量与仪器,True,研究对象须匹配“太阳辐射测量与仪器”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,solar.irradian|solar.radiation|太阳辐射|太阳辐照,measurement|pyranometer|radiometer|测量|辐射表|辐射计,,,161,T0954,src/decision_guards.py
M239.rooftop,M239.rooftop,M239.rooftop,M239,屋顶与分布式光伏部署,True,研究对象须匹配“屋顶与分布式光伏部署”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,rooftop|distributed|屋顶|分布式,,,579,T0137|T0239|T0672|T0177|T0085|T0961|T0545|T0513|T0445|T0275,src/decision_guards.py
M239.economics,M239.economics,M239.economics,M239,光伏技术经济与投资,True,研究对象须匹配“光伏技术经济与投资”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,techno.economic|levelized.cost|investment|payback|技术经济|平准化|投资回收,rooftop|distributed|屋顶|分布式,,434,T0085|T0974,src/decision_guards.py
M239.agrivoltaics,M239.agrivoltaics,M239.agrivoltaics,M239,农光互补与农光协同,True,研究对象须匹配“农光互补与农光协同”对应对象，且满足所列任务；多任务冲突保留复核。,keyword_candidate_only,agrivoltaic|agro.photovoltaic|农光互补|农光协同,,,,557,T0862|T0239,src/decision_guards.py
M435.pvt,M435.pvt,M435.pvt,M435,光伏光热联合系统,True,研究对象须匹配“光伏光热联合系统”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photovoltaic.thermal|photovoltaic/thermal|光伏光热|PV/T,,,,3173,T0034,src/decision_guards.py
M333.collector,M333.collector,M333.collector,M333,太阳能集热器传热设计,True,研究对象须匹配“太阳能集热器传热设计”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,solar.collector|太阳能集热器,heat.transfer|thermal.performance|design|传热|热性能|设计,,,971,T0679|T0333,src/decision_guards.py
M333.csp,M333.csp,M333.csp,M333,聚光太阳能热发电,True,研究对象须匹配“聚光太阳能热发电”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,concentrated.solar.power|concentrating.solar.power|solar.tower|solar.thermal.power|聚光太阳能|塔式光热|太阳能热发电,,,,2426,T0913|T0435,src/decision_guards.py
M034.water_heating,M034.water_heating,M034.water_heating,M034,太阳能热水与供热装置,True,研究对象须匹配“太阳能热水与供热装置”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,solar|太阳能,water.heat|space.heat|热水|供热|采暖,photovoltaic|光伏,,2447,T0679|T0435|T0546|T0333|T0863|T0239,src/decision_guards.py
M130.manufacturing,M130.manufacturing,M130.manufacturing,M130,光伏电池与组件制造工艺,True,研究对象须匹配“光伏电池与组件制造工艺”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,manufactur|fabrication|laminat|encapsulat|制造|层压|封装,organic|polymer|perovskite|dye.sensiti|有机|聚合物|钙钛矿|染料敏化,,814,T0642|T0147|T0672|T0166|T0085|T0282|T0167|T0534|T0742|T0912,src/decision_guards.py
M166.multijunction,M166.multijunction,M166.multijunction,M166,非钙钛矿多结太阳能电池,True,研究对象须匹配“非钙钛矿多结太阳能电池”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,solar.cell|太阳能电池,multi.junction|multijunction|tandem|多结|叠层,perovskite|钙钛矿,,2129,T0939|T0843|T0742|T0130|T0158,src/decision_guards.py
M010.photocatalytic_h2,M010.photocatalytic_h2,M010.photocatalytic_h2,M010,光催化制氢,True,研究对象须匹配“光催化制氢”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photo(?:electro)?catal|photo.catal|光(?:电)?催化|photodegrad|光降解,hydrogen.evolution|hydrogen.production|hydrogen.generation|\bH2.production|析氢|制氢,carbon.dioxide.reduc|CO2.reduc|二氧化碳还原,,11711,T0561|T0087|T0010|T0289|T0474|T0235|T0204|T0920|T0941|T0131,src/decision_guards.py
M010.biophotolysis,M010.biophotolysis,M010.biophotolysis,M010,光生物制氢,True,研究对象须匹配“光生物制氢”对应对象，且满足所列任务；多任务冲突保留复核。,descriptor_retrieval_only_not_sample_approved,photoferment|biophotolysis|photobiological|光发酵|光生物,hydrogen|氢,,,45,T0136|T0677|T0416,src/decision_guards.py
M036.co2_photo,M036.co2_photo,M036.co2_photo,M036,光催化二氧化碳还原,True,研究对象须匹配“光催化二氧化碳还原”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photo(?:electro)?catal|photo.catal|光(?:电)?催化|photodegrad|光降解,CO2|carbon.dioxide|二氧化碳,,,4770,T0932|T0125,src/decision_guards.py
M112.pollutants,M112.pollutants,M112.pollutants,M112,TiO₂光催化污染物降解,True,研究对象须匹配“TiO₂光催化污染物降解”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,TiO\s*2|titanium.dioxide|二氧化钛,photodegrad|photocatalytic.degrad|photocatalytic.oxid|光催化降解|光降解|pollutant|dye.degrad|污染物|染料降解,,,8762,T0866|T0438|T0308|T0112|T0936|T0584|T0542,src/decision_guards.py
M203.pollutants,M203.pollutants,M203.pollutants,M203,ZnO光催化污染物降解,True,研究对象须匹配“ZnO光催化污染物降解”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bZnO\b|zinc.oxide|氧化锌,photodegrad|photocatalytic.degrad|光催化降解|光降解|dye.degrad|染料降解,,,2695,T0203|T0950|T0933|T0704,src/decision_guards.py
M079.other_pollutants,M079.other_pollutants,M079.other_pollutants,M079,其他材料光催化污染物降解,True,研究对象须匹配“其他材料光催化污染物降解”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photo(?:electro)?catal|photo.catal|光(?:电)?催化|photodegrad|光降解,degrad|pollutant|污染物|降解,TiO\s*2|titanium.dioxide|二氧化钛|\bZnO\b|zinc.oxide|氧化锌,,24294,T0584|T0849|T0235|T0074|T0203|T0438|T0933|T0079|T0087|T0609,src/decision_guards.py
M235.pec_water,M235,M235,M235,半导体光电化学水分解,False,研究对象须匹配“光电化学水分解”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,photoelectrochemical|光电化学,water.splitting|hydrogen|水分解|制氢,,,2686,T0406|T0326|T0010|T0203|T0920,src/decision_guards.py
M256.her,M256,M256,M256,电催化析氢与界面调控,False,研究对象须匹配“电催化析氢”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,electrocatal|electrochemical|电催化|电化学,hydrogen.evolution|析氢|\bHER\b,overall.water.splitting|整体水分解|photocatal|光催化,,4982,T0561|T0145|T0154|T0327|T0426|T0363|T0021|T0829|T0289|T0574,src/decision_guards.py
