topic_index,topic_id,name,parent_id,kind,assigned_documents,inclusive_parent_documents,eligible_leaf_documents,accepted_topic_documents,enabled
70,M070,功能聚合物合成与结构,M070,parent,17650,17650,0,0,True
71,M071,氢能产业与制氢技术经济,M071,parent,10314,11761,0,0,True
72,M072,电极过程与电化学沉积,M072,parent,16800,16800,0,0,True
73,M073,通用防护支撑与安装结构混杂簇073,M073,parent,2048,2048,0,0,True
74,M074,铋基氧化物光催化材料,M074,parent,9178,9178,0,0,True
75,M075,通用催化剂与催化反应工程,M075,parent,18071,18071,0,0,True
76,M076,机电传动与运动执行装置,M076,parent,2866,2866,0,0,True
77,M077,充电连接与通用部件混合,M077,parent,2245,2245,0,0,True
78,M078,燃料电池系统运行控制,M078,parent,2150,2662,0,0,True
79,M079,污染物光催化降解,M079,parent,14060,38354,0,0,True
80,M080,电力市场与售电制度政策,M080,parent,1033,1033,0,0,True
81,M081,智能电网体系与通信,M081,parent,11967,12770,0,0,True
82,M082,配电网电压无功与电能质量,M082,parent,11053,13375,0,0,True
83,M083,电池单体电极及模组结构,M083,parent,4706,4706,0,0,True
84,M084,多类功能薄膜与纳米器件,M084,parent,7945,7945,0,0,True
85,M085,光伏组件性能建模与故障检测,M085,parent,13829,15707,0,0,True
86,M086,制氢储氢与加氢系统,M086,parent,2088,2605,0,0,True
87,M087,污水厌氧处理与产能回收,M087,parent,11007,11287,0,0,True
88,M088,信号处理测量与电力扰动,M088,parent,17989,17989,0,0,True
89,M089,电动汽车充电控制,M089,parent,2994,3833,0,0,True
90,M090,等离子体湍流与不稳定性,M090,parent,11517,11517,0,0,True
91,M091,天然气输配与气价政策,M091,parent,579,579,0,0,True
92,M092,电能变换波浪能与互感器混合,M092,parent,11005,11005,0,0,True
93,M093,晶体缺陷外延与变形,M093,parent,9428,9428,0,0,True
94,M094,泄漏检测与多设备状态监测,M094,parent,3359,3359,0,0,True
95,M095,电力设备通信与控制系统,M095,parent,3299,3299,0,0,True
96,M096,永磁电机与磁路设计,M096,parent,4701,4934,0,0,True
97,M097,建筑与工业冷却节能,M097,parent,10115,10221,0,0,True
98,M098,无人机巡检与电网作业,M098,parent,1654,1654,0,0,True
99,M099,磁重联与磁场材料效应,M099,parent,13025,13025,0,0,True
100,M100,人类世生态危机与社会转型,M100,parent,9450,9450,0,0,True
101,M101,电力设备与线路故障检测、定位和诊断,M101,parent,21019,24891,0,0,True
102,M102,金属基复合材料与耐磨制造,M102,parent,10563,10563,0,0,True
103,M103,发动机燃气轮机与动力机械,M103,parent,11593,13366,0,0,True
104,M104,微电网能量管理与优化,M104,parent,10962,13931,0,0,True
105,M105,电动汽车推广与整车能耗,M105,parent,11899,14383,0,0,True
106,M106,模板化晶体数据库记录,M106,parent,10465,10465,0,0,True
107,M107,储能充放电与变流控制,M107,parent,2002,2002,0,0,True
108,M108,水系锌电池与锌空气电池,M108,parent,9518,17476,0,0,True
109,M109,电气柜密封防护与开关部件,M109,parent,2606,2606,0,0,True
110,M110,机柜装配与通用机械部件,M110,parent,3155,3155,0,0,True
111,M111,电站锅炉汽轮机与设备运维,M111,parent,8434,8434,0,0,True
112,M112,二氧化钛光催化材料与反应,M112,parent,38720,47482,0,0,True
113,M113,水分离采集与流体界面技术,M113,parent,11433,11955,0,0,True
114,M114,二氧化碳吸收溶解与水合物,M114,parent,10722,12672,0,0,True
115,M115,电源装置与供电电路结构,M115,parent,2180,2180,0,0,True
116,M116,制冷循环工质与能效,M116,parent,11564,12052,0,0,True
117,M117,煤矿产能及经营公告,M117,parent,298,298,0,0,True
118,M118,煤矿安全生产与许可管理,M118,parent,590,590,0,0,True
119,M119,电力载波与通信传输,M119,parent,12726,13476,0,0,True
120,M120,波浪能装置与海洋水动力,M120,parent,17713,20864,0,0,True
121,M121,热电材料与热电性能优化,M121,parent,28891,28891,0,860,True
122,M122,磁约束等离子体运行与边界,M122,parent,12766,12766,0,0,True
123,M123,电力系统碳计量与低碳调度,M123,parent,3391,3391,0,219,True
124,M124,重整气化与合成气制氢,M124,parent,11227,12524,0,0,True
125,M125,氮化碳及复合光催化材料,M125,parent,15701,15701,0,0,True
126,M126,质子交换及功能聚合物膜,M126,parent,13564,13564,0,0,True
127,M127,石墨烯复合材料与多场景应用,M127,parent,19841,19941,0,0,True
128,M128,生物质与污泥厌氧消化产气,M128,parent,15747,19689,0,2150,True
129,M129,能源网络安全与隐私保护,M129,parent,12250,12250,0,0,True
130,M130,光伏电池及组件结构制造,M130,parent,2674,3488,0,0,True
131,M131,超级电容器复合电极材料,M131,parent,12789,12789,0,0,True
132,M132,排放交易与污染治理政策研究,M132,parent,16000,18766,0,0,True
133,M133,功能薄膜沉积与表征,M133,parent,13172,13172,0,0,True
134,M134,电连接器接线与端口结构,M134,parent,2483,2567,0,0,True
135,M135,电力市场机制与产消者经济,M135,parent,19158,20640,0,0,True
136,M136,电解与其他路线制氢技术,M136,parent,11821,14857,0,0,True
137,M137,光伏出力预测与系统参数建模,M137,parent,10193,10708,0,0,True
138,M138,变压器油纸绝缘诊断,M138,parent,5471,5471,0,0,True
139,M139,厌氧微生物产甲烷机制,M139,parent,11081,11081,0,0,True
140,M140,半导体载流子与电荷输运,M140,parent,14702,14702,0,0,True
141,M141,电机转子定子与装配结构,M141,parent,2327,2978,0,0,True
142,M142,微电网变流器协调与功率分配,M142,parent,11721,14292,0,0,True
143,M143,能源作物种植与生物质采收,M143,parent,10637,10637,0,0,True
144,M144,陆面气象与蒸散估计,M144,parent,11328,11328,0,0,True
145,M145,铁基催化剂与氧电催化,M145,parent,11540,11540,0,0,True
146,M146,节能减排财政资金安排,M146,parent,240,240,0,0,True
147,M147,电极与电机铁芯制造装置,M147,parent,2006,2006,0,0,True
148,M148,临床疾病与健康研究,M148,parent,9305,9305,0,0,True
149,M149,储能技术与能量转换综述,M149,parent,4282,4282,0,0,True
150,M150,多孔碳吸附二氧化碳,M150,parent,15323,15323,0,754,True
151,M151,镁基及多组元合金性质,M151,parent,11885,11885,0,0,True
152,M152,硅基材料与碳化硅陶瓷,M152,parent,12386,13631,0,0,True
153,M153,无线电能传输电路与系统,M153,parent,12987,12987,0,4887,True
154,M154,电解水析氧催化,M154,parent,21799,21799,0,5379,True
155,M155,电力交易竞价与市场优化,M155,parent,12402,12402,0,425,True
156,M156,水工引水排水与杂项装置,M156,parent,2210,2210,0,0,True
157,M158,有机光伏材料、器件与载流子输运,M158,parent,22530,29649,0,0,True
158,M159,太阳辐照预测与光伏环境建模,M159,parent,7709,10830,0,0,True
159,M160,通用互联网协议与通信网络,M160,parent,13675,13675,0,0,True
160,M161,车辆操稳道路与轮胎交互,M161,parent,9559,9559,0,0,True
161,M162,电气传感与多设备测量,M162,parent,5216,5216,0,0,True
162,M163,分布式电源接入与配电网运行,M163,parent,3542,3542,0,0,True
163,M164,输电线路雷电接地与电磁影响,M164,parent,11542,12509,0,0,True
164,M165,天然气供能与燃气动力系统,M165,parent,8085,8085,0,0,True
165,M166,多类太阳能电池结构与性能,M166,parent,12467,14596,0,0,True
166,M167,晶硅异质结与硅基光伏制造,M167,parent,14347,14347,0,0,True
167,M168,粒子束辐照与半导体材料缺陷,M168,parent,8490,8490,0,0,True
168,M169,电池荷电状态健康状态与建模,M169,parent,7680,15413,0,0,True
169,M171,能源转型与能源安全研究,M171,parent,20605,20928,0,0,True
170,M172,最优潮流与电网优化运行,M172,parent,10617,10617,0,0,True
171,M173,燃烧稳定与低污染排放,M173,parent,13452,13452,0,0,True
172,M174,电池正极改性与再生工艺,M174,parent,2668,2668,0,0,True
173,M175,电力负荷预测与短路等系统计算混合,M175,parent,4483,4500,0,0,True
174,M176,空化流动与水动力,M176,parent,11501,11501,0,0,True
175,M177,光伏最大功率点跟踪,M177,parent,16567,16567,0,0,True
176,M178,纳米结构输运与器件基础,M178,parent,11231,11231,0,0,True
177,M179,离子液体与电解质基础,M179,parent,11504,11504,0,0,True
178,M180,超导与量子材料基础,M180,parent,6121,6121,0,0,True
179,M181,电池组结构均衡与供能电路,M181,parent,3509,3509,0,0,True
180,M182,聚变装置与粒子束工程,M182,parent,10669,10871,0,0,True
181,M183,导航定位与遥感观测,M183,parent,9124,9124,0,0,True
182,M184,通用控制器与电力控制算法,M184,parent,17208,17208,0,0,True
183,M185,卤化物钙钛矿结构、光电物性与发光,M185,parent,30730,30730,0,0,True
184,M186,风电场运行与功率优化,M186,parent,13574,13574,0,0,True
185,M187,煤热解气化与煤质特性,M187,parent,11798,11798,0,0,True
186,M188,通用反应分离与气液处理装置,M188,parent,1968,1968,0,0,True
187,M189,欧洲能源转型与能源政策研究,M189,parent,16861,16861,0,0,True
188,M190,风力机叶片与气动设计,M190,parent,20539,20539,0,0,True
189,M191,充电负荷预测与园区用电调配,M191,parent,1687,2044,0,0,True
190,M192,固态储氢材料与反应器,M192,parent,16891,16891,0,2264,True
191,M193,含锂化合物与锂金属界面,M193,parent,12223,14408,0,0,True
192,M194,多设备温控与智能散热,M194,parent,4406,4417,0,0,True
193,M195,股票价格与通用金融预测,M195,parent,12328,12328,0,0,True
194,M196,碳捕集封存与碳移除系统,M196,parent,13262,13815,0,0,True
195,M197,混合动力与整车能量管理,M197,parent,15676,15676,0,0,True
196,M198,铜基热电及功能复合材料,M198,parent,6333,6869,0,0,True
197,M199,电池负极活性材料与电池器件,M199,parent,2559,2559,0,0,True
198,M200,交直流供电与储备能源控制,M200,parent,3092,3092,0,0,True
199,M201,直流输电保护与故障限流,M201,parent,11031,11031,0,0,True
200,M202,电化学电极与摩擦电材料混合,M202,parent,9685,11694,0,0,True
201,M203,氧化锌复合光催化材料,M203,parent,13005,15700,0,0,True
202,M204,纳米表征与光学传感材料,M204,parent,8394,8394,0,0,True
203,M205,发电项目电价结算及清单政策,M205,parent,231,231,0,0,True
204,M206,电池测试表征与性能评估,M206,parent,9010,10614,0,0,True
205,M207,激子量子点与发光机理,M207,parent,16014,16014,0,0,True
206,M208,组件边框与通用结构材料,M208,parent,2110,2110,0,0,True
207,M209,能源企业组织投资与管理,M209,parent,12691,12691,0,0,True
208,M210,有机半导体光物理与光电响应,M210,parent,10829,10829,0,0,True
209,M211,地热资源开发与换热,M211,parent,11871,14038,0,0,True
210,M212,直流变换器拓扑与设计,M212,parent,18808,19898,0,0,True
211,M213,等离子体波与高能粒子作用,M213,parent,14465,14465,0,0,True
212,M214,电力电缆绝缘与运行诊断,M214,parent,8594,8594,0,0,True
213,M215,通信网络路由与拓扑,M215,parent,13770,13770,0,0,True
214,M216,电池极耳焊接及耳机等混合部件,M216,parent,1059,1068,0,0,True
215,M217,电力可靠性与电气安全,M217,parent,12063,12504,0,0,True
216,M218,离子液体萃取与金属分离,M218,parent,8337,8337,0,0,True
217,M219,气候变化治理与国际政策,M219,parent,21895,22266,0,0,True
218,M221,系统可靠性及暂态稳定混合,M221,parent,10951,11380,0,0,True
219,M222,局部放电电晕与放电物理,M222,parent,7985,10639,0,0,True
220,M223,锂金属沉积与含锂电极材料,M223,parent,15769,18243,0,0,True
221,M224,木质纤维素预处理与生化转化,M224,parent,13717,14010,0,0,True
222,M225,泵水轮机与水力机械流动,M225,parent,15408,15408,0,0,True
223,M226,生物炭制备与环境应用,M226,parent,8602,9136,0,0,True
224,M227,离子导电及功能聚合物,M227,parent,13534,13534,0,0,True
225,M228,过硫酸盐活化与高级氧化,M228,parent,13343,13343,0,3673,True
226,M229,空调通风与空气处理,M229,parent,8973,8973,0,0,True
227,M230,能源审计与综合节能评估,M230,parent,19317,19591,0,0,True
228,M231,通用安装固定与机电结构,M231,parent,4241,4241,0,0,True
229,M232,高温钢材蠕变腐蚀与焊接,M232,parent,10408,10408,0,0,True
230,M233,专利权利要求格式与杂项器件,M233,parent,2831,2831,0,0,True
231,M234,多种掺杂氧化物及功能化合物,M234,parent,11909,11909,0,0,True
232,M235,半导体光电化学水分解,M235,parent,10970,10970,0,2686,True
233,M236,软开关谐振与交流变换器,M236,parent,13196,17991,0,0,True
234,M237,热电发电器件与热设计,M237,parent,15016,15016,0,0,True
235,M238,氢能供给加氢与系统集成,M238,parent,8347,9129,0,0,True
236,M239,分布式光伏部署与技术经济,M239,parent,23692,25262,0,0,True
237,M240,农业农村经济与资源发展,M240,parent,9577,9577,0,0,True
238,M241,高温及绝缘陶瓷制备,M241,parent,9985,9985,0,0,True
239,M242,薄膜晶体管与有机电子器件,M242,parent,8242,8242,0,0,True
240,M243,有机半导体供受体与分子器件材料,M243,parent,13229,13229,0,0,True
241,M244,文摘索引与教学资料记录,M244,parent,5446,5446,0,0,True
242,M245,生物油热解与燃料升级,M245,parent,13582,13582,0,0,True
243,M246,电驱控制器与机电集成装置,M246,parent,2134,2134,0,0,True
244,M247,碳基超级电容器电极,M247,parent,12699,12699,0,0,True
245,M248,虚拟电厂资源聚合与调度,M248,parent,2610,2610,0,1823,True
246,M249,镍锰及多种无机功能材料,M249,parent,11497,11497,0,0,True
247,M250,电力安全生产与应急政策,M250,parent,965,965,0,0,True
248,M251,磁性材料磁路与磁场基础,M251,parent,12703,13157,0,0,True
249,M252,热力循环余热与联供系统,M252,parent,9533,12305,0,0,True
250,M253,充电站选址与充电调度,M253,parent,9621,10747,0,0,True
251,M254,热泵与区域供热供冷,M254,parent,10959,14295,0,0,True
252,M255,二氧化碳加氢与多类催化反应,M255,parent,9613,12152,0,0,True
253,M256,电催化析氢与界面调控,M256,parent,19499,19499,0,4974,True
254,M257,锂离子电池电极材料,M257,parent,13320,13320,0,0,True
255,M258,磁电耦合与自旋极化基础,M258,parent,11714,11714,0,0,True
256,M259,固体氧化物燃料电池,M259,parent,18799,18799,0,12407,True
257,M260,综合能源系统协同管理与优化调度,M260,parent,19593,21140,0,0,True
258,M261,锂硫电池正极与多硫化物调控,M261,parent,11208,11208,0,7657,True
259,M262,电压电流检测与校验电路,M262,parent,3082,3901,0,0,True
260,M263,保护电路与开关控制,M263,parent,3277,3506,0,0,True
261,M264,电池外壳盖板与封装,M264,parent,3146,4376,0,0,True
262,M265,碳基氧还原及单原子催化,M265,parent,12569,12569,0,0,True
263,M266,绿色发展可持续性与绿色金融,M266,parent,16115,17083,0,0,True
264,M267,覆冰冻结与除冰传热,M267,parent,4246,4393,0,0,True
265,M268,燃料电池质子交换膜,M268,parent,12065,12065,0,345,True
266,M269,通用数学方程与数值方法,M269,parent,15483,15483,0,0,True
267,M271,液冷流体通道与杂项机电装置,M271,parent,2231,2231,0,0,True
268,M272,有机发光与分子光物理材料,M272,parent,13964,13964,0,0,True
269,M273,翼型螺旋桨与航空气动,M273,parent,15706,15706,0,0,True
270,M274,沼气及多路线生物燃料,M274,parent,13989,14918,0,0,True
271,M275,高分子绝缘与复合材料混合,M275,parent,9187,9187,0,0,True
272,M276,电机调制谐波与转矩控制,M276,parent,3473,4772,0,0,True
273,M277,电缆结构材料与敷设,M277,parent,3320,5585,0,0,True
274,M278,风电发电机与并网控制,M278,parent,15613,15613,0,0,True
275,M279,锂离子电池负极材料,M279,parent,23866,24119,0,0,True
276,M280,分子生物学与医学机制,M280,parent,10192,10192,0,0,True
277,M281,整体电催化水分解,M281,parent,14069,14069,0,1590,True
278,M282,光伏支架与组件机械固定,M282,parent,2893,2893,0,0,True
279,M283,航空器无人机设计与飞控,M283,parent,13159,13159,0,0,True
280,M284,电机磁路转子与铁芯设计,M284,parent,3413,3413,0,0,True
281,M285,金融投资与风险经济,M285,parent,12326,12326,0,0,True
282,M286,油路液压与油浸电气装置,M286,parent,1308,1308,0,0,True
283,M287,能源标准化许可与专项监管,M287,parent,1326,1397,0,0,True
284,M288,热泵换热器与热管理设计,M288,parent,11841,16049,0,0,True
285,M289,燃料电池铂基催化剂,M289,parent,14654,14654,0,0,True
286,M290,核裂变聚变与核电工程,M290,parent,9653,10774,0,0,True
287,M291,多体系电池配方与器件,M291,parent,4481,4481,0,0,True
288,M292,锌基硫族及氧化物薄膜,M292,parent,13393,13393,0,0,True
289,M293,铁氧化物磁性纳米材料,M293,parent,16456,16456,0,0,True
290,M294,瓶装液化石油气价格政策,M294,parent,218,218,0,0,True
291,M295,仿真软件硬件在环与教学平台,M295,parent,10712,10900,0,0,True
292,M296,电池系统管理与全寿命利用,M296,parent,9865,10250,0,0,True
293,M297,电池管理与均衡控制,M297,parent,3982,4903,0,0,True
294,M298,光学薄膜与发光表征,M298,parent,11116,11116,0,0,True
295,M299,供水管网水力状态与节能调度,M299,parent,6751,6751,0,0,True
296,M301,废旧锂电池回收、分离与材料再生,M301,parent,8343,8485,0,0,True
297,M302,场效应晶体管结构与建模,M302,parent,11901,11901,0,1961,True
298,M303,温度测量监测与温控装置,M303,parent,2838,3265,0,0,True
299,M304,出版商模板干扰的多能源文本,M304,parent,11350,11350,0,0,True
300,M305,半导体离子注入与辐照缺陷,M305,parent,9288,9288,0,0,True
301,M306,制冷循环与余热驱动制冷,M306,parent,7475,8782,0,0,True
302,M307,照明灯具与光学部件,M307,parent,6011,6346,0,0,True
303,M308,二氧化钛纳米结构制备与基础应用,M308,parent,35044,35044,0,0,True
304,M309,电气设备防护监测及杂项装置,M309,parent,3112,3112,0,0,True
305,M310,电能质量谐波检测与信号分析,M310,parent,16094,16094,0,0,True
306,M311,对流換热与换热器热工分析,M311,parent,14706,16092,0,0,True
307,M312,变电站自动化与电网监控,M312,parent,12737,12737,0,0,True
308,M313,电动车辆及充电系统装置,M313,parent,2888,2888,0,0,True
309,M314,复合氧化物合成与电化学性质,M314,parent,10419,10419,0,0,True
310,M315,变换器与电机变压器保护混合,M315,parent,13450,14020,0,0,True
311,M316,书目碎片封面与其他非研究文本,M316,parent,3892,3892,0,0,True
312,M317,电力系统频率控制及通用控制方法,M317,parent,10080,12055,0,0,True
313,M318,多体系电催化剂与电池材料制备,M318,parent,3076,3076,0,0,True
314,M319,中国能源转型与区域低碳经济,M319,parent,15098,15246,0,0,True
315,M320,多种燃料燃烧与排放评估,M320,parent,11126,11126,0,0,True
316,M321,溶剂萃取与化学分离,M321,parent,12010,12010,0,0,True
317,M322,时钟同步与时延建模,M322,parent,9040,9040,0,0,True
318,M323,等离子体动力学与磁约束,M323,parent,12382,12473,0,0,True
319,M324,二氧化碳捕集材料与工艺,M324,parent,10508,16672,0,0,True
320,M325,海上风电平台与波浪能装置,M325,parent,3640,6136,0,0,True
321,M327,硫化物固态电解质与锂硫材料混合,M327,parent,1312,1769,0,0,True
322,M328,林业经营与森林资源利用,M328,parent,13405,14778,0,0,True
323,M329,多体系纳米结构与复合材料,M329,parent,12869,12869,0,0,True
324,M330,锅炉气化与工业余热回收装置,M330,parent,2837,2837,0,0,True
325,M331,心血管及其他临床医学研究,M331,parent,8159,8159,0,0,True
326,M332,风速与风电出力预测,M332,parent,6143,11461,0,0,True
327,M333,太阳能集热器与光热利用,M333,parent,13971,17368,0,0,True
328,M334,电机驱动与机械传动装置,M334,parent,2639,2639,0,0,True
329,M335,太阳能界面蒸发与海水淡化,M335,parent,11270,11270,0,1028,True
330,M336,能效标识与多类财税结算政策混合,M336,parent,385,385,0,0,True
331,M337,可编程芯片与实时硬件实现,M337,parent,8577,9123,0,0,True
332,M338,网格数值计算与跨领域仿真混合,M338,parent,9398,9398,0,0,True
333,M339,钴基氧化物电催化与储能材料,M339,parent,9586,9586,0,0,True
334,M340,供电连接与电源电路装置,M340,parent,2322,2322,0,0,True
335,M341,硅碳负极材料与制备,M341,parent,3071,3071,0,2087,True
336,M342,光伏跟踪与太阳能装置控制,M342,parent,5409,5409,0,0,True
337,M343,相变储热材料与传热增强,M343,parent,11745,11745,0,0,True
338,M344,关键矿产供给与采矿资源,M344,parent,10275,10275,0,0,True
339,M345,甲醇电氧化与贵金属催化剂,M345,parent,14352,14352,0,0,True
340,M346,层状二维材料电子及声子性质,M346,parent,15760,15760,0,0,True
341,M347,生物质热解气化与水热转化,M347,parent,9663,15250,0,0,True
342,M348,锂电池热行为与安全机制,M348,parent,11803,13891,0,0,True
343,M349,电池热管理排气与壳体安全装置,M349,parent,1790,1790,0,0,True
344,M350,共轭高分子与光电复合材料,M350,parent,10495,10495,0,0,True
345,M351,离子交换膜传输及电化学应用,M351,parent,8263,8263,0,0,True
346,M352,欧洲能源转型与一般区域政治混合,M352,parent,9789,9789,0,0,True
347,M353,智能电网信息安全与韧性,M353,parent,7783,9335,0,0,True
348,M354,二硫化钼等二维材料与器件,M354,parent,11392,11392,0,0,True
349,M355,能源地缘政治与一般国际关系混合,M355,parent,15605,15605,0,0,True
350,M356,输配电线路视觉巡检与无人机检测,M356,parent,4023,4023,0,0,True
351,M357,机械摩擦传动与力学测量,M357,parent,13037,13037,0,0,True
352,M358,能源发展规划与综合指导政策,M358,parent,1440,1440,0,0,True
353,M359,可再生能源发展与多技术评价,M359,parent,18807,18807,0,0,True
354,M360,染料敏化太阳能电池材料与器件,M360,parent,18402,25091,0,11728,True
355,M361,电力知识处理与智能决策系统,M361,parent,3934,4079,0,0,True
356,M362,水泥混凝土性能与碳化,M362,parent,6615,6615,0,0,True
357,M363,非贵金属氧还原电催化材料,M363,parent,13639,13639,0,2222,True
358,M364,充电基础设施与公用事业接入政策混合,M364,parent,528,628,0,0,True
359,M365,多孔碳材料及储能环境应用,M365,parent,9681,11144,0,0,True
360,M366,机械装配传动与电气部件混合,M366,parent,3347,3347,0,0,True
361,M367,荧光粉组分调控与发光性质,M367,parent,20258,20258,0,0,True
362,M368,镉基硫族半导体与量子点,M368,parent,9898,9898,0,0,True
363,M369,有机场效应晶体管,M369,parent,9261,9261,0,0,True
364,M370,电力通信与无线传输装置,M370,parent,4344,4344,0,0,True
365,M371,功能纤维复合材料与织物,M371,parent,9030,9030,0,0,True
366,M372,铁化合物反应与材料应用,M372,parent,13464,13464,0,0,True
367,M373,铀钍及稀土分离提取,M373,parent,8956,11447,0,0,True
368,M374,多体系二次电池材料与电解液综述,M374,parent,17643,18686,0,0,True
369,M375,电池状态测量与诊断装置,M375,parent,3517,3517,0,0,True
370,M376,太阳辐射测量估算与大气影响,M376,parent,11796,11957,0,0,True
371,M377,电力节能与新能源应用泛论,M377,parent,9685,9685,0,0,True
372,M378,电源变流电路与电压控制装置,M378,parent,4046,4046,0,0,True
373,M379,电池包与模组结构装置,M379,parent,4363,4944,0,0,True
374,M380,永磁同步电机设计与控制,M380,parent,8518,12891,0,0,True
375,M381,电气设备散热冷却结构,M381,parent,3212,3272,0,0,True
376,M382,换热器热泵与储热装置混合,M382,parent,3253,3253,0,0,True
377,M383,纳米流体传热性质与强化,M383,parent,7502,7502,0,0,True
378,M385,锅炉蒸汽系统与汽轮机运行,M385,parent,13765,14167,0,0,True
