topic_id,parent_id,parent_name,name,documents,enabled,eligible_leaf_documents,rule_id,definition,candidate_clusters1000,seed_status,object_pattern,task_pattern,exclude_title_pattern,precision_required_title,precision_excluded_title,precision_note,review_status
M021.electrolyte,M021,钠离子电池材料与电解液,钠电池电解液与界面,1714,True,1714,M021.electrolyte,研究对象须匹配“钠电池电解液与界面”对应对象，且满足所列任务；多任务冲突保留复核。,T0453|T0021|T0108|T0374|T0591|T0327|T0447|T0414|T0978|T0451,sample_object_task_supported,sodium.ion|sodium.metal|na.ion|钠离子|钠电池,electrolyte|interphase|电解液|电解质|界面,,,,,自动规则接受；抽样诊断；非专家全量验收
M023.tidal,M023,海洋资源开发与海上工程,潮汐与潮流能开发,380,True,380,M023.tidal,研究对象须匹配“潮汐与潮流能开发”对应对象，且满足所列任务；多任务冲突保留复核。,T0100|T0831,sample_object_task_supported,tidal.energy|tidal.stream|潮汐能|潮流能,,,,,,自动规则接受；抽样诊断；非专家全量验收
M027.charger_thermal,M027,电动汽车充电设施及并网,充电设施散热,34,True,34,M027.charger_thermal,研究对象须匹配“充电设施散热”对应对象，且满足所列任务；多任务冲突保留复核。,T0000|T0533|T0094,sample_object_task_supported,charging.station|charging.pile|充电桩|充电站,cooling|thermal.management|heat.dissipation|散热|冷却|热管理,,,"battery.cool|battery.thermal|cooling.{0,20}batter|电池冷却|电池热管理|电池散热",电池冷却不能替代充电设施本体散热,自动规则接受；抽样诊断；非专家全量验收
M027.grid_impact,M027,电动汽车充电设施及并网,电动汽车充电并网影响,587,True,586,M027.grid_impact,研究对象须匹配“电动汽车充电并网影响”对应对象，且满足所列任务；多任务冲突保留复核。,T0526|T0253|T0540|T0961|T0684,sample_object_task_supported,electric.vehicle|电动汽车|charging.station|充电站,grid.impact|grid.integration|distribution.network|并网影响|电网影响|配电网,,,,,自动规则接受；抽样诊断；非专家全量验收
M032.oil_industry,M032,石油产业与油价经济,石油产业投资与经营,23,True,23,M032.oil_industry,研究对象须匹配“石油产业投资与经营”对应对象，且满足所列任务；多任务冲突保留复核。,T0065|T0032|T0840,descriptor_retrieval_only_not_sample_approved,oil.industry|petroleum.industry|石油产业|石油行业,investment|management|投资|经营,,,,,自动规则接受；抽样诊断；非专家全量验收
M032.oil_price,M032,石油产业与油价经济,石油价格与市场经济,2430,True,2425,M032.oil_price,研究对象须匹配“石油价格与市场经济”对应对象，且满足所列任务；多任务冲突保留复核。,T0032,keyword_candidate_only,oil.price|petroleum.price|油价|石油价格,,,,,,自动规则接受；抽样诊断；非专家全量验收
M033.nutrient_recovery,M033,污泥资源化与水处理,污水污泥营养元素回收,22,True,22,M033.nutrient_recovery,研究对象须匹配“污水污泥营养元素回收”对应对象，且满足所列任务；多任务冲突保留复核。,T0614,sample_object_task_supported,sludge|wastewater|污泥|废水|污水,phosphorus.recover|nitrogen.recover|struvite|磷回收|氮回收|鸟粪石,,,,,自动规则接受；抽样诊断；非专家全量验收
M033.sludge_dewatering,M033,污泥资源化与水处理,污泥脱水与调理,160,True,160,M033.sludge_dewatering,研究对象须匹配“污泥脱水与调理”对应对象，且满足所列任务；多任务冲突保留复核。,T0901|T0033|T0320,sample_object_task_supported,sludge|污泥,dewater|condition|脱水|调理,,\bdewatering\b|dewaterability|\bconditioning\b|脱水|调理,,conditions或作为原料的dewatered sludge不能替代脱水/调理任务,自动规则接受；抽样诊断；非专家全量验收
M034.water_heating,M034,太阳能集热与热利用装置,太阳能热水与供热装置,2447,True,2445,M034.water_heating,研究对象须匹配“太阳能热水与供热装置”对应对象，且满足所列任务；多任务冲突保留复核。,T0679|T0435|T0546|T0333|T0863|T0239,sample_object_task_supported,solar|太阳能,water.heat|space.heat|热水|供热|采暖,photovoltaic|光伏,water[ -]?heat(?:er|ing)|space[ -]?heating|热水|供热|采暖,,water-heat management不是热水器或供热任务,自动规则接受；抽样诊断；非专家全量验收
M036.co2_photo,M036,光催化二氧化碳转化与氧化还原,光催化二氧化碳还原,4770,True,4765,M036.co2_photo,研究对象须匹配“光催化二氧化碳还原”对应对象，且满足所列任务；多任务冲突保留复核。,T0932|T0125,sample_object_task_supported,photo(?:electro)?catal|photo.catal|光(?:电)?催化|photodegrad|光降解,CO2|carbon.dioxide|二氧化碳,,,,,自动规则接受；抽样诊断；非专家全量验收
M040.manufacturing,M040,电池单体与模组构件装配,电池装配工装与制造设备,498,True,498,M040.manufacturing,研究对象须匹配“电池装配工装与制造设备”对应对象，且满足所列任务；多任务冲突保留复核。,T0379|T0147|T0759|T0216,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,fixture|clamping|pressing.device|manufacturing.equipment|工装|夹具|压紧装置|加压装置|制造设备|组装装置,,,,,自动规则接受；抽样诊断；非专家全量验收
M041.wireless_charger,M041,无线充电与充电器结构,无线充电器与装置,1215,True,1214,M041.wireless_charger,研究对象须匹配“无线充电器与装置”对应对象，且满足所列任务；多任务冲突保留复核。,T0643|T0736|T0755|T0938|T0763|T0799|T0664,sample_object_task_supported,wireless.charg|无线充电,charger|device|charging.system|充电器|装置|充电系统,,,,,自动规则接受；抽样诊断；非专家全量验收
M042.gas_hydrate,M042,气体处理气化与天然气水合物,天然气水合物生成与分解,607,True,607,M042.gas_hydrate,研究对象须匹配“天然气水合物生成与分解”对应对象，且满足所列任务；多任务冲突保留复核。,T0114|T0571|T0665|T0713,sample_object_task_supported,gas.hydrate|methane.hydrate|天然气水合物|甲烷水合物,formation|dissociation|生成|分解,,,,,自动规则接受；抽样诊断；非专家全量验收
M045.coal_gasification,M045,煤气化与燃煤清洁转化,煤气化工艺与反应,1126,True,1125,M045.coal_gasification,研究对象须匹配“煤气化工艺与反应”对应对象，且满足所列任务；多任务冲突保留复核。,T0590|T0045|T0397|T0854,sample_object_task_supported,coal.gasification|coal.gasifier|煤气化,,,,,,自动规则接受；抽样诊断；非专家全量验收
M046.desalination,M046,分离膜制备与膜污染控制,膜法海水淡化,1645,True,1641,M046.desalination,研究对象须匹配“膜法海水淡化”对应对象，且满足所列任务；多任务冲突保留复核。,T0996,sample_object_task_supported,membrane|reverse.osmosis|膜|反渗透,desalin|海水淡化,,,,,自动规则接受；抽样诊断；非专家全量验收
M046.fouling,M046,分离膜制备与膜污染控制,分离膜污染与清洗,2417,True,2415,M046.fouling,研究对象须匹配“分离膜污染与清洗”对应对象，且满足所列任务；多任务冲突保留复核。,T0489|T0552|T0521|T0975,sample_object_task_supported,membrane|膜,fouling|antifouling|cleaning|膜污染|抗污染|膜清洗,,,,,自动规则接受；抽样诊断；非专家全量验收
M047.demand_response,M047,配电网柔性调度与协同规划,配电网需求响应与柔性调度,676,True,675,M047.demand_response,研究对象须匹配“配电网需求响应与柔性调度”对应对象，且满足所列任务；多任务冲突保留复核。,T0163|T0047|T0523|T0834|T0073,sample_object_task_supported,distribution.network|distribution.system|配电网,demand.response|flexib|需求响应|柔性,,,,,自动规则接受；抽样诊断；非专家全量验收
M048.binder,M048,电池隔膜、聚合物电解质与粘结剂,电池电极粘结剂,1440,True,1440,M048.binder,研究对象须匹配“电池电极粘结剂”对应对象，且满足所列任务；多任务冲突保留复核。,T0723|T0063|T0506|T0646|T0711|T0782|T0687|T0279|T0126|T0257,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,\bbinder|binding.agent|粘结剂|黏结剂,,,"binder[\s-]*free|without.{0,12}binder|无粘结剂|无黏结剂|免粘结剂",无粘结剂电极不自动归为粘结剂材料研究,自动规则接受；抽样诊断；非专家全量验收
M048.separator,M048,电池隔膜、聚合物电解质与粘结剂,电池隔膜制备与改性,1406,True,1406,M048.separator,研究对象须匹配“电池隔膜制备与改性”对应对象，且满足所列任务；多任务冲突保留复核。,T0291|T0824|T0063|T0836|T0461|T0147|T0506|T0723|T0565|T0646,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,separator|separating.membrane|隔膜,fuel.cell|燃料电池|membrane.reactor,,,,自动规则接受；抽样诊断；非专家全量验收
M049.gel,M049,固态及凝胶聚合物电解质,凝胶聚合物锂电解质,1044,True,1044,M049.gel,研究对象须匹配“凝胶聚合物锂电解质”对应对象，且满足所列任务；多任务冲突保留复核。,T0940|T0586|T0126|T0049|T0121|T0466,sample_object_task_supported,polymer.electrolyte|聚合物电解质|聚合物凝胶电解质,gel|凝胶,proton|质子|sodium|钠|zinc|锌|supercapacitor|超级电容,\bgel\b|hydrogel|凝胶,,凝胶相须有明确表述，不能仅由gelatin等材料名推断,自动规则接受；抽样诊断；非专家全量验收
M049.solid,M049,固态及凝胶聚合物电解质,固态聚合物锂电解质,1868,True,1868,M049.solid,研究对象须匹配“固态聚合物锂电解质”对应对象，且满足所列任务；多任务冲突保留复核。,T0940|T0586|T0126|T0646|T0049|T0121|T0650,sample_object_task_supported,polymer.electrolyte|聚合物电解质|聚合物固态电解质,solid|固态|固体,gel.polymer|凝胶|proton|质子|sodium|钠|zinc|锌,,quasi.solid|gel|准固态|凝胶,准固态或凝胶电解质不强分入全固态子类,自动规则接受；抽样诊断；非专家全量验收
M053.retail_tariff,M053,电价与输配电价监管政策,销售电价与用户电费政策,83,True,83,M053.retail_tariff,研究对象须匹配“销售电价与用户电费政策”对应对象，且满足所列任务；多任务冲突保留复核。,T0053|T0619|T0651|T0856,sample_object_task_supported,销售电价|工商业电价|居民电价|retail.electricity.tariff,通知|政策|policy|regulat,,,,,自动规则接受；抽样诊断；非专家全量验收
M053.transmission_tariff,M053,电价与输配电价监管政策,输配电价监管政策,55,True,55,M053.transmission_tariff,研究对象须匹配“输配电价监管政策”对应对象，且满足所列任务；多任务冲突保留复核。,T0053|T0619|T0651,sample_object_task_supported,输配电价|transmission.tariff|distribution.tariff,通知|监管|regulat|policy,,,,,自动规则接受；抽样诊断；非专家全量验收
M055.dispatch,M055,电储能系统配置与运行,储能运行调度与收益,684,True,682,M055.dispatch,研究对象须匹配“储能运行调度与收益”对应对象，且满足所列任务；多任务冲突保留复核。,T0961|T0300|T0191|T0814|T0897,sample_object_task_supported,energy.storage|储能,dispatch|scheduling|arbitrage|运行调度|套利,microgrid|微电网|integrated.energy|综合能源,\bdispatch(?:ing)?\b|schedul|arbitrage|调度|套利,,non-dispatchable等描述不能替代储能调度任务,自动规则接受；抽样诊断；非专家全量验收
M055.sizing,M055,电储能系统配置与运行,储能容量配置与选址,590,True,590,M055.sizing,研究对象须匹配“储能容量配置与选址”对应对象，且满足所列任务；多任务冲突保留复核。,T0300|T0047|T0172|T0720|T0807|T0862,sample_object_task_supported,energy.storage|储能,sizing|capacity.allocation|optimal.placement|容量配置|容量优化|选址,"batter.{0,15}material|电极材料",,,,自动规则接受；抽样诊断；非专家全量验收
M058.fermentative_h2,M058,厌氧过程微生物与生物能源,厌氧发酵生物制氢,808,True,806,M058.fermentative_h2,研究对象须匹配“厌氧发酵生物制氢”对应对象，且满足所列任务；多任务冲突保留复核。,T0988|T0087|T0238|T0772,sample_object_task_supported,dark.ferment|anaerobic.ferment|暗发酵|厌氧发酵,hydrogen|氢,,,,,自动规则接受；抽样诊断；非专家全量验收
M065.carbon_tax,M065,环境税费补贴与市场规制,碳税与环境税费,2666,True,2662,M065.carbon_tax,研究对象须匹配“碳税与环境税费”对应对象，且满足所列任务；多任务冲突保留复核。,T0039|T0928|T0539|T0240,sample_object_task_supported,carbon.tax|environmental.tax|碳税|环境税,,,,,,自动规则接受；抽样诊断；非专家全量验收
M065.subsidy,M065,环境税费补贴与市场规制,可再生能源补贴机制,120,True,120,M065.subsidy,研究对象须匹配“可再生能源补贴机制”对应对象，且满足所列任务；多任务冲突保留复核。,T0867|T0445|T0275,sample_object_task_supported,renewable.energy|solar|wind|可再生能源|光伏|风电,subsid|补贴,,,,,自动规则接受；抽样诊断；非专家全量验收
M066.crystallization,M066,钙钛矿太阳能电池界面与器件性能,钙钛矿吸收层结晶与成膜,501,True,500,M066.crystallization,研究对象须匹配“钙钛矿吸收层结晶与成膜”对应对象，且满足所列任务；多任务冲突保留复核。,T0787,sample_object_task_supported,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",crystalliz|crystallis|grain.growth|film.formation|结晶|晶粒|成膜,tandem|叠层|transport.layer|传输层,,,,自动规则接受；抽样诊断；非专家全量验收
M066.interfaces,M066,钙钛矿太阳能电池界面与器件性能,钙钛矿电池界面、钝化与传输层,6900,True,6897,M066.interfaces,研究对象须匹配“钙钛矿电池界面、钝化与传输层”对应对象，且满足所列任务；多任务冲突保留复核。,T0939|T0787|T0243|T0360|T0889|T0158|T0066|T0384|T0220|T0275,sample_object_task_supported,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",passivat|interface|transport.layer|transport.material|钝化|界面|传输层|传输材料,tandem|叠层|multi.junction|多结,,,,自动规则接受；抽样诊断；非专家全量验收
M066.stability,M066,钙钛矿太阳能电池界面与器件性能,钙钛矿电池稳定性与衰减,282,True,282,M066.stability,研究对象须匹配“钙钛矿电池稳定性与衰减”对应对象，且满足所列任务；多任务冲突保留复核。,T0939,sample_object_task_supported,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",degradation|moisture.stability|thermal.stability|operational.stability|衰减|湿度稳定|热稳定|运行稳定,tandem|叠层|passivat|钝化|interface|界面,,,,自动规则接受；抽样诊断；非专家全量验收
M066.tandem,M066,钙钛矿太阳能电池界面与器件性能,钙钛矿叠层太阳能电池,1746,True,1746,M066.tandem,研究对象须匹配“钙钛矿叠层太阳能电池”对应对象，且满足所列任务；多任务冲突保留复核。,T0939|T0220|T0066,keyword_candidate_only,"perovskite.{0,35}(solar|cell)|钙钛矿.{0,15}(太阳能|光伏|电池)",tandem|multijunction|multi.junction|叠层|多结,,,,,自动规则接受；抽样诊断；非专家全量验收
M068.gan,M068,宽禁带半导体外延与结器件,氮化镓功率与结器件,3162,True,3160,M068.gan,研究对象须匹配“氮化镓功率与结器件”对应对象，且满足所列任务；多任务冲突保留复核。,T0182|T0236|T0369,sample_object_task_supported,gallium.nitride|\bGaN\b|氮化镓,transistor|HEMT|power.device|晶体管|功率器件,,,,,自动规则接受；抽样诊断；非专家全量验收
M071.economics,M071,氢能产业与制氢技术经济,氢能技术经济与生命周期,1447,True,1445,M071.economics,研究对象须匹配“氢能技术经济与生命周期”对应对象，且满足所列任务；多任务冲突保留复核。,T0071|T0087|T0464,sample_object_task_supported,hydrogen|氢能|制氢,techno.economic|life.cycle|levelized.cost|技术经济|生命周期|平准化,,,,,自动规则接受；抽样诊断；非专家全量验收
M078.air,M078,燃料电池系统运行控制,燃料电池供气与空压控制,151,True,151,M078.air,研究对象须匹配“燃料电池供气与空压控制”对应对象，且满足所列任务；多任务冲突保留复核。,T0334|T0078|T0907|T0762,sample_object_task_supported,fuel.cell|燃料电池,air.supply|air.compressor|oxygen.excess|供气|空压机|氧过量,,,,,自动规则接受；抽样诊断；非专家全量验收
M078.water,M078,燃料电池系统运行控制,燃料电池水管理,361,True,361,M078.water,研究对象须匹配“燃料电池水管理”对应对象，且满足所列任务；多任务冲突保留复核。,T0674,sample_object_task_supported,fuel.cell|燃料电池,water.management|flooding|water.transport|水管理|水淹|水传输,,,,,自动规则接受；抽样诊断；非专家全量验收
M079.other_pollutants,M079,污染物光催化降解,其他材料光催化污染物降解,24294,True,24240,M079.other_pollutants,研究对象须匹配“其他材料光催化污染物降解”对应对象，且满足所列任务；多任务冲突保留复核。,T0584|T0849|T0235|T0074|T0203|T0438|T0933|T0079|T0087|T0609,sample_object_task_supported,photo(?:electro)?catal|photo.catal|光(?:电)?催化|photodegrad|光降解,degrad|pollutant|污染物|降解,TiO\s*2|titanium.dioxide|二氧化钛|\bZnO\b|zinc.oxide|氧化锌,,,,自动规则接受；抽样诊断；非专家全量验收
M081.communication,M081,智能电网体系与通信,智能电网通信架构,803,True,802,M081.communication,研究对象须匹配“智能电网通信架构”对应对象，且满足所列任务；多任务冲突保留复核。,T0353|T0081|T0047|T0419,sample_object_task_supported,smart.grid|智能电网,communication|network.architecture|通信|网络架构,cyber|网络安全,,,,自动规则接受；抽样诊断；非专家全量验收
M082.harmonics,M082,配电网电压无功与电能质量,配电网谐波与电能质量治理,1173,True,1172,M082.harmonics,研究对象须匹配“配电网谐波与电能质量治理”对应对象，且满足所列任务；多任务冲突保留复核。,T0163|T0549|T0263|T0732|T0664|T0678|T0656|T0201|T0415,sample_object_task_supported,distribution.network|distribution.system|配电网,harmonic|power.quality|谐波|电能质量,,,,,自动规则接受；抽样诊断；非专家全量验收
M082.voltage_var,M082,配电网电压无功与电能质量,配电网电压无功优化,1149,True,1149,M082.voltage_var,研究对象须匹配“配电网电压无功优化”对应对象，且满足所列任务；多任务冲突保留复核。,T0398|T0378|T0163|T0743|T0047,sample_object_task_supported,distribution.network|distribution.system|配电网,volt.var|reactive.power|voltage.regulation|电压无功|无功优化|电压调节,,,,,自动规则接受；抽样诊断；非专家全量验收
M085.degradation,M085,光伏组件性能建模与故障检测,光伏组件退化与寿命,400,True,399,M085.degradation,研究对象须匹配“光伏组件退化与寿命”对应对象，且满足所列任务；多任务冲突保留复核。,T0085|T0464|T0672|T0034|T0823|T0961|T0693|T0158|T0140|T0635,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,degradation|aging|ageing|lifetime|退化|老化|寿命,perovskite|钙钛矿,modules?|panels?|arrays?|photovoltaic.system|PV.system|组件|光伏板|光伏系统|阵列,organic|polymer|perovskite|dye.sensiti|quantum.dot|有机|聚合物|钙钛矿|染料敏化|量子点,光伏组件退化须有组件/系统对象，不能泛指吸收层或单个材料；特定材料太阳能电池研究不直接迁为通用光伏组件退化,自动规则接受；抽样诊断；非专家全量验收
M085.fault,M085,光伏组件性能建模与故障检测,光伏组件故障与缺陷检测,1478,True,1476,M085.fault,研究对象须匹配“光伏组件故障与缺陷检测”对应对象，且满足所列任务；多任务冲突保留复核。,T0458|T0157|T0085|T0177|T0513|T0789|T0163|T0639|T0167|T0787,sample_object_task_supported,photovoltaic|solar.cell|solar.module|光伏|太阳能电池,fault|defect|diagnos|故障|缺陷|诊断,,"\bfault|diagnos|defect.detect|defect.inspect|defect.identif|detect.{0,20}defect|故障|缺陷检测|缺陷识别|缺陷诊断",,材料深能级缺陷与器件结构缺陷不等于组件故障检测,自动规则接受；抽样诊断；非专家全量验收
M086.refueling,M086,制氢储氢与加氢系统,加氢站与氢气加注,517,True,517,M086.refueling,研究对象须匹配“加氢站与氢气加注”对应对象，且满足所列任务；多任务冲突保留复核。,T0677|T0765,sample_object_task_supported,hydrogen.refuel|hydrogen.filling|加氢站|氢气加注,,,,,,自动规则接受；抽样诊断；非专家全量验收
M087.anaerobic_wastewater,M087,污水厌氧处理与产能回收,厌氧污水处理反应器,280,True,280,M087.anaerobic_wastewater,研究对象须匹配“厌氧污水处理反应器”对应对象，且满足所列任务；多任务冲突保留复核。,T0489|T0614|T0238,descriptor_retrieval_only_not_sample_approved,anaerobic|厌氧|\bUASB\b|\bAnMBR\b,wastewater.treatment|污水处理|废水处理,,,,,自动规则接受；抽样诊断；非专家全量验收
M089.scheduling,M089,电动汽车充电控制,电动汽车有序充放电调度,839,True,837,M089.scheduling,研究对象须匹配“电动汽车有序充放电调度”对应对象，且满足所列任务；多任务冲突保留复核。,T0526|T0253|T0763|T0879,sample_object_task_supported,electric.vehicle|EV.charg|电动汽车|电动公交,charging.schedul|charging.strateg|smart.charging|coordinated.charging|orderly.charging|充电调度|有序充电|充电策略|充放电调度,,,,,自动规则接受；抽样诊断；非专家全量验收
M096.magnet_design,M096,永磁电机与磁路设计,永磁电机磁路与结构设计,233,True,233,M096.magnet_design,研究对象须匹配“永磁电机磁路与结构设计”对应对象，且满足所列任务；多任务冲突保留复核。,T0577|T0016|T0559|T0276|T0337,sample_object_task_supported,permanent.magnet.motor|永磁电机|永磁同步电机,design|magnetic.circuit|rotor|设计|磁路|转子,,,,,自动规则接受；抽样诊断；非专家全量验收
M097.building_cooling,M097,建筑与工业冷却节能,建筑冷却与被动降温,106,True,106,M097.building_cooling,研究对象须匹配“建筑冷却与被动降温”对应对象，且满足所列任务；多任务冲突保留复核。,T0635|T0749|T0097,descriptor_retrieval_only_not_sample_approved,building|建筑,passive.cooling|radiative.cooling|被动冷却|辐射降温|被动降温,,,,,自动规则接受；抽样诊断；非专家全量验收
M101.line_fault,M101,电力设备与线路故障检测、定位和诊断,输配电线路故障检测与定位,1392,True,1391,M101.line_fault,输配电线路的故障检测或定位；不包含电缆材料研究或雷电回击的抽象传输线模型。,T0164|T0214|T0771,sample_object_task_supported,transmission.line|distribution.line|power.line|输电线路|配电线路|电力线路,fault.locat|fault.detect|故障定位|故障检测,,,,,自动规则接受；抽样诊断；非专家全量验收
M101.switchgear,M101,电力设备与线路故障检测、定位和诊断,开关设备故障检测,372,True,372,M101.switchgear,研究对象须匹配“开关设备故障检测”对应对象，且满足所列任务；多任务冲突保留复核。,T0420|T0778|T0995|T0263|T0242|T0164|T0960|T0617|T0537,sample_object_task_supported,switchgear|circuit.breaker|开关柜|断路器,fault|diagnos|condition.monitor|故障|诊断|状态监测,,diagnos|fault.detect|fault.identif|condition.monitor|故障检测|故障诊断|状态监测,,短路电流应力并非开关设备故障诊断,自动规则接受；抽样诊断；非专家全量验收
