category_index,category_id,category_name,documents,countable_documents,supported_documents,needs_review_documents,retracted_documents,text_cleaned_documents,semantic_label_changes,paper_documents,patent_documents,policy_documents
64,C0065,电磁兼容干扰与电缆检测,9067,9058,0,9067,9,0,0,9056,11,0
65,C0066,环境税费补贴与市场规制,13266,13259,0,13266,7,0,0,13265,0,1
66,C0067,钙钛矿太阳能电池界面与器件性能,23090,23068,0,23090,22,23,0,23089,1,0
67,C0068,水热溶剂热合成与功能材料,8405,8397,0,8405,8,15,0,8405,0,0
68,C0069,宽禁带半导体外延与结器件,10227,10219,0,10227,8,6,0,10223,4,0
69,C0070,气象水文预测与环境评估,8178,8166,0,8178,12,0,0,7857,321,0
70,C0071,功能聚合物合成与结构,17650,17645,0,308,5,51,0,17503,147,0
71,C0072,氢能产业与制氢技术经济,10314,10287,0,10314,27,4,0,10278,13,23
72,C0073,电极过程与电化学沉积,16800,16797,0,16800,3,16,0,16766,34,0
73,C0074,通用防护支撑与安装结构混杂簇073,2048,2048,0,2048,0,0,0,19,2029,0
74,C0075,铋基氧化物光催化材料,9178,9168,0,1896,10,66,0,9178,0,0
75,C0076,通用催化剂与催化反应工程,18071,18063,0,18071,8,82,0,18054,17,0
76,C0077,机电传动与运动执行装置,2866,2865,0,2866,1,1,0,1072,1794,0
77,C0078,充电连接与通用部件混合,2245,2245,0,2245,0,0,0,20,2225,0
78,C0079,燃料电池系统运行控制,2150,2150,0,169,0,0,0,779,1371,0
79,C0080,污染物光催化降解,14060,14038,0,2289,22,37,0,14059,1,0
80,C0081,电力市场与售电制度政策,1033,1032,0,106,1,0,0,607,5,421
81,C0082,智能电网体系与通信,11967,11951,0,11967,16,12,0,11947,19,1
82,C0083,配电网电压无功与电能质量,11053,11039,0,11053,14,2,0,11011,42,0
83,C0084,电池单体电极及模组结构,4706,4706,0,4706,0,0,0,19,4687,0
84,C0085,多类功能薄膜与纳米器件,7945,7938,0,7945,7,2,0,7945,0,0
85,C0086,光伏组件性能建模与故障检测,13829,13821,0,13829,8,1,0,13811,18,0
86,C0087,制氢储氢与加氢系统,2088,2088,0,2088,0,0,0,258,1830,0
87,C0088,污水厌氧处理与产能回收,11007,11000,0,11007,7,9,0,10922,85,0
88,C0089,信号处理测量与电力扰动,17989,17987,0,17989,2,1,0,17729,260,0
89,C0090,电动汽车充电控制,2994,2994,0,67,0,0,0,516,2478,0
90,C0091,等离子体湍流与不稳定性,11517,11515,0,229,2,0,0,11517,0,0
91,C0092,天然气输配与气价政策,579,579,0,1,0,0,0,360,0,219
92,C0093,电能变换波浪能与互感器混合,11005,10992,0,11005,13,0,0,11005,0,0
93,C0094,晶体缺陷外延与变形,9428,9426,0,88,2,2,0,9335,93,0
94,C0095,泄漏检测与多设备状态监测,3359,3359,0,3359,0,0,0,1972,1386,1
95,C0096,电力设备通信与控制系统,3299,3299,0,3299,0,0,0,1289,2010,0
96,C0097,永磁电机与磁路设计,4701,4700,0,4701,1,0,0,3280,1421,0
97,C0098,建筑与工业冷却节能,10115,10112,0,10115,3,0,0,10052,63,0
98,C0099,无人机巡检与电网作业,1654,1654,0,31,0,0,0,292,1362,0
99,C0100,磁重联与磁场材料效应,13025,13020,0,13025,5,1,0,13018,7,0
100,C0101,人类世生态危机与社会转型,9450,9448,0,2,2,0,0,9449,1,0
101,C0102,电力设备与线路故障检测、定位和诊断,21019,21002,0,21019,17,1,0,17234,3785,0
102,C0103,金属基复合材料与耐磨制造,10563,10548,0,104,15,0,0,10508,55,0
103,C0104,发动机燃气轮机与动力机械,11593,11589,0,11593,4,0,0,11465,128,0
104,C0105,微电网能量管理与优化,10962,10932,0,2983,30,0,0,10811,151,0
105,C0106,电动汽车推广与整车能耗,11899,11891,0,11899,8,0,0,11895,4,0
106,C0107,模板化晶体数据库记录,10465,10463,0,10465,2,7,0,10433,32,0
107,C0108,储能充放电与变流控制,2002,2002,0,2002,0,0,0,307,1694,1
108,C0109,水系锌电池与锌空气电池,9518,9511,0,9518,7,18,0,9487,31,0
109,C0110,电气柜密封防护与开关部件,2606,2606,0,2606,0,0,0,136,2470,0
110,C0111,机柜装配与通用机械部件,3155,3155,0,3155,0,0,0,148,3007,0
111,C0112,电站锅炉汽轮机与设备运维,8434,8434,0,8434,0,1,0,8421,12,1
112,C0113,二氧化钛光催化材料与反应,38720,38686,0,38720,34,58,0,38720,0,0
113,C0114,水分离采集与流体界面技术,11433,11429,0,11433,4,6,0,11406,27,0
114,C0115,二氧化碳吸收溶解与水合物,10722,10722,0,10722,0,8,0,10715,7,0
115,C0116,电源装置与供电电路结构,2180,2180,0,2180,0,0,0,237,1943,0
116,C0117,制冷循环工质与能效,11564,11559,0,11564,5,3,0,11518,46,0
117,C0118,煤矿产能及经营公告,298,298,0,1,0,0,0,100,0,198
118,C0119,煤矿安全生产与许可管理,590,590,0,1,0,0,0,210,5,375
119,C0120,电力载波与通信传输,12726,12720,0,12726,6,0,0,12656,70,0
120,C0121,波浪能装置与海洋水动力,17713,17706,0,17713,7,0,0,17692,21,0
121,C0122,热电材料与热电性能优化,28891,28884,860,3584,7,43,104,28879,12,0
122,C0123,磁约束等离子体运行与边界,12766,12756,0,2459,10,1,0,12760,6,0
123,C0124,电力系统碳计量与低碳调度,3391,3386,219,3171,5,0,61,2343,1048,0
124,C0125,重整气化与合成气制氢,11227,11222,0,11227,5,16,0,10979,248,0
125,C0126,氮化碳及复合光催化材料,15701,15677,0,15701,24,74,0,15701,0,0
126,C0127,质子交换及功能聚合物膜,13564,13558,0,13564,6,7,0,13409,155,0
127,C0128,石墨烯复合材料与多场景应用,19841,19824,0,19841,17,25,0,19840,1,0
128,C0129,生物质与污泥厌氧消化产气,15747,15731,2150,1930,16,5,587,15721,26,0
129,C0130,能源网络安全与隐私保护,12250,12236,0,91,14,0,0,12004,246,0
130,C0131,光伏电池及组件结构制造,2674,2674,0,2674,0,0,0,185,2489,0
131,C0132,超级电容器复合电极材料,12789,12783,0,3858,6,7,0,12735,54,0
132,C0133,排放交易与污染治理政策研究,16000,15989,0,16000,11,1,0,16000,0,0
133,C0134,功能薄膜沉积与表征,13172,13160,0,162,12,6,0,13159,13,0
134,C0135,电连接器接线与端口结构,2483,2483,0,2483,0,0,0,465,2018,0
135,C0136,电力市场机制与产消者经济,19158,19150,0,19158,8,0,0,19138,19,1
136,C0137,电解与其他路线制氢技术,11821,11814,0,11821,7,15,0,11647,174,0
137,C0138,光伏出力预测与系统参数建模,10193,10171,0,10193,22,1,0,10172,21,0
138,C0139,变压器油纸绝缘诊断,5471,5468,0,192,3,0,0,5454,17,0
139,C0140,厌氧微生物产甲烷机制,11081,11073,0,288,8,6,0,11059,22,0
140,C0141,半导体载流子与电荷输运,14702,14697,0,309,5,21,0,14701,1,0
141,C0142,电机转子定子与装配结构,2327,2327,0,2327,0,0,0,121,2206,0
142,C0143,微电网变流器协调与功率分配,11721,11710,0,2181,11,2,0,11693,28,0
143,C0144,能源作物种植与生物质采收,10637,10631,0,272,6,1,0,10626,11,0
144,C0145,陆面气象与蒸散估计,11328,11324,0,71,4,0,0,11327,0,1
145,C0146,铁基催化剂与氧电催化,11540,11537,0,11540,3,15,0,11490,50,0
146,C0147,节能减排财政资金安排,240,240,0,0,0,0,0,41,0,199
147,C0148,电极与电机铁芯制造装置,2006,2006,0,2006,0,0,0,188,1818,0
148,C0149,临床疾病与健康研究,9305,9299,0,9305,6,2,0,9298,7,0
149,C0150,储能技术与能量转换综述,4282,4280,0,4282,2,6,0,4204,78,0
150,C0151,多孔碳吸附二氧化碳,15323,15314,754,3889,9,81,469,15265,58,0
151,C0152,镁基及多组元合金性质,11885,11882,0,64,3,1,0,11873,12,0
152,C0153,硅基材料与碳化硅陶瓷,12386,12383,0,12386,3,4,0,12356,30,0
153,C0154,无线电能传输电路与系统,12987,12983,4887,217,4,7,438,12620,366,1
154,C0155,电解水析氧催化,21799,21788,5379,2379,11,20,2954,21709,90,0
155,C0156,电力交易竞价与市场优化,12402,12386,425,715,16,0,195,12337,65,0
156,C0157,水工引水排水与杂项装置,2210,2209,0,2210,1,0,0,1200,1010,0
157,C0158,有机光伏材料、器件与载流子输运,22530,22515,0,22530,15,60,0,22518,12,0
158,C0159,太阳辐照预测与光伏环境建模,7709,7701,0,7709,8,5,0,7676,33,0
159,C0160,通用互联网协议与通信网络,13675,13671,0,35,4,6,0,13608,62,5
160,C0161,车辆操稳道路与轮胎交互,9559,9552,0,9559,7,3,0,9296,263,0
161,C0162,电气传感与多设备测量,5216,5214,0,5216,2,0,0,3900,1316,0
162,C0163,分布式电源接入与配电网运行,3542,3541,0,597,1,0,0,2625,917,0
163,C0164,输电线路雷电接地与电磁影响,11542,11541,0,11542,1,0,0,11523,19,0
164,C0165,天然气供能与燃气动力系统,8085,8083,0,8085,2,0,0,8056,28,1
165,C0166,多类太阳能电池结构与性能,12467,12461,0,12467,6,11,0,12425,42,0
166,C0167,晶硅异质结与硅基光伏制造,14347,14339,0,2965,8,3,0,14270,77,0
167,C0168,粒子束辐照与半导体材料缺陷,8490,8490,0,156,0,0,0,8486,4,0
168,C0169,电池荷电状态健康状态与建模,7680,7677,0,7680,3,5,0,7637,43,0
169,C0170,能源转型与能源安全研究,20605,20579,0,20605,26,0,0,20604,0,1
170,C0171,最优潮流与电网优化运行,10617,10609,0,520,8,0,0,10577,40,0
171,C0172,燃烧稳定与低污染排放,13452,13449,0,323,3,10,0,13416,36,0
172,C0173,电池正极改性与再生工艺,2668,2668,0,2668,0,0,0,447,2221,0
173,C0174,电力负荷预测与短路等系统计算混合,4483,4473,0,4483,10,2,0,3179,1304,0
174,C0175,空化流动与水动力,11501,11493,0,110,8,0,0,11496,5,0
175,C0176,光伏最大功率点跟踪,16567,16542,0,1269,25,0,0,16522,45,0
176,C0177,纳米结构输运与器件基础,11231,11224,0,74,7,5,0,11218,13,0
177,C0178,离子液体与电解质基础,11504,11501,0,11504,3,12,0,11481,23,0
178,C0179,超导与量子材料基础,6121,6115,0,467,6,5,0,6114,7,0
179,C0180,电池组结构均衡与供能电路,3509,3509,0,3509,0,0,0,544,2965,0
180,C0181,聚变装置与粒子束工程,10669,10667,0,10669,2,0,0,10640,29,0
181,C0182,导航定位与遥感观测,9124,9120,0,16,4,0,0,9021,103,0
182,C0183,通用控制器与电力控制算法,17208,17194,0,17208,14,2,0,16921,287,0
183,C0184,卤化物钙钛矿结构、光电物性与发光,30730,30717,0,913,13,36,0,30730,0,0
184,C0185,风电场运行与功率优化,13574,13561,0,944,13,7,0,13509,65,0
185,C0186,煤热解气化与煤质特性,11798,11794,0,209,4,2,0,11786,12,0
186,C0187,通用反应分离与气液处理装置,1968,1968,0,1968,0,1,0,626,1342,0
187,C0188,欧洲能源转型与能源政策研究,16861,16856,0,16861,5,0,0,16861,0,0
188,C0189,风力机叶片与气动设计,20539,20533,0,386,6,0,0,20517,22,0
189,C0190,充电负荷预测与园区用电调配,1687,1687,0,1687,0,0,0,229,1458,0
190,C0191,固态储氢材料与反应器,16891,16884,2264,965,7,57,598,16608,283,0
191,C0192,含锂化合物与锂金属界面,12223,12223,0,12223,0,49,0,12214,9,0
192,C0193,多设备温控与智能散热,4406,4406,0,4406,0,0,0,2237,2169,0
193,C0194,股票价格与通用金融预测,12328,12244,0,12328,84,0,0,12314,14,0
194,C0195,碳捕集封存与碳移除系统,13262,13256,0,13262,6,7,0,13251,9,2
195,C0196,混合动力与整车能量管理,15676,15652,0,1125,24,0,0,15628,48,0
196,C0197,铜基热电及功能复合材料,6333,6333,0,6333,0,33,0,6305,28,0
197,C0198,电池负极活性材料与电池器件,2559,2559,0,2559,0,0,0,63,2496,0
198,C0199,交直流供电与储备能源控制,3092,3092,0,3092,0,0,0,777,2315,0
199,C0200,直流输电保护与故障限流,11031,11025,0,485,6,0,0,10989,42,0
200,C0201,电化学电极与摩擦电材料混合,9685,9679,0,9685,6,5,0,9676,9,0
201,C0202,氧化锌复合光催化材料,13005,12983,0,2544,22,15,0,13002,3,0
202,C0203,纳米表征与光学传感材料,8394,8388,0,125,6,13,0,8363,31,0
203,C0204,发电项目电价结算及清单政策,231,231,0,6,0,0,0,101,1,129
204,C0205,电池测试表征与性能评估,9010,9007,0,9010,3,1,0,8936,74,0
205,C0206,激子量子点与发光机理,16014,16008,0,225,6,7,0,16007,7,0
206,C0207,组件边框与通用结构材料,2110,2110,0,2110,0,0,0,265,1845,0
207,C0208,能源企业组织投资与管理,12691,12686,0,12691,5,1,0,12661,25,5
208,C0209,有机半导体光物理与光电响应,10829,10826,0,606,3,12,0,10828,1,0
209,C0210,地热资源开发与换热,11871,11867,0,1751,4,2,0,11821,49,1
210,C0211,直流变换器拓扑与设计,18808,18798,0,2004,10,4,0,18034,774,0
211,C0212,等离子体波与高能粒子作用,14465,14462,0,1249,3,0,0,14464,1,0
212,C0213,电力电缆绝缘与运行诊断,8594,8588,0,1582,6,2,0,8324,269,1
213,C0214,通信网络路由与拓扑,13770,13755,0,128,15,0,0,13570,200,0
214,C0215,电池极耳焊接及耳机等混合部件,1059,1059,0,1059,0,0,0,92,967,0
215,C0216,电力可靠性与电气安全,12063,12060,0,12063,3,2,0,12007,55,1
216,C0217,离子液体萃取与金属分离,8337,8333,0,201,4,18,0,8327,10,0
217,C0218,气候变化治理与国际政策,21895,21890,0,1710,5,1,0,21895,0,0
218,C0219,系统可靠性及暂态稳定混合,10951,10944,0,10951,7,1,0,10803,148,0
219,C0220,局部放电电晕与放电物理,7985,7984,0,7985,1,0,0,7981,4,0
220,C0221,锂金属沉积与含锂电极材料,15769,15769,0,15769,0,42,0,15756,13,0
221,C0222,木质纤维素预处理与生化转化,13717,13714,0,13717,3,6,0,13705,12,0
222,C0223,泵水轮机与水力机械流动,15408,15405,0,228,3,0,0,15395,13,0
223,C0224,生物炭制备与环境应用,8602,8594,0,8602,8,15,0,8583,19,0
224,C0225,离子导电及功能聚合物,13534,13526,0,572,8,3,0,13261,273,0
225,C0226,过硫酸盐活化与高级氧化,13343,13336,3673,506,7,12,600,13341,2,0
226,C0227,空调通风与空气处理,8973,8969,0,182,4,0,0,8924,49,0
227,C0228,能源审计与综合节能评估,19317,19307,0,19317,10,1,0,19308,9,0
228,C0229,通用安装固定与机电结构,4241,4241,0,4241,0,0,0,35,4206,0
229,C0230,高温钢材蠕变腐蚀与焊接,10408,10406,0,136,2,1,0,10375,33,0
230,C0231,专利权利要求格式与杂项器件,2831,2831,0,2831,0,0,0,164,2667,0
231,C0232,多种掺杂氧化物及功能化合物,11909,11905,0,11909,4,68,0,11889,20,0
232,C0233,半导体光电化学水分解,10970,10964,2686,878,6,53,714,10970,0,0
233,C0234,软开关谐振与交流变换器,13196,13192,0,13196,4,3,0,13157,39,0
234,C0235,热电发电器件与热设计,15016,15013,0,768,3,3,0,14966,50,0
235,C0236,氢能供给加氢与系统集成,8347,8336,0,8347,11,0,0,8202,145,0
236,C0237,分布式光伏部署与技术经济,23692,23675,0,23692,17,13,0,23673,8,11
237,C0238,农业农村经济与资源发展,9577,9566,0,10,11,0,0,9577,0,0
238,C0239,高温及绝缘陶瓷制备,9985,9980,0,9985,5,6,0,9912,73,0
239,C0240,薄膜晶体管与有机电子器件,8242,8239,0,201,3,8,0,8241,1,0
240,C0241,有机半导体供受体与分子器件材料,13229,13222,0,818,7,9,0,13214,15,0
241,C0242,文摘索引与教学资料记录,5446,5443,0,5446,3,3214,0,5445,1,0
242,C0243,生物油热解与燃料升级,13582,13573,0,819,9,14,0,13536,46,0
243,C0244,电驱控制器与机电集成装置,2134,2134,0,2134,0,0,0,144,1990,0
244,C0245,碳基超级电容器电极,12699,12688,0,10159,11,2,0,12690,9,0
245,C0246,虚拟电厂资源聚合与调度,2610,2604,1823,83,6,0,209,1905,686,19
246,C0247,镍锰及多种无机功能材料,11497,11490,0,11497,7,7,0,11424,73,0
247,C0248,电力安全生产与应急政策,965,965,0,106,0,0,0,623,6,336
248,C0249,磁性材料磁路与磁场基础,12703,12696,0,12703,7,17,0,12579,124,0
249,C0250,热力循环余热与联供系统,9533,9522,0,9533,11,2,0,9502,28,3
250,C0251,充电站选址与充电调度,9621,9600,0,2514,21,0,0,9567,54,0
251,C0252,热泵与区域供热供冷,10959,10953,0,10959,6,9,0,10913,43,3
252,C0253,二氧化碳加氢与多类催化反应,9613,9609,0,9613,4,33,0,9611,2,0
253,C0254,电催化析氢与界面调控,19499,19487,4974,993,12,34,3190,19471,28,0
254,C0255,锂离子电池电极材料,13320,13311,0,13320,9,94,0,13309,11,0
255,C0256,磁电耦合与自旋极化基础,11714,11709,0,56,5,6,0,11712,2,0
256,C0257,固体氧化物燃料电池,18799,18789,12407,745,10,125,5197,18601,198,0
257,C0258,综合能源系统协同管理与优化调度,19593,19541,0,19593,52,3,0,18448,1135,10
258,C0259,锂硫电池正极与多硫化物调控,11208,11206,7657,943,2,22,2461,11049,159,0
259,C0260,电压电流检测与校验电路,3082,3081,0,3082,1,0,0,647,2435,0
260,C0261,保护电路与开关控制,3277,3277,0,3277,0,0,0,564,2713,0
261,C0262,电池外壳盖板与封装,3146,3146,0,1269,0,0,0,21,3125,0
262,C0263,碳基氧还原及单原子催化,12569,12558,0,12569,11,18,0,12567,2,0
263,C0264,绿色发展可持续性与绿色金融,16115,16081,0,16115,34,2,0,16109,5,1
264,C0265,覆冰冻结与除冰传热,4246,4246,0,4246,0,0,0,4130,116,0
265,C0266,燃料电池质子交换膜,12065,12060,345,5576,5,18,106,12032,33,0
266,C0267,通用数学方程与数值方法,15483,15476,0,136,7,1,0,15467,16,0
267,C0268,液冷流体通道与杂项机电装置,2231,2231,0,2231,0,0,0,112,2119,0
268,C0269,有机发光与分子光物理材料,13964,13960,0,1973,4,93,0,13953,11,0
269,C0270,翼型螺旋桨与航空气动,15706,15704,0,81,2,0,0,15671,35,0
270,C0271,沼气及多路线生物燃料,13989,13981,0,13989,8,20,0,13925,64,0
271,C0272,高分子绝缘与复合材料混合,9187,9180,0,9187,7,0,0,9155,32,0
272,C0273,电机调制谐波与转矩控制,3473,3473,0,3473,0,0,0,1097,2376,0
273,C0274,电缆结构材料与敷设,3320,3320,0,3320,0,0,0,455,2865,0
274,C0275,风电发电机与并网控制,15613,15595,0,421,18,8,0,15392,221,0
275,C0276,锂离子电池负极材料,23866,23858,0,2303,8,37,0,23863,3,0
276,C0277,分子生物学与医学机制,10192,10156,0,10192,36,3,0,10185,7,0
277,C0278,整体电催化水分解,14069,14054,1590,3032,15,17,189,14064,5,0
278,C0279,光伏支架与组件机械固定,2893,2893,0,275,0,0,0,27,2866,0
279,C0280,航空器无人机设计与飞控,13159,13156,0,46,3,1,0,13066,93,0
280,C0281,电机磁路转子与铁芯设计,3413,3412,0,3413,1,0,0,281,3132,0
281,C0282,金融投资与风险经济,12326,12309,0,61,17,0,0,12326,0,0
282,C0283,油路液压与油浸电气装置,1308,1308,0,1308,0,0,0,176,1132,0
283,C0284,能源标准化许可与专项监管,1326,1326,0,1326,0,0,0,844,0,482
284,C0285,热泵换热器与热管理设计,11841,11836,0,11841,5,1,0,11832,9,0
285,C0286,燃料电池铂基催化剂,14654,14648,0,2650,6,27,0,14578,76,0
286,C0287,核裂变聚变与核电工程,9653,9649,0,9653,4,0,0,9170,480,3
287,C0288,多体系电池配方与器件,4481,4480,0,4481,1,8,0,1790,2691,0
288,C0289,锌基硫族及氧化物薄膜,13393,13384,0,631,9,6,0,13392,1,0
289,C0290,铁氧化物磁性纳米材料,16456,16427,0,284,29,33,0,16437,19,0
290,C0291,瓶装液化石油气价格政策,218,218,0,0,0,0,0,39,0,179
291,C0292,仿真软件硬件在环与教学平台,10712,10706,0,10712,6,4,0,10546,166,0
292,C0293,电池系统管理与全寿命利用,9865,9856,0,9865,9,5,0,9802,61,2
293,C0294,电池管理与均衡控制,3982,3982,0,992,0,1,0,1538,2444,0
294,C0295,光学薄膜与发光表征,11116,11104,0,78,12,2,0,11105,11,0
295,C0296,供水管网水力状态与节能调度,6751,6748,0,326,3,5,0,6068,683,0
296,C0297,废旧锂电池回收、分离与材料再生,8343,8341,0,1814,2,17,0,7244,1099,0
297,C0298,场效应晶体管结构与建模,11901,11895,1961,9940,6,1,522,11873,28,0
298,C0299,温度测量监测与温控装置,2838,2837,0,2838,1,0,0,1517,1321,0
299,C0300,出版商模板干扰的多能源文本,11350,11347,0,11350,3,5638,0,11349,1,0
300,C0301,半导体离子注入与辐照缺陷,9288,9286,0,519,2,0,0,9279,9,0
301,C0302,制冷循环与余热驱动制冷,7475,7468,0,7475,7,0,0,7474,1,0
302,C0303,照明灯具与光学部件,6011,6009,0,6011,2,0,0,4960,1050,1
303,C0304,二氧化钛纳米结构制备与基础应用,35044,35023,0,2157,21,55,0,34984,60,0
304,C0305,电气设备防护监测及杂项装置,3112,3112,0,3112,0,0,0,251,2861,0
305,C0306,电能质量谐波检测与信号分析,16094,16087,0,689,7,5,0,16045,49,0
306,C0307,对流換热与换热器热工分析,14706,14700,0,14706,6,0,0,14693,13,0
307,C0308,变电站自动化与电网监控,12737,12735,0,12737,2,5,0,12285,452,0
308,C0309,电动车辆及充电系统装置,2888,2888,0,2888,0,0,0,1093,1794,1
309,C0310,复合氧化物合成与电化学性质,10419,10418,0,10419,1,207,0,10262,157,0
310,C0311,变换器与电机变压器保护混合,13450,13446,0,13450,4,3,0,13389,61,0
311,C0312,书目碎片封面与其他非研究文本,3892,3891,0,3892,1,0,0,3887,4,1
312,C0313,电力系统频率控制及通用控制方法,10080,10065,0,10080,15,0,0,10079,1,0
313,C0314,多体系电催化剂与电池材料制备,3076,3076,0,3076,0,1,0,448,2628,0
314,C0315,中国能源转型与区域低碳经济,15098,15077,0,15098,21,0,0,15093,0,5
315,C0316,多种燃料燃烧与排放评估,11126,11122,0,11126,4,18,0,11126,0,0
316,C0317,溶剂萃取与化学分离,12010,12004,0,234,6,14,0,12007,3,0
317,C0318,时钟同步与时延建模,9040,9036,0,82,4,2,0,8853,187,0
318,C0319,等离子体动力学与磁约束,12382,12352,0,12382,30,0,0,12381,1,0
319,C0320,二氧化碳捕集材料与工艺,10508,10499,0,10508,9,15,0,10006,502,0
