baseline_category_id,baseline_category_name,category_id,category_name,quarantine_code,quarantine_reason,documents
C0003,电力电子控制与频率调节,C0736,电力系统暂态稳定,,,42
C0003,电力电子控制与频率调节,C0737,电力系统电压稳定,,,7
C0003,电力电子控制与频率调节,C0741,电网状态估计与相量测量,,,1
C0003,电力电子控制与频率调节,C0746,功率因数校正电路与控制,,,7
C0004,风能开发与风电技术经济,C0489,海上风电开发与技术经济,,,256
C0004,风能开发与风电技术经济,C0490,风能资源评估与选址,,,1626
C0004,风能开发与风电技术经济,C0502,潮汐与潮流能开发,,,13
C0004,风能开发与风电技术经济,C0506,石油价格与市场经济,,,1
C0004,风能开发与风电技术经济,C0515,膜法海水淡化,,,2
C0004,风能开发与风电技术经济,C0524,储能运行调度与收益,,,2
C0004,风能开发与风电技术经济,C0534,氢能技术经济与生命周期,,,4
C0004,风能开发与风电技术经济,C0541,光伏组件退化与寿命,,,1
C0004,风能开发与风电技术经济,C0551,燃气轮机热力性能,,,1
C0004,风能开发与风电技术经济,C0564,波浪能转换装置,,,14
C0004,风能开发与风电技术经济,C0614,电晕放电与电晕损耗,,,1
C0004,风能开发与风电技术经济,C0624,农光互补与农光协同,,,1
C0004,风能开发与风电技术经济,C0642,绿色金融与能源投资,,,1
C0004,风能开发与风电技术经济,C0656,动力电池梯次利用,,,1
C0004,风能开发与风电技术经济,C0672,漂浮式海上风电平台,,,51
C0004,风能开发与风电技术经济,C0675,风电出力预测,,,45
C0004,风能开发与风电技术经济,C0676,风速预测,,,16
C0004,风能开发与风电技术经济,C0713,电价预测,,,1
C0004,风能开发与风电技术经济,C0726,风机状态监测与预测性维护,,,3
C0004,风能开发与风电技术经济,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,4
C0005,钙钛矿氧化物电催化,C0493,光催化制氢,,,5
C0005,钙钛矿氧化物电催化,C0501,钠电池电解液与界面,,,2
C0005,钙钛矿氧化物电催化,C0530,钙钛矿电池界面、钝化与传输层,,,10
C0005,钙钛矿氧化物电催化,C0537,其他材料光催化污染物降解,,,1
C0005,钙钛矿氧化物电催化,C0555,锌空气电池,,,24
C0005,钙钛矿氧化物电催化,C0560,二氧化碳水合物形成与分离,,,1
C0005,钙钛矿氧化物电催化,C0565,二氧化碳干重整制合成气,,,6
C0005,钙钛矿氧化物电催化,C0566,蒸汽重整制氢与合成气,,,3
C0005,钙钛矿氧化物电催化,C0576,碱性水电解制氢,,,2
C0005,钙钛矿氧化物电催化,C0577,质子交换膜水电解制氢,,,1
C0005,钙钛矿氧化物电催化,C0634,二氧化碳催化加氢与甲烷化,,,2
C0005,钙钛矿氧化物电催化,C0671,二氧化碳固体吸附捕集,,,1
C0005,钙钛矿氧化物电催化,C0678,聚光太阳能热发电,,,1
C0005,钙钛矿氧化物电催化,C0714,层状及富镍锂电正极材料,,,1
C0005,钙钛矿氧化物电催化,C0727,钠离子电池负极材料,,,1
C0005,钙钛矿氧化物电催化,C0742,氮气电还原制氨,,,1
C0005,钙钛矿氧化物电催化,C0743,硝酸盐电还原制氨,,,2
C0005,钙钛矿氧化物电催化,C0745,热化学储热系统,,,3
C0005,钙钛矿氧化物电催化,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,7
C0006,电网建设与供电服务政策,C0522,销售电价与用户电费政策,,,1
C0006,电网建设与供电服务政策,C0528,可再生能源补贴机制,,,4
C0006,电网建设与供电服务政策,C0626,屋顶与分布式光伏部署,,,2
C0006,电网建设与供电服务政策,C0691,充电基础设施建设政策,,,12
C0006,电网建设与供电服务政策,C0718,配电网规划与容量配置,,,3
C0007,层状电池正极与离子导体,C0060,超级电容器电极与器件,,,15
C0007,层状电池正极与离子导体,C0122,热电材料与热电性能优化,,,1
C0007,层状电池正极与离子导体,C0191,固态储氢材料与反应器,,,2
C0007,层状电池正极与离子导体,C0257,固体氧化物燃料电池,,,15
C0007,层状电池正极与离子导体,C0259,锂硫电池正极与多硫化物调控,,,92
C0007,层状电池正极与离子导体,C0336,硅碳负极材料与制备,,,20
C0007,层状电池正极与离子导体,C0387,有机发光二极管与发光材料,,,1
C0007,层状电池正极与离子导体,C0417,固体氧化物电解池与可逆电化学单元,,,2
C0007,层状电池正极与离子导体,C0441,二次电池电解液添加剂与配方,,,9
C0007,层状电池正极与离子导体,C0487,电池冷却与散热,,,4
C0007,层状电池正极与离子导体,C0501,钠电池电解液与界面,,,2
C0007,层状电池正极与离子导体,C0518,电池电极粘结剂,,,32
C0007,层状电池正极与离子导体,C0519,电池隔膜制备与改性,,,8
C0007,层状电池正极与离子导体,C0520,凝胶聚合物锂电解质,,,3
C0007,层状电池正极与离子导体,C0521,固态聚合物锂电解质,,,10
C0007,层状电池正极与离子导体,C0537,其他材料光催化污染物降解,,,1
C0007,层状电池正极与离子导体,C0556,水系锌离子电池,,,22
C0007,层状电池正极与离子导体,C0598,锂资源提取与分离,,,5
C0007,层状电池正极与离子导体,C0602,摩擦纳米发电机,,,1
C0007,层状电池正极与离子导体,C0604,电池老化实验与循环寿命,,,6
C0007,层状电池正极与离子导体,C0616,锂金属负极界面稳定与枝晶抑制,,,41
C0007,层状电池正极与离子导体,C0648,锂电石墨负极,,,1
C0007,层状电池正极与离子导体,C0660,废旧电池湿法回收,,,1
C0007,层状电池正极与离子导体,C0673,硫化物固态电解质,,,7
C0007,层状电池正极与离子导体,C0683,电池火灾抑制与灭火,,,1
C0007,层状电池正极与离子导体,C0684,电池热失控与传播,,,5
C0007,层状电池正极与离子导体,C0697,钾离子电池,,,2
C0007,层状电池正极与离子导体,C0714,层状及富镍锂电正极材料,,,329
C0007,层状电池正极与离子导体,C0715,锂电磷酸盐正极材料,,,483
C0007,层状电池正极与离子导体,C0727,钠离子电池负极材料,,,29
C0007,层状电池正极与离子导体,C0728,钠离子电池正极材料,,,184
C0007,层状电池正极与离子导体,C0745,热化学储热系统,,,1
C0007,层状电池正极与离子导体,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,15
C0008,电极涂布与通用成形加工,C0060,超级电容器电极与器件,,,2
C0008,电极涂布与通用成形加工,C0491,电池电极涂布与辊压,,,6
C0008,电极涂布与通用成形加工,C0496,集成电路与功率模块封装,,,1
C0008,电极涂布与通用成形加工,C0500,压电能量采集,,,1
C0008,电极涂布与通用成形加工,C0519,电池隔膜制备与改性,,,1
C0008,电极涂布与通用成形加工,C0571,光伏电池与组件制造工艺,,,1
C0008,电极涂布与通用成形加工,C0579,电机转子结构与制造,,,2
C0008,电极涂布与通用成形加工,C0580,电机定子结构与制造,,,6
C0008,电极涂布与通用成形加工,C0585,有机光伏印刷与规模制造,,,1
C0008,电极涂布与通用成形加工,C0641,电池盖板、端子与密封结构,,,1
C0008,电极涂布与通用成形加工,C0648,锂电石墨负极,,,12
C0008,电极涂布与通用成形加工,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,4
C0009,二氧化碳电还原催化,C0493,光催化制氢,,,3
C0009,二氧化碳电还原催化,C0501,钠电池电解液与界面,,,1
C0009,二氧化碳电还原催化,C0510,光催化二氧化碳还原,,,28
C0009,二氧化碳电还原催化,C0537,其他材料光催化污染物降解,,,2
C0009,二氧化碳电还原催化,C0556,水系锌离子电池,,,2
C0009,二氧化碳电还原催化,C0565,二氧化碳干重整制合成气,,,9
C0009,二氧化碳电还原催化,C0566,蒸汽重整制氢与合成气,,,1
C0009,二氧化碳电还原催化,C0576,碱性水电解制氢,,,6
C0009,二氧化碳电还原催化,C0577,质子交换膜水电解制氢,,,1
C0009,二氧化碳电还原催化,C0600,直接空气捕碳,,,1
C0009,二氧化碳电还原催化,C0634,二氧化碳催化加氢与甲烷化,,,158
C0009,二氧化碳电还原催化,C0670,二氧化碳溶剂吸收捕集,,,7
C0009,二氧化碳电还原催化,C0671,二氧化碳固体吸附捕集,,,146
C0009,二氧化碳电还原催化,C0687,染料敏化电池对电极,,,2
C0009,二氧化碳电还原催化,C0694,稀土元素提取分离,,,1
C0009,二氧化碳电还原催化,C0714,层状及富镍锂电正极材料,,,3
C0009,二氧化碳电还原催化,C0728,钠离子电池正极材料,,,3
C0009,二氧化碳电还原催化,C0742,氮气电还原制氨,,,1
C0009,二氧化碳电还原催化,C0743,硝酸盐电还原制氨,,,3
C0009,二氧化碳电还原催化,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,60
C0010,土壤碳过程与土壤改良,C0129,生物质与污泥厌氧消化产气,,,3
C0010,土壤碳过程与土壤改良,C0513,天然气水合物生成与分解,,,1
C0010,土壤碳过程与土壤改良,C0527,碳税与环境税费,,,1
C0010,土壤碳过程与土壤改良,C0541,光伏组件退化与寿命,,,1
C0010,土壤碳过程与土壤改良,C0569,餐厨垃圾或污泥厌氧消化,,,1
C0010,土壤碳过程与土壤改良,C0570,畜禽粪便与农业残余厌氧消化,,,1
C0010,土壤碳过程与土壤改良,C0588,电网接地与地网安全,,,9
C0010,土壤碳过程与土壤改良,C0619,生物炭土壤改良,,,165
C0010,土壤碳过程与土壤改良,C0624,农光互补与农光协同,,,4
C0010,土壤碳过程与土壤改良,C0651,地源热泵与地埋换热器,,,5
C0010,土壤碳过程与土壤改良,C0671,二氧化碳固体吸附捕集,,,3
C0010,土壤碳过程与土壤改良,C0674,森林资源经营与碳汇,,,22
C0010,土壤碳过程与土壤改良,C0695,铀钍提取与分离,,,1
C0010,土壤碳过程与土壤改良,C0719,气候变化适应与风险,,,1
C0010,土壤碳过程与土壤改良,C0738,木材加工与干燥,,,1
C0010,土壤碳过程与土壤改良,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,3
C0011,光催化与光生物制氢,C0009,二氧化碳电还原催化,,,2
C0011,光催化与光生物制氢,C0155,电解水析氧催化,,,16
C0011,光催化与光生物制氢,C0191,固态储氢材料与反应器,,,5
C0011,光催化与光生物制氢,C0226,过硫酸盐活化与高级氧化,,,1
C0011,光催化与光生物制氢,C0233,半导体光电化学水分解,,,393
C0011,光催化与光生物制氢,C0254,电催化析氢与界面调控,,,107
C0011,光催化与光生物制氢,C0278,整体电催化水分解,,,1
C0011,光催化与光生物制氢,C0492,光生物制氢,,,44
C0011,光催化与光生物制氢,C0493,光催化制氢,,,6569
C0011,光催化与光生物制氢,C0498,生物能源生命周期与可持续性,,,2
C0011,光催化与光生物制氢,C0510,光催化二氧化碳还原,,,141
C0011,光催化与光生物制氢,C0526,厌氧发酵生物制氢,,,4
C0011,光催化与光生物制氢,C0534,氢能技术经济与生命周期,,,1
C0011,光催化与光生物制氢,C0537,其他材料光催化污染物降解,,,78
C0011,光催化与光生物制氢,C0557,TiO₂光催化污染物降解,,,4
C0011,光催化与光生物制氢,C0565,二氧化碳干重整制合成气,,,1
C0011,光催化与光生物制氢,C0566,蒸汽重整制氢与合成气,,,6
C0011,光催化与光生物制氢,C0586,小分子有机太阳能电池,,,2
C0011,光催化与光生物制氢,C0603,ZnO光催化污染物降解,,,2
C0011,光催化与光生物制氢,C0618,木质纤维素预处理,,,1
C0011,光催化与光生物制氢,C0623,氢能供应链与基础设施规划,,,1
C0011,光催化与光生物制氢,C0634,二氧化碳催化加氢与甲烷化,,,75
C0011,光催化与光生物制氢,C0671,二氧化碳固体吸附捕集,,,2
C0011,光催化与光生物制氢,C0689,染料敏化电池敏化剂,,,1
C0011,光催化与光生物制氢,C0695,铀钍提取与分离,,,2
C0011,光催化与光生物制氢,C0725,废塑料回收与转化,,,1
C0011,光催化与光生物制氢,C0743,硝酸盐电还原制氨,,,1
C0011,光催化与光生物制氢,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,32
C0012,聚合物介电绝缘与储能,C0060,超级电容器电极与器件,,,93
C0012,聚合物介电绝缘与储能,C0122,热电材料与热电性能优化,,,13
C0012,聚合物介电绝缘与储能,C0257,固体氧化物燃料电池,,,2
C0012,聚合物介电绝缘与储能,C0336,硅碳负极材料与制备,,,2
C0012,聚合物介电绝缘与储能,C0355,染料敏化太阳能电池材料与器件,,,19
C0012,聚合物介电绝缘与储能,C0387,有机发光二极管与发光材料,,,4
C0012,聚合物介电绝缘与储能,C0412,质子交换膜燃料电池运行与建模,,,7
C0012,聚合物介电绝缘与储能,C0417,固体氧化物电解池与可逆电化学单元,,,1
C0012,聚合物介电绝缘与储能,C0420,碳化硅功率半导体器件,,,1
C0012,聚合物介电绝缘与储能,C0494,聚合物介电储能,,,4
C0012,聚合物介电绝缘与储能,C0495,聚合物电气绝缘,,,28
C0012,聚合物介电绝缘与储能,C0501,钠电池电解液与界面,,,6
C0012,聚合物介电绝缘与储能,C0518,电池电极粘结剂,,,11
C0012,聚合物介电绝缘与储能,C0520,凝胶聚合物锂电解质,,,4
C0012,聚合物介电绝缘与储能,C0521,固态聚合物锂电解质,,,37
C0012,聚合物介电绝缘与储能,C0541,光伏组件退化与寿命,,,2
C0012,聚合物介电绝缘与储能,C0577,质子交换膜水电解制氢,,,1
C0012,聚合物介电绝缘与储能,C0584,聚合物有机太阳能电池,,,23
C0012,聚合物介电绝缘与储能,C0601,铜基热电材料,,,2
C0012,聚合物介电绝缘与储能,C0602,摩擦纳米发电机,,,66
C0012,聚合物介电绝缘与储能,C0614,电晕放电与电晕损耗,,,4
C0012,聚合物介电绝缘与储能,C0615,电气绝缘局部放电,,,13
C0012,聚合物介电绝缘与储能,C0638,电压检测与测量电路,,,1
C0012,聚合物介电绝缘与储能,C0647,电缆绝缘护套与导体结构,,,76
C0012,聚合物介电绝缘与储能,C0666,功率半导体器件,,,1
C0012,聚合物介电绝缘与储能,C0687,染料敏化电池对电极,,,3
C0012,聚合物介电绝缘与储能,C0714,层状及富镍锂电正极材料,,,9
C0012,聚合物介电绝缘与储能,C0728,钠离子电池正极材料,,,1
C0013,集成电路与电子封装,C0060,超级电容器电极与器件,,,43
C0013,集成电路与电子封装,C0154,无线电能传输电路与系统,,,9
C0013,集成电路与电子封装,C0257,固体氧化物燃料电池,,,5
C0013,集成电路与电子封装,C0298,场效应晶体管结构与建模,,,1
C0013,集成电路与电子封装,C0336,硅碳负极材料与制备,,,2
C0013,集成电路与电子封装,C0386,感应电机运行控制与性能,,,1
C0013,集成电路与电子封装,C0387,有机发光二极管与发光材料,,,7
C0013,集成电路与电子封装,C0412,质子交换膜燃料电池运行与建模,,,4
C0013,集成电路与电子封装,C0420,碳化硅功率半导体器件,,,12
C0013,集成电路与电子封装,C0496,集成电路与功率模块封装,,,26
C0013,集成电路与电子封装,C0500,压电能量采集,,,15
C0013,集成电路与电子封装,C0518,电池电极粘结剂,,,1
C0013,集成电路与电子封装,C0530,钙钛矿电池界面、钝化与传输层,,,1
C0013,集成电路与电子封装,C0533,氮化镓功率与结器件,,,5
C0013,集成电路与电子封装,C0571,光伏电池与组件制造工艺,,,1
C0013,集成电路与电子封装,C0602,摩擦纳米发电机,,,32
C0013,集成电路与电子封装,C0615,电气绝缘局部放电,,,1
C0013,集成电路与电子封装,C0622,谐振与软开关变换器,,,2
C0013,集成电路与电子封装,C0639,漏电与剩余电流保护,,,1
C0013,集成电路与电子封装,C0654,能源电力教学实验平台,,,2
C0013,集成电路与电子封装,C0661,温度传感与测量装置,,,1
C0013,集成电路与电子封装,C0666,功率半导体器件,,,92
C0013,集成电路与电子封装,C0746,功率因数校正电路与控制,,,4
C0013,集成电路与电子封装,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,3
C0014,电池单体模组及用电器件混合,C0487,电池冷却与散热,,,26
C0014,电池单体模组及用电器件混合,C0491,电池电极涂布与辊压,,,1
C0014,电池单体模组及用电器件混合,C0511,电池装配工装与制造设备,,,11
C0014,电池单体模组及用电器件混合,C0519,电池隔膜制备与改性,,,17
C0014,电池单体模组及用电器件混合,C0571,光伏电池与组件制造工艺,,,1
C0014,电池单体模组及用电器件混合,C0638,电压检测与测量电路,,,1
C0014,电池单体模组及用电器件混合,C0641,电池盖板、端子与密封结构,,,39
C0014,电池单体模组及用电器件混合,C0683,电池火灾抑制与灭火,,,1
C0014,电池单体模组及用电器件混合,C0684,电池热失控与传播,,,1
C0014,电池单体模组及用电器件混合,C0699,电池模组与电池包装配结构,,,9
C0015,通用机器学习与优化算法,C0517,配电网需求响应与柔性调度,,,2
C0015,通用机器学习与优化算法,C0524,储能运行调度与收益,,,2
C0015,通用机器学习与优化算法,C0539,配电网谐波与电能质量治理,,,1
C0015,通用机器学习与优化算法,C0540,配电网电压无功优化,,,1
C0015,通用机器学习与优化算法,C0552,微电网能量管理与经济调度,,,10
C0015,通用机器学习与优化算法,C0564,波浪能转换装置,,,5
C0015,通用机器学习与优化算法,C0582,微电网孤岛切换与动态控制,,,6
C0015,通用机器学习与优化算法,C0602,摩擦纳米发电机,,,1
C0015,通用机器学习与优化算法,C0630,有机朗肯循环发电,,,3
C0015,通用机器学习与优化算法,C0632,电动汽车路径与补能规划,,,3
C0015,通用机器学习与优化算法,C0633,区域供热供冷系统,,,2
C0015,通用机器学习与优化算法,C0636,综合能源系统优化调度,,,2
C0015,通用机器学习与优化算法,C0679,FPGA实时控制与硬件实现,,,2
C0015,通用机器学习与优化算法,C0680,生物质气化制合成气,,,1
C0015,通用机器学习与优化算法,C0685,智能电网网络攻击与安全,,,1
C0015,通用机器学习与优化算法,C0710,水电站运行调度,,,13
C0015,通用机器学习与优化算法,C0712,电力负荷预测,,,66
C0015,通用机器学习与优化算法,C0718,配电网规划与容量配置,,,10
C0015,通用机器学习与优化算法,C0741,电网状态估计与相量测量,,,2
C0015,通用机器学习与优化算法,C0744,潜热储热系统,,,1
C0015,通用机器学习与优化算法,C0747,网络入侵检测,,,3
C0016,生物质能源利用与可持续性,C0063,生物质热解与炭化,,,46
C0016,生物质能源利用与可持续性,C0129,生物质与污泥厌氧消化产气,,,22
C0016,生物质能源利用与可持续性,C0481,微生物燃料电池与生物产电,,,2
C0016,生物质能源利用与可持续性,C0497,藻类生物燃料,,,7
C0016,生物质能源利用与可持续性,C0498,生物能源生命周期与可持续性,,,1150
C0016,生物质能源利用与可持续性,C0515,膜法海水淡化,,,1
C0016,生物质能源利用与可持续性,C0527,碳税与环境税费,,,2
C0016,生物质能源利用与可持续性,C0534,氢能技术经济与生命周期,,,7
C0016,生物质能源利用与可持续性,C0569,餐厨垃圾或污泥厌氧消化,,,2
C0016,生物质能源利用与可持续性,C0570,畜禽粪便与农业残余厌氧消化,,,1
C0016,生物质能源利用与可持续性,C0606,地热资源勘探与储层建模,,,1
C0016,生物质能源利用与可持续性,C0617,木质纤维素生物乙醇,,,1
C0016,生物质能源利用与可持续性,C0619,生物炭土壤改良,,,6
C0016,生物质能源利用与可持续性,C0624,农光互补与农光协同,,,10
C0016,生物质能源利用与可持续性,C0633,区域供热供冷系统,,,9
C0016,生物质能源利用与可持续性,C0644,沼气提纯与生物甲烷升级,,,9
C0016,生物质能源利用与可持续性,C0668,中国区域低碳经济与碳效率,,,2
C0016,生物质能源利用与可持续性,C0674,森林资源经营与碳汇,,,35
C0016,生物质能源利用与可持续性,C0680,生物质气化制合成气,,,130
C0016,生物质能源利用与可持续性,C0681,生物质水热炭化,,,1
C0016,生物质能源利用与可持续性,C0720,气候变化减缓政策,,,4
C0016,生物质能源利用与可持续性,C0738,木材加工与干燥,,,7
C0016,生物质能源利用与可持续性,C0750,能源贫困与能源可及性,,,8
C0016,生物质能源利用与可持续性,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,1
C0017,电磁场耦合与电磁换能,C0060,超级电容器电极与器件,,,1
C0017,电磁场耦合与电磁换能,C0154,无线电能传输电路与系统,,,15
C0017,电磁场耦合与电磁换能,C0298,场效应晶体管结构与建模,,,1
C0017,电磁场耦合与电磁换能,C0386,感应电机运行控制与性能,,,7
C0017,电磁场耦合与电磁换能,C0499,电磁能量采集,,,215
C0017,电磁场耦合与电磁换能,C0500,压电能量采集,,,147
C0017,电磁场耦合与电磁换能,C0512,无线充电器与装置,,,1
C0017,电磁场耦合与电磁换能,C0533,氮化镓功率与结器件,,,3
C0017,电磁场耦合与电磁换能,C0546,永磁电机磁路与结构设计,,,1
C0017,电磁场耦合与电磁换能,C0549,开关设备故障检测,,,1
C0017,电磁场耦合与电磁换能,C0550,变压器故障诊断,,,2
C0017,电磁场耦合与电磁换能,C0564,波浪能转换装置,,,15
C0017,电磁场耦合与电磁换能,C0579,电机转子结构与制造,,,1
C0017,电磁场耦合与电磁换能,C0589,输电线路雷击与防雷,,,1
C0017,电磁场耦合与电磁换能,C0602,摩擦纳米发电机,,,1
C0017,电磁场耦合与电磁换能,C0609,非隔离DC-DC变换器,,,1
C0017,电磁场耦合与电磁换能,C0627,永磁材料与磁性设计,,,1
C0017,电磁场耦合与电磁换能,C0628,软磁材料与磁损耗,,,1
C0017,电磁场耦合与电磁换能,C0638,电压检测与测量电路,,,2
C0017,电磁场耦合与电磁换能,C0645,电机驱动PWM与谐波控制,,,10
C0017,电磁场耦合与电磁换能,C0646,电机转矩脉动抑制,,,1
C0017,电磁场耦合与电磁换能,C0647,电缆绝缘护套与导体结构,,,48
C0017,电磁场耦合与电磁换能,C0653,核聚变装置工程,,,1
C0017,电磁场耦合与电磁换能,C0666,功率半导体器件,,,3
C0017,电磁场耦合与电磁换能,C0700,永磁同步电机控制,,,2
C0017,电磁场耦合与电磁换能,C0737,电力系统电压稳定,,,3
C0017,电磁场耦合与电磁换能,C0746,功率因数校正电路与控制,,,1
C0017,电磁场耦合与电磁换能,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,1
C0018,电力智能算法与多场景辨识,C0246,虚拟电厂资源聚合与调度,,,4
C0018,电力智能算法与多场景辨识,C0257,固体氧化物燃料电池,,,3
C0018,电力智能算法与多场景辨识,C0298,场效应晶体管结构与建模,,,2
C0018,电力智能算法与多场景辨识,C0381,光伏发电功率预测方法与装置,,,3
C0018,电力智能算法与多场景辨识,C0408,配电网重构与优化运行,,,16
C0018,电力智能算法与多场景辨识,C0435,智能电表物联网与用能监测,,,1
C0018,电力智能算法与多场景辨识,C0517,配电网需求响应与柔性调度,,,4
C0018,电力智能算法与多场景辨识,C0538,智能电网通信架构,,,3
C0018,电力智能算法与多场景辨识,C0548,输配电线路故障检测与定位,,,3
C0018,电力智能算法与多场景辨识,C0550,变压器故障诊断,,,7
C0018,电力智能算法与多场景辨识,C0582,微电网孤岛切换与动态控制,,,1
C0018,电力智能算法与多场景辨识,C0592,电池荷电状态估计,,,1
C0018,电力智能算法与多场景辨识,C0622,谐振与软开关变换器,,,1
C0018,电力智能算法与多场景辨识,C0632,电动汽车路径与补能规划,,,1
C0018,电力智能算法与多场景辨识,C0638,电压检测与测量电路,,,1
C0018,电力智能算法与多场景辨识,C0643,电力设施覆冰与除冰,,,4
C0018,电力智能算法与多场景辨识,C0647,电缆绝缘护套与导体结构,,,1
C0018,电力智能算法与多场景辨识,C0653,核聚变装置工程,,,1
C0018,电力智能算法与多场景辨识,C0675,风电出力预测,,,1
C0018,电力智能算法与多场景辨识,C0685,智能电网网络攻击与安全,,,5
C0018,电力智能算法与多场景辨识,C0686,电网灾害韧性与恢复,,,2
C0018,电力智能算法与多场景辨识,C0690,电力知识图谱,,,19
C0018,电力智能算法与多场景辨识,C0710,水电站运行调度,,,1
C0018,电力智能算法与多场景辨识,C0712,电力负荷预测,,,28
C0018,电力智能算法与多场景辨识,C0713,电价预测,,,3
C0018,电力智能算法与多场景辨识,C0718,配电网规划与容量配置,,,3
C0018,电力智能算法与多场景辨识,C0726,风机状态监测与预测性维护,,,2
C0018,电力智能算法与多场景辨识,C0741,电网状态估计与相量测量,,,4
C0018,电力智能算法与多场景辨识,C0747,网络入侵检测,,,14
C0019,太阳能采集光学与空间应用,C0009,二氧化碳电还原催化,,,1
C0019,太阳能采集光学与空间应用,C0330,太阳能界面蒸发与海水淡化,,,2
