raw_cluster1000,raw_topic_id,raw_automatic_label,final_topic_index,final_topic_id,final_topic_label,semantic_merge_applied,merge_decision_id,final_label_status,raw_documents,raw_papers,raw_patents,raw_policies
24,T0024,24_防护_防护罩_屏蔽_保护器,24,S0024,24_防护_防护罩_屏蔽_保护器,False,,完成清单初筛；保留原类及自动标签,1490,84,1406,0
25,T0025,25_transformerless_inverter_boost converter_pv inverter,25,S0025,25_transformerless_inverter_boost converter_pv inverter,False,,完成清单初筛；保留原类及自动标签,4545,4534,11,0
26,T0026,26_ballast_electronic ballast_lamp_amplifier,26,S0026,26_ballast_electronic ballast_lamp_amplifier,False,,完成清单初筛；保留原类及自动标签,4629,4629,0,0
27,T0027,27_battery electric_vehicle battery_vehicle batteries_ev battery,27,S0027,27_battery electric_vehicle battery_vehicle batteries_ev battery,False,,完成清单初筛；保留原类及自动标签,6353,6308,45,0
28,T0028,28_thomson scattering_thomson_diagnostic_neutron,28,S0028,28_thomson scattering_thomson_diagnostic_neutron,False,,完成清单初筛；保留原类及自动标签,8133,8123,10,0
29,T0029,29_碳化_多孔_掺杂_前驱,29,S0029,29_碳化_多孔_掺杂_前驱,False,,已抽样复核；保留原类；名称仍为自动标签,1073,97,976,0
30,T0030,30_steering_electric drive_drive_drive electric,30,S0030,30_steering_electric drive_drive_drive electric,False,,完成清单初筛；保留原类及自动标签,6888,6790,98,0
31,T0031,31_矿区_环境影响_矿井_含水层,31,S0031,31_矿区_环境影响_矿井_含水层,False,,完成清单初筛；保留原类及自动标签,154,109,0,45
32,T0032,32_oil price_oil prices_crude oil_crude,32,S0032,32_oil price_oil prices_crude oil_crude,False,,完成清单初筛；保留原类及自动标签,8389,8389,0,0
33,T0033,33_gasification_gasifier_syngas_tar,33,S0033,33_gasification_gasifier_syngas_tar,False,,完成清单初筛；保留原类及自动标签,6344,6334,10,0
34,T0034,34_pv/t_pvt_photovoltaic thermal_electrical efficiency,34,S0034,34_pv/t_pvt_photovoltaic thermal_electrical efficiency,False,,完成清单初筛；保留原类及自动标签,6284,6277,7,0
35,T0035,35_叶片_风力 涡轮机_涡轮机_风力,35,S0035,35_叶片_风力 涡轮机_涡轮机_风力,False,,完成清单初筛；保留原类及自动标签,1120,167,953,0
36,T0036,36_μmol_photocatalysts_photogenerated_c3n4,36,S0036,36_μmol_photocatalysts_photogenerated_c3n4,False,,完成清单初筛；保留原类及自动标签,11621,11618,3,0
37,T0037,37_frequency estimation_fft_calibration_discrete fourier,37,S0037,37_frequency estimation_fft_calibration_discrete fourier,False,,完成清单初筛；保留原类及自动标签,6647,6627,20,0
38,T0038,38_新型 储能_产业_创新_推动,38,S0038,38_新型 储能_产业_创新_推动,False,,完成清单初筛；保留原类及自动标签,524,354,2,168
39,T0039,39_carbon tax_carbon pricing_tax_carbon trading,39,S0039,39_carbon tax_carbon pricing_tax_carbon trading,False,,完成清单初筛；保留原类及自动标签,12429,12427,2,0
40,T0040,40_电池 单元_电池 模块_多个 电池_电池组,40,S0040,40_电池 单元_电池 模块_多个 电池_电池组,False,,完成清单初筛；保留原类及自动标签,2918,32,2886,0
41,T0041,41_通信_ethernet_数据传输_终端,41,S0041,41_通信_ethernet_数据传输_终端,False,,完成清单初筛；保留原类及自动标签,2472,1301,1171,0
42,T0042,42_electro fenton_electrochemical oxidation_bdd_electrocoagulation,42,S0042,42_electro fenton_electrochemical oxidation_bdd_electrocoagulation,False,,完成清单初筛；保留原类及自动标签,4837,4831,6,0
43,T0043,43_pemfc_pem fuel_membrane fuel_pem,43,S0043,质子交换膜燃料电池（PEMFC）性能建模与运行,True,SYN001,经抽样语义复核合并；含边界噪声,4658,4652,6,0
44,T0044,44_film solar_cigs_ga se2_cigs solar,44,S0044,44_film solar_cigs_ga se2_cigs solar,False,,完成清单初筛；保留原类及自动标签,9471,9459,12,0
45,T0045,45_coal_coal pyrolysis_char_oxygen carrier,45,S0045,45_coal_coal pyrolysis_char_oxygen carrier,False,,完成清单初筛；保留原类及自动标签,4826,4814,12,0
46,T0046,46_silica_silica gel_silicate_mesoporous silica,46,S0046,46_silica_silica gel_silicate_mesoporous silica,False,,完成清单初筛；保留原类及自动标签,4856,4841,15,0
47,T0047,47_配电网_优化_储能_分布式 储能,47,S0047,47_配电网_优化_储能_分布式 储能,False,,完成清单初筛；保留原类及自动标签,1434,230,1204,0
48,T0048,48_carbon fibers_fibers_carbon fiber_cnt,48,S0048,48_carbon fibers_fibers_carbon fiber_cnt,False,,已抽样复核；保留原类；名称仍为自动标签,4042,3821,221,0
49,T0049,49_polymer electrolytes_gel polymer_polymer electrolyte_solid polymer,49,S0049,49_polymer electrolytes_gel polymer_polymer electrolyte_solid polymer,False,,已抽样复核；保留原类；名称仍为自动标签,8301,8297,4,0
50,T0050,50_相变_蓄热_导热_相变 材料,50,S0050,50_相变_蓄热_导热_相变 材料,False,,完成清单初筛；保留原类及自动标签,1576,462,1114,0
51,T0051,51_电压_输出 电压_电路_电流,51,S0051,51_电压_输出 电压_电路_电流,False,,已抽样复核；保留原类；名称仍为自动标签,1000,57,943,0
52,T0052,52_configured_control circuit_spannung_mcu,52,S0052,52_configured_control circuit_spannung_mcu,False,,完成清单初筛；保留原类及自动标签,2682,2367,315,0
53,T0053,53_电价_供电 主体_加价_电费,53,S0053,53_电价_供电 主体_加价_电费,False,,完成清单初筛；保留原类及自动标签,385,109,0,276
54,T0054,54_raman_raman scattering_raman spectra_raman spectroscopy,54,S0054,54_raman_raman scattering_raman spectra_raman spectroscopy,False,,完成清单初筛；保留原类及自动标签,3566,3565,1,0
55,T0055,55_elektroenergetycznych_sieci_power supply_electric power,55,S0055,55_elektroenergetycznych_sieci_power supply_electric power,False,,完成清单初筛；保留原类及自动标签,6694,6672,22,0
56,T0056,56_ghz_amplifier_db_bandpass,56,S0056,56_ghz_amplifier_db_bandpass,False,,完成清单初筛；保留原类及自动标签,11259,11223,36,0
57,T0057,57_leaching_ore_zinc_laterite,57,S0057,57_leaching_ore_zinc_laterite,False,,完成清单初筛；保留原类及自动标签,7363,7358,5,0
58,T0058,58_time simulation_electromagnetic transient_simulator_transient simulation,58,S0058,58_time simulation_electromagnetic transient_simulator_transient simulation,False,,完成清单初筛；保留原类及自动标签,4724,4659,65,0
59,T0059,59_asymmetric supercapacitors_supercapacitors_supercapacitor_asymmetric supercapacitor,59,S0059,59_asymmetric supercapacitors_supercapacitors_supercapacitor_asymmetric supercapacitor,False,,已抽样复核；保留原类；名称仍为自动标签,9767,9766,1,0
60,T0060,60_metathesis_radical_dehydrogenation_catalyzed,60,S0060,60_metathesis_radical_dehydrogenation_catalyzed,False,,完成清单初筛；保留原类及自动标签,8590,8534,56,0
61,T0061,61_soil thermal_borehole_pile_rock,61,S0061,61_soil thermal_borehole_pile_rock,False,,完成清单初筛；保留原类及自动标签,6658,6652,6,0
62,T0062,62_briquettes_pellets_torrefaction_briquette,62,S0062,62_briquettes_pellets_torrefaction_briquette,False,,完成清单初筛；保留原类及自动标签,6562,6552,10,0
63,T0063,63_锂离子 电池_锂离子_电解液_固态,63,S0063,63_锂离子 电池_锂离子_电解液_固态,False,,完成清单初筛；保留原类及自动标签,2601,472,2129,0
64,T0064,64_避雷器_防雷_避雷_避雷针,64,S0064,64_避雷器_防雷_避雷_避雷针,False,,完成清单初筛；保留原类及自动标签,534,72,462,0
65,T0065,65_petroleum_oil industry_oil companies_oil,65,S0065,65_petroleum_oil industry_oil companies_oil,False,,完成清单初筛；保留原类及自动标签,11982,11978,0,4
66,T0066,66_perovskite solar_pscs_cells pscs_perovskite,66,S0066,66_perovskite solar_pscs_cells pscs_perovskite,False,,已抽样复核；保留原类；名称仍为自动标签,13404,13404,0,0
67,T0067,67_air cooling_gas turbine_inlet air_compressor,67,S0067,67_air cooling_gas turbine_inlet air_compressor,False,,完成清单初筛；保留原类及自动标签,4636,4630,6,0
68,T0068,68_film transistors_transistors_otfts_pentacene,68,S0068,68_film transistors_transistors_otfts_pentacene,False,,已抽样复核；保留原类；名称仍为自动标签,6918,6918,0,0
69,T0069,69_rainfall_streamflow_rainfall prediction_water demand,69,S0069,69_rainfall_streamflow_rainfall prediction_water demand,False,,完成清单初筛；保留原类及自动标签,4830,4787,43,0
70,T0070,70_copolymers_polymerization_polymers_copolymer,70,S0070,70_copolymers_polymerization_polymers_copolymer,False,,完成清单初筛；保留原类及自动标签,11969,11941,28,0
71,T0071,71_green hydrogen_氢能_hydrogen economy_hydrogen energy,71,S0071,71_green hydrogen_氢能_hydrogen economy_hydrogen energy,False,,完成清单初筛；保留原类及自动标签,8912,8886,3,23
72,T0072,72_ion transport_electron transfer_extracellular electron_ionic transport,72,S0072,72_ion transport_electron transfer_extracellular electron_ionic transport,False,,完成清单初筛；保留原类及自动标签,3717,3713,4,0
73,T0073,73_resilience_restoration_disaster_disasters,73,S0073,73_resilience_restoration_disaster_disasters,False,,完成清单初筛；保留原类及自动标签,4710,4648,62,0
74,T0074,74_tetracycline_photocatalytic degradation_tetracycline hydrochloride_tetracycline degradation,74,S0074,74_tetracycline_photocatalytic degradation_tetracycline hydrochloride_tetracycline degradation,False,,完成清单初筛；保留原类及自动标签,12526,12526,0,0
75,T0075,75_hydrogenation_catalysts_furfural_valerolactone,75,S0075,75_hydrogenation_catalysts_furfural_valerolactone,False,,完成清单初筛；保留原类及自动标签,10032,10032,0,0
76,T0076,76_robot_manipulator_pendulum_flywheel,76,S0076,76_robot_manipulator_pendulum_flywheel,False,,完成清单初筛；保留原类及自动标签,3278,3196,82,0
77,T0077,77_电池 保护_保护_防爆_防护,77,S0077,77_电池 保护_保护_防爆_防护,False,,完成清单初筛；保留原类及自动标签,981,75,906,0
78,T0078,78_燃料电池_燃料电池 系统_控制 燃料电池_燃料 气体,78,S0078,78_燃料电池_燃料电池 系统_控制 燃料电池_燃料 气体,False,,已抽样复核；保留原类；名称仍为自动标签,864,99,765,0
79,T0079,79_antibiotics_antibiotic_inactivation_antibacterial,79,S0079,79_antibiotics_antibiotic_inactivation_antibacterial,False,,完成清单初筛；保留原类及自动标签,6167,6167,0,0
80,T0080,80_交易_市场_结算_电量,80,S0080,80_交易_市场_结算_电量,False,,完成清单初筛；保留原类及自动标签,430,239,4,187
81,T0081,81_smart grid_smart_smart grids_grids,81,S0081,81_smart grid_smart_smart grids_grids,False,,完成清单初筛；保留原类及自动标签,8185,8177,8,0
82,T0082,82_hydropower_cascade hydropower_hydropower stations_hydro,82,S0082,82_hydropower_cascade hydropower_hydropower stations_hydro,False,,完成清单初筛；保留原类及自动标签,5060,4985,75,0
83,T0083,83_电极 组件_电极_卷绕_第一集,83,S0083,83_电极 组件_电极_卷绕_第一集,False,,完成清单初筛；保留原类及自动标签,1963,9,1954,0
84,T0084,84_triboelectric_teng_tengs_nanogenerator,84,S0084,84_triboelectric_teng_tengs_nanogenerator,False,,完成清单初筛；保留原类及自动标签,3218,3206,12,0
85,T0085,85_pv modules_shading_pv module_modules,85,S0085,85_pv modules_shading_pv module_modules,False,,完成清单初筛；保留原类及自动标签,9600,9589,11,0
86,T0086,86_储氢_氢气_制氢_固态 储氢,86,S0086,86_储氢_氢气_制氢_固态 储氢,False,,完成清单初筛；保留原类及自动标签,1350,145,1205,0
87,T0087,87_hydrogen production_hydrogen yield_gasification_reforming,87,S0087,87_hydrogen production_hydrogen yield_gasification_reforming,False,,完成清单初筛；保留原类及自动标签,4258,4239,19,0
88,T0088,88_impulsive noise_impulsive_noise_ofdm,88,S0088,88_impulsive noise_impulsive_noise_ofdm,False,,完成清单初筛；保留原类及自动标签,7899,7879,20,0
89,T0089,89_充电_充电电流_电池 充电_充电 控制,89,S0089,89_充电_充电电流_电池 充电_充电 控制,False,,完成清单初筛；保留原类及自动标签,1729,275,1454,0
90,T0090,90_toroidal_gyrokinetic_neoclassical_poloidal,90,S0090,90_toroidal_gyrokinetic_neoclassical_poloidal,False,,完成清单初筛；保留原类及自动标签,6736,6735,1,0
91,T0091,91_管道 运输_价格_天然气_运输 价格,91,S0091,91_管道 运输_价格_天然气_运输 价格,False,,完成清单初筛；保留原类及自动标签,406,213,0,193
92,T0092,92_boost converter_modular multilevel_multilevel_converters,92,S0092,92_boost converter_modular multilevel_multilevel_converters,False,,完成清单初筛；保留原类及自动标签,6441,6441,0,0
93,T0093,93_titania_titanium_titanate_titanium dioxide,93,S0093,93_titania_titanium_titanate_titanium dioxide,False,,完成清单初筛；保留原类及自动标签,6805,6803,2,0
94,T0094,94_测试_变压器_测试方法_测试 装置,94,S0094,94_测试_变压器_测试方法_测试 装置,False,,完成清单初筛；保留原类及自动标签,1557,581,976,0
95,T0095,95_控制系统_control systems_plc_automatic control,95,S0095,95_控制系统_control systems_plc_automatic control,False,,完成清单初筛；保留原类及自动标签,3386,2627,759,0
96,T0096,96_magnetic field_magnetic fields_magnetic_ferromagnetic,96,S0096,96_magnetic field_magnetic fields_magnetic_ferromagnetic,False,,完成清单初筛；保留原类及自动标签,6667,6649,18,0
97,T0097,97_evaporative_air cooled_evaporative cooling_air conditioning,97,S0097,97_evaporative_air cooled_evaporative cooling_air conditioning,False,,完成清单初筛；保留原类及自动标签,5711,5701,10,0
98,T0098,98_无人机_无人机 本体_旋翼_drone,98,S0098,98_无人机_无人机 本体_旋翼_drone,False,,完成清单初筛；保留原类及自动标签,903,212,691,0
99,T0099,99_reconnection_magnetic reconnection_magnetized_magnetic field,99,S0099,99_reconnection_magnetic reconnection_magnetized_magnetic field,False,,完成清单初筛；保留原类及自动标签,7899,7899,0,0
100,T0100,100_tidal_wave energy_tidal energy_ocean,100,S0100,100_tidal_wave energy_tidal energy_ocean,False,,完成清单初筛；保留原类及自动标签,4352,4335,13,4
101,T0101,101_arrester_proteksi_arresters_spd,101,S0101,101_arrester_proteksi_arresters_spd,False,,完成清单初筛；保留原类及自动标签,5014,4998,16,0
102,T0102,102_copper_cucrzr_cu_cu2se,102,S0102,102_copper_cucrzr_cu_cu2se,False,,完成清单初筛；保留原类及自动标签,3867,3819,48,0
103,T0103,103_engine_diesel engine_stirling_piston,103,S0103,103_engine_diesel engine_stirling_piston,False,,完成清单初筛；保留原类及自动标签,7350,7335,15,0
104,T0104,104_microgrid_microgrids_micro grid_energy management,104,S0104,104_microgrid_microgrids_micro grid_energy management,False,,已抽样复核；保留原类；名称仍为自动标签,7555,7545,10,0
105,T0105,105_ev adoption_evs_purchase_adoption,105,S0105,105_ev adoption_evs_purchase_adoption,False,,完成清单初筛；保留原类及自动标签,8864,8864,0,0
106,T0106,106_octahedra_corners_bonded_li1,106,S0106,106_octahedra_corners_bonded_li1,False,,完成清单初筛；保留原类及自动标签,8934,8925,9,0
107,T0107,107_充电_车辆_电动 车辆_预警,107,S0107,107_充电_车辆_电动 车辆_预警,False,,完成清单初筛；保留原类及自动标签,839,210,627,2
108,T0108,108_lead acid_sodium ion_acid batteries_rechargeable,108,S0108,108_lead acid_sodium ion_acid batteries_rechargeable,False,,完成清单初筛；保留原类及自动标签,7563,7553,10,0
109,T0109,109_防水_密封_防水 结构_密封圈,109,S0109,109_防水_密封_防水 结构_密封圈,False,,完成清单初筛；保留原类及自动标签,1505,74,1431,0
110,T0110,110_线束_安装_固定_接线盒,110,S0110,110_线束_安装_固定_接线盒,False,,完成清单初筛；保留原类及自动标签,1624,44,1580,0
111,T0111,111_hydraulic_electro hydraulic_hydraulic control_valve,111,S0111,111_hydraulic_electro hydraulic_hydraulic control_valve,False,,完成清单初筛；保留原类及自动标签,4706,4685,21,0
112,T0112,112_anatase_tio2 nanoparticles_tio2_tio,112,S0112,112_anatase_tio2 nanoparticles_tio2_tio,False,,已抽样复核；保留原类；名称仍为自动标签,11434,11412,22,0
113,T0113,113_supercritical water_supercritical_water separation_oil water,113,S0113,113_supercritical water_supercritical_water separation_oil water,False,,完成清单初筛；保留原类及自动标签,6555,6550,5,0
114,T0114,114_hydrate_hydrate formation_hydrates_gas hydrate,114,S0114,114_hydrate_hydrate formation_hydrates_gas hydrate,False,,完成清单初筛；保留原类及自动标签,4281,4281,0,0
115,T0115,115_电路_电源_电压_输出,115,S0115,115_电路_电源_电压_输出,False,,已抽样复核；保留原类；名称仍为自动标签,2041,174,1867,0
116,T0116,116_pcm_pcms_phase change_latent heat,116,S0116,116_pcm_pcms_phase change_latent heat,False,,完成清单初筛；保留原类及自动标签,4890,4883,7,0
117,T0117,117_管道_管道 保护_管道 企业_油气 管道,117,S0117,117_管道_管道 保护_管道 企业_油气 管道,False,,完成清单初筛；保留原类及自动标签,354,274,0,80
118,T0118,118_煤矿安全_必须_矿井_煤矿 企业,118,S0118,118_煤矿安全_必须_矿井_煤矿 企业,False,,完成清单初筛；保留原类及自动标签,330,97,3,230
119,T0119,119_radio_cognitive radio_wireless_cognitive,119,S0119,119_radio_cognitive radio_wireless_cognitive,False,,完成清单初筛；保留原类及自动标签,7949,7787,162,0
120,T0120,120_underwater_swimming_underwater vehicle_propeller,120,S0120,120_underwater_swimming_underwater vehicle_propeller,False,,完成清单初筛；保留原类及自动标签,5255,5234,21,0
121,T0121,121_polypropylene_breakdown strength_pp_epoxy,121,S0121,121_polypropylene_breakdown strength_pp_epoxy,False,,完成清单初筛；保留原类及自动标签,6521,6479,42,0
122,T0122,122_fusion_magnetized_fusion plasmas_magnetic fusion,122,S0122,122_fusion_magnetized_fusion plasmas_magnetic fusion,False,,完成清单初筛；保留原类及自动标签,4119,4113,6,0
123,T0123,123_排放_二氧化碳 排放_配额_二氧化碳,123,S0123,123_排放_二氧化碳 排放_配额_二氧化碳,False,,完成清单初筛；保留原类及自动标签,365,231,2,132
124,T0124,124_biofuels_biodiesel_biomass gasification_gasification,124,S0124,124_biofuels_biodiesel_biomass gasification_gasification,False,,完成清单初筛；保留原类及自动标签,4726,4671,55,0
125,T0125,125_znin2s4_znin_scheme heterojunction_photocatalytic hydrogen,125,S0125,125_znin2s4_znin_scheme heterojunction_photocatalytic hydrogen,False,,完成清单初筛；保留原类及自动标签,8649,8649,0,0
126,T0126,126_polymer electrolytes_spes_peo_ionic conductivity,126,S0126,126_polymer electrolytes_spes_peo_ionic conductivity,False,,已抽样复核；保留原类；名称仍为自动标签,5940,5916,24,0
127,T0127,127_biosensor_dna_ultrasensitive_sensing,127,S0127,127_biosensor_dna_ultrasensitive_sensing,False,,完成清单初筛；保留原类及自动标签,5125,5108,17,0
128,T0128,128_sorghum_sweet sorghum_sugarcane_sweet,128,S0128,128_sorghum_sweet sorghum_sugarcane_sweet,False,,完成清单初筛；保留原类及自动标签,5735,5733,2,0
129,T0129,129_cyber_cybersecurity_attacks_attack,129,S0129,129_cyber_cybersecurity_attacks_attack,False,,完成清单初筛；保留原类及自动标签,7917,7885,32,0
130,T0130,130_太阳能 电池_太阳能_钝化_掺杂,130,S0130,130_太阳能 电池_太阳能_钝化_掺杂,False,,已抽样复核；保留原类；名称仍为自动标签,1465,27,1438,0
131,T0131,131_mno2_mno_mn3o4_mnco,131,S0131,131_mno2_mno_mn3o4_mnco,False,,已抽样复核；保留原类；名称仍为自动标签,4700,4680,20,0
132,T0132,132_kyoto_emissions trading_ets_eu ets,132,S0132,132_kyoto_emissions trading_ets_eu ets,False,,完成清单初筛；保留原类及自动标签,7599,7599,0,0
133,T0133,133_ito_film electrodes_films_oxide films,133,S0133,133_ito_film electrodes_films_oxide films,False,,完成清单初筛；保留原类及自动标签,5037,5031,6,0
134,T0134,134_连接器_端子_接线盒_接线,134,S0134,134_连接器_端子_接线盒_接线,False,,完成清单初筛；保留原类及自动标签,1508,62,1446,0
135,T0135,135_electricity market_electricity markets_markets_wholesale,135,S0135,135_electricity market_electricity markets_markets_wholesale,False,,完成清单初筛；保留原类及自动标签,10884,10878,6,0
136,T0136,136_hydrogen generation_organic hydrogen_liquid organic_hydrogenation,136,S0136,136_hydrogen generation_organic hydrogen_liquid organic_hydrogenation,False,,完成清单初筛；保留原类及自动标签,7514,7481,33,0
137,T0137,137_rooftop_pv systems_pv_self consumption,137,S0137,137_rooftop_pv systems_pv_self consumption,False,,已抽样复核；保留原类；名称仍为自动标签,10137,10132,5,0
138,T0138,138_leak_pipeline_pipe_leak detection,138,S0138,138_leak_pipeline_pipe_leak detection,False,,完成清单初筛；保留原类及自动标签,4835,4813,22,0
139,T0139,139_methane_methane production_methane oxidation_methane conversion,139,S0139,139_methane_methane production_methane oxidation_methane conversion,False,,完成清单初筛；保留原类及自动标签,5112,5094,18,0
140,T0140,140_polymer solar_pcbm_p3ht_bulk heterojunction,140,S0140,140_polymer solar_pcbm_p3ht_bulk heterojunction,False,,已抽样复核；保留原类；名称仍为自动标签,6090,6088,2,0
141,T0141,141_定子_转子_绕组_线圈,141,S0141,141_定子_转子_绕组_线圈,False,,完成清单初筛；保留原类及自动标签,1343,25,1318,0
142,T0142,142_connected photovoltaic_connected pv_grid connected_photovoltaic systems,142,S0142,并网光伏系统建模与功率控制,True,D001,经抽样语义复核合并；含边界噪声,5696,5696,0,0
143,T0143,143_soil_soil compaction_compaction_skid,143,S0143,143_soil_soil compaction_compaction_skid,False,,完成清单初筛；保留原类及自动标签,4435,4423,12,0
144,T0144,144_rainfall_evapotranspiration_eto_meteorological,144,S0144,144_rainfall_evapotranspiration_eto_meteorological,False,,完成清单初筛；保留原类及自动标签,6774,6771,3,0
145,T0145,145_seawater electrolysis_seawater_water electrolysis_electrolysis,145,S0145,145_seawater electrolysis_seawater_water electrolysis_electrolysis,False,,完成清单初筛；保留原类及自动标签,6330,6298,32,0
146,T0146,146_安排_资金_万元_减排 专项资金,146,S0146,146_安排_资金_万元_减排 专项资金,False,,完成清单初筛；保留原类及自动标签,196,8,0,188
147,T0147,147_涂布_切割_加工_涂覆,147,S0147,147_涂布_切割_加工_涂覆,False,,完成清单初筛；保留原类及自动标签,1344,32,1312,0
148,T0148,148_patients_melioidosis_cd19_antigen,148,S0148,148_patients_melioidosis_cd19_antigen,False,,完成清单初筛；保留原类及自动标签,4848,4843,5,0
149,T0149,149_energy society_energy justice_energy literacy_justice,149,S0149,149_energy society_energy justice_energy literacy_justice,False,,完成清单初筛；保留原类及自动标签,9702,9701,1,0
150,T0150,150_carbonation_cao_sorbents_sorbent,150,S0150,150_carbonation_cao_sorbents_sorbent,False,,完成清单初筛；保留原类及自动标签,5749,5739,10,0
151,T0151,151_magnesium alloy_magnesium_magnesium alloys_alloys,151,S0151,151_magnesium alloy_magnesium_magnesium alloys_alloys,False,,完成清单初筛；保留原类及自动标签,7415,7407,8,0
152,T0152,152_sic_c/si_sic crystal_epitaxial,152,S0152,152_sic_c/si_sic crystal_epitaxial,False,,完成清单初筛；保留原类及自动标签,3626,3616,10,0
153,T0153,153_power line_line communication_plc_line carrier,153,S0153,153_power line_line communication_plc_line carrier,False,,完成清单初筛；保留原类及自动标签,6506,6463,43,0
154,T0154,154_nife_niooh_oer_uor,154,S0154,154_nife_niooh_oer_uor,False,,完成清单初筛；保留原类及自动标签,7512,7483,29,0
155,T0155,155_energy efficiency_indicators_能源 绩效_energy consumption,155,S0155,155_energy efficiency_indicators_能源 绩效_energy consumption,False,,完成清单初筛；保留原类及自动标签,7873,7850,20,3
156,T0156,156_沼气_水流_水轮机_雨水,156,S0156,156_沼气_水流_水轮机_雨水,False,,完成清单初筛；保留原类及自动标签,1563,535,1028,0
