source_topic_index,source_topic_id,source_label,assigned_documents,category_index,category_id,category_name,mapping_status,quarantine_code
40,M040,电池单体与模组构件装配,4989,40,C0041,电池单体与模组构件装配,active,
41,M041,无线充电与充电器结构,2024,41,C0042,无线充电与充电器结构,active,
42,M042,气体处理气化与天然气水合物,10603,42,C0043,气体处理气化与天然气水合物,active,
43,M043,二氧化碳及混合气体膜分离,6911,43,C0044,二氧化碳及混合气体膜分离,active,
44,M044,铜铟镓硒薄膜光伏,16487,44,C0045,铜铟镓硒薄膜光伏,active,
45,M045,煤气化与燃煤清洁转化,7769,45,C0046,煤气化与燃煤清洁转化,active,
46,M046,分离膜制备与膜污染控制,15227,46,C0047,分离膜制备与膜污染控制,active,
47,M047,配电网柔性调度与协同规划,10358,47,C0048,配电网柔性调度与协同规划,active,
48,M048,电池隔膜、聚合物电解质与粘结剂,5322,48,C0049,电池隔膜、聚合物电解质与粘结剂,active,
49,M049,固态及凝胶聚合物电解质,10596,49,C0050,固态及凝胶聚合物电解质,active,
50,M050,储能及通用装置温控换热,3344,50,C0051,储能及通用装置温控换热,active,
51,M051,电气故障保护与暂态检测,2875,51,C0052,电气故障保护与暂态检测,active,
52,M052,电能变换与驱动控制电路,2268,52,C0053,电能变换与驱动控制电路,active,
53,M053,电价与输配电价监管政策,735,53,C0054,电价与输配电价监管政策,active,
54,M054,含铜化合物结构与功能,9722,54,C0055,含铜化合物结构与功能,active,
55,M055,电储能系统配置与运行,9423,55,C0056,电储能系统配置与运行,active,
56,M056,射频微波电路与功率放大,18791,56,C0057,射频微波电路与功率放大,active,
57,M057,有价金属浸出回收,16905,57,C0058,有价金属浸出回收,active,
58,M058,厌氧过程微生物与生物能源,9884,58,C0059,厌氧过程微生物与生物能源,active,
59,M059,超级电容器电极与器件,28623,59,C0060,超级电容器电极与器件,active,
60,M060,有机合成与分子功能材料,16956,60,C0061,有机合成与分子功能材料,active,
61,M061,热工设备换热与工况分析,10988,61,C0062,热工设备换热与工况分析,active,
62,M062,生物质热解与炭化,16544,62,C0063,生物质热解与炭化,active,
63,M063,锂钠电池电解液与正极配方,3043,63,C0064,锂钠电池电解液与正极配方,active,
64,M064,电磁兼容干扰与电缆检测,9067,64,C0065,电磁兼容干扰与电缆检测,active,
65,M065,环境税费补贴与市场规制,13266,65,C0066,环境税费补贴与市场规制,active,
66,M066,钙钛矿太阳能电池界面与器件性能,23090,66,C0067,钙钛矿太阳能电池界面与器件性能,active,
67,M067,水热溶剂热合成与功能材料,8405,67,C0068,水热溶剂热合成与功能材料,active,
68,M068,宽禁带半导体外延与结器件,10227,68,C0069,宽禁带半导体外延与结器件,active,
69,M069,气象水文预测与环境评估,8178,69,C0070,气象水文预测与环境评估,active,
70,M070,功能聚合物合成与结构,17650,70,C0071,功能聚合物合成与结构,active,
71,M071,氢能产业与制氢技术经济,10314,71,C0072,氢能产业与制氢技术经济,active,
72,M072,电极过程与电化学沉积,16800,72,C0073,电极过程与电化学沉积,active,
73,M073,通用防护支撑与安装结构混杂簇073,2048,73,C0074,通用防护支撑与安装结构混杂簇073,active,
74,M074,铋基氧化物光催化材料,9178,74,C0075,铋基氧化物光催化材料,active,
75,M075,通用催化剂与催化反应工程,18071,75,C0076,通用催化剂与催化反应工程,active,
76,M076,机电传动与运动执行装置,2866,76,C0077,机电传动与运动执行装置,active,
77,M077,充电连接与通用部件混合,2245,77,C0078,充电连接与通用部件混合,active,
78,M078,燃料电池系统运行控制,2150,78,C0079,燃料电池系统运行控制,active,
79,M079,污染物光催化降解,14060,79,C0080,污染物光催化降解,active,
80,M080,电力市场与售电制度政策,1033,80,C0081,电力市场与售电制度政策,active,
81,M081,智能电网体系与通信,11967,81,C0082,智能电网体系与通信,active,
82,M082,配电网电压无功与电能质量,11053,82,C0083,配电网电压无功与电能质量,active,
83,M083,电池单体电极及模组结构,4706,83,C0084,电池单体电极及模组结构,active,
84,M084,多类功能薄膜与纳米器件,7945,84,C0085,多类功能薄膜与纳米器件,active,
85,M085,光伏组件性能建模与故障检测,13829,85,C0086,光伏组件性能建模与故障检测,active,
86,M086,制氢储氢与加氢系统,2088,86,C0087,制氢储氢与加氢系统,active,
87,M087,污水厌氧处理与产能回收,11007,87,C0088,污水厌氧处理与产能回收,active,
88,M088,信号处理测量与电力扰动,17989,88,C0089,信号处理测量与电力扰动,active,
89,M089,电动汽车充电控制,2994,89,C0090,电动汽车充电控制,active,
90,M090,等离子体湍流与不稳定性,11517,90,C0091,等离子体湍流与不稳定性,active,
91,M091,天然气输配与气价政策,579,91,C0092,天然气输配与气价政策,active,
92,M092,电能变换波浪能与互感器混合,11005,92,C0093,电能变换波浪能与互感器混合,active,
93,M093,晶体缺陷外延与变形,9428,93,C0094,晶体缺陷外延与变形,active,
94,M094,泄漏检测与多设备状态监测,3359,94,C0095,泄漏检测与多设备状态监测,active,
95,M095,电力设备通信与控制系统,3299,95,C0096,电力设备通信与控制系统,active,
96,M096,永磁电机与磁路设计,4701,96,C0097,永磁电机与磁路设计,active,
97,M097,建筑与工业冷却节能,10115,97,C0098,建筑与工业冷却节能,active,
98,M098,无人机巡检与电网作业,1654,98,C0099,无人机巡检与电网作业,active,
99,M099,磁重联与磁场材料效应,13025,99,C0100,磁重联与磁场材料效应,active,
100,M100,人类世生态危机与社会转型,9450,100,C0101,人类世生态危机与社会转型,active,
101,M101,电力设备与线路故障检测、定位和诊断,21019,101,C0102,电力设备与线路故障检测、定位和诊断,active,
102,M102,金属基复合材料与耐磨制造,10563,102,C0103,金属基复合材料与耐磨制造,active,
103,M103,发动机燃气轮机与动力机械,11593,103,C0104,发动机燃气轮机与动力机械,active,
104,M104,微电网能量管理与优化,10962,104,C0105,微电网能量管理与优化,active,
105,M105,电动汽车推广与整车能耗,11899,105,C0106,电动汽车推广与整车能耗,active,
106,M106,模板化晶体数据库记录,10465,106,C0107,模板化晶体数据库记录,active,
107,M107,储能充放电与变流控制,2002,107,C0108,储能充放电与变流控制,active,
108,M108,水系锌电池与锌空气电池,9518,108,C0109,水系锌电池与锌空气电池,active,
109,M109,电气柜密封防护与开关部件,2606,109,C0110,电气柜密封防护与开关部件,active,
110,M110,机柜装配与通用机械部件,3155,110,C0111,机柜装配与通用机械部件,active,
111,M111,电站锅炉汽轮机与设备运维,8434,111,C0112,电站锅炉汽轮机与设备运维,active,
112,M112,二氧化钛光催化材料与反应,38720,112,C0113,二氧化钛光催化材料与反应,active,
113,M113,水分离采集与流体界面技术,11433,113,C0114,水分离采集与流体界面技术,active,
114,M114,二氧化碳吸收溶解与水合物,10722,114,C0115,二氧化碳吸收溶解与水合物,active,
115,M115,电源装置与供电电路结构,2180,115,C0116,电源装置与供电电路结构,active,
116,M116,制冷循环工质与能效,11564,116,C0117,制冷循环工质与能效,active,
117,M117,煤矿产能及经营公告,298,117,C0118,煤矿产能及经营公告,active,
118,M118,煤矿安全生产与许可管理,590,118,C0119,煤矿安全生产与许可管理,active,
119,M119,电力载波与通信传输,12726,119,C0120,电力载波与通信传输,active,
120,M120,波浪能装置与海洋水动力,17713,120,C0121,波浪能装置与海洋水动力,active,
121,M121,热电材料与热电性能优化,28891,121,C0122,热电材料与热电性能优化,active,
122,M122,磁约束等离子体运行与边界,12766,122,C0123,磁约束等离子体运行与边界,active,
123,M123,电力系统碳计量与低碳调度,3391,123,C0124,电力系统碳计量与低碳调度,active,
124,M124,重整气化与合成气制氢,11227,124,C0125,重整气化与合成气制氢,active,
125,M125,氮化碳及复合光催化材料,15701,125,C0126,氮化碳及复合光催化材料,active,
126,M126,质子交换及功能聚合物膜,13564,126,C0127,质子交换及功能聚合物膜,active,
127,M127,石墨烯复合材料与多场景应用,19841,127,C0128,石墨烯复合材料与多场景应用,active,
128,M128,生物质与污泥厌氧消化产气,15747,128,C0129,生物质与污泥厌氧消化产气,active,
129,M129,能源网络安全与隐私保护,12250,129,C0130,能源网络安全与隐私保护,active,
130,M130,光伏电池及组件结构制造,2674,130,C0131,光伏电池及组件结构制造,active,
131,M131,超级电容器复合电极材料,12789,131,C0132,超级电容器复合电极材料,active,
132,M132,排放交易与污染治理政策研究,16000,132,C0133,排放交易与污染治理政策研究,active,
133,M133,功能薄膜沉积与表征,13172,133,C0134,功能薄膜沉积与表征,active,
134,M134,电连接器接线与端口结构,2483,134,C0135,电连接器接线与端口结构,active,
135,M135,电力市场机制与产消者经济,19158,135,C0136,电力市场机制与产消者经济,active,
136,M136,电解与其他路线制氢技术,11821,136,C0137,电解与其他路线制氢技术,active,
137,M137,光伏出力预测与系统参数建模,10193,137,C0138,光伏出力预测与系统参数建模,active,
138,M138,变压器油纸绝缘诊断,5471,138,C0139,变压器油纸绝缘诊断,active,
139,M139,厌氧微生物产甲烷机制,11081,139,C0140,厌氧微生物产甲烷机制,active,
140,M140,半导体载流子与电荷输运,14702,140,C0141,半导体载流子与电荷输运,active,
141,M141,电机转子定子与装配结构,2327,141,C0142,电机转子定子与装配结构,active,
142,M142,微电网变流器协调与功率分配,11721,142,C0143,微电网变流器协调与功率分配,active,
143,M143,能源作物种植与生物质采收,10637,143,C0144,能源作物种植与生物质采收,active,
144,M144,陆面气象与蒸散估计,11328,144,C0145,陆面气象与蒸散估计,active,
145,M145,铁基催化剂与氧电催化,11540,145,C0146,铁基催化剂与氧电催化,active,
146,M146,节能减排财政资金安排,240,146,C0147,节能减排财政资金安排,active,
147,M147,电极与电机铁芯制造装置,2006,147,C0148,电极与电机铁芯制造装置,active,
148,M148,临床疾病与健康研究,9305,148,C0149,临床疾病与健康研究,active,
149,M149,储能技术与能量转换综述,4282,149,C0150,储能技术与能量转换综述,active,
150,M150,多孔碳吸附二氧化碳,15323,150,C0151,多孔碳吸附二氧化碳,active,
151,M151,镁基及多组元合金性质,11885,151,C0152,镁基及多组元合金性质,active,
152,M152,硅基材料与碳化硅陶瓷,12386,152,C0153,硅基材料与碳化硅陶瓷,active,
153,M153,无线电能传输电路与系统,12987,153,C0154,无线电能传输电路与系统,active,
154,M154,电解水析氧催化,21799,154,C0155,电解水析氧催化,active,
155,M155,电力交易竞价与市场优化,12402,155,C0156,电力交易竞价与市场优化,active,
156,M156,水工引水排水与杂项装置,2210,156,C0157,水工引水排水与杂项装置,active,
157,M158,有机光伏材料、器件与载流子输运,22530,157,C0158,有机光伏材料、器件与载流子输运,active,
158,M159,太阳辐照预测与光伏环境建模,7709,158,C0159,太阳辐照预测与光伏环境建模,active,
159,M160,通用互联网协议与通信网络,13675,159,C0160,通用互联网协议与通信网络,active,
160,M161,车辆操稳道路与轮胎交互,9559,160,C0161,车辆操稳道路与轮胎交互,active,
161,M162,电气传感与多设备测量,5216,161,C0162,电气传感与多设备测量,active,
162,M163,分布式电源接入与配电网运行,3542,162,C0163,分布式电源接入与配电网运行,active,
163,M164,输电线路雷电接地与电磁影响,11542,163,C0164,输电线路雷电接地与电磁影响,active,
164,M165,天然气供能与燃气动力系统,8085,164,C0165,天然气供能与燃气动力系统,active,
165,M166,多类太阳能电池结构与性能,12467,165,C0166,多类太阳能电池结构与性能,active,
166,M167,晶硅异质结与硅基光伏制造,14347,166,C0167,晶硅异质结与硅基光伏制造,active,
167,M168,粒子束辐照与半导体材料缺陷,8490,167,C0168,粒子束辐照与半导体材料缺陷,active,
168,M169,电池荷电状态健康状态与建模,7680,168,C0169,电池荷电状态健康状态与建模,active,
169,M171,能源转型与能源安全研究,20605,169,C0170,能源转型与能源安全研究,active,
170,M172,最优潮流与电网优化运行,10617,170,C0171,最优潮流与电网优化运行,active,
171,M173,燃烧稳定与低污染排放,13452,171,C0172,燃烧稳定与低污染排放,active,
172,M174,电池正极改性与再生工艺,2668,172,C0173,电池正极改性与再生工艺,active,
173,M175,电力负荷预测与短路等系统计算混合,4483,173,C0174,电力负荷预测与短路等系统计算混合,active,
174,M176,空化流动与水动力,11501,174,C0175,空化流动与水动力,active,
175,M177,光伏最大功率点跟踪,16567,175,C0176,光伏最大功率点跟踪,active,
176,M178,纳米结构输运与器件基础,11231,176,C0177,纳米结构输运与器件基础,active,
177,M179,离子液体与电解质基础,11504,177,C0178,离子液体与电解质基础,active,
178,M180,超导与量子材料基础,6121,178,C0179,超导与量子材料基础,active,
179,M181,电池组结构均衡与供能电路,3509,179,C0180,电池组结构均衡与供能电路,active,
180,M182,聚变装置与粒子束工程,10669,180,C0181,聚变装置与粒子束工程,active,
181,M183,导航定位与遥感观测,9124,181,C0182,导航定位与遥感观测,active,
182,M184,通用控制器与电力控制算法,17208,182,C0183,通用控制器与电力控制算法,active,
183,M185,卤化物钙钛矿结构、光电物性与发光,30730,183,C0184,卤化物钙钛矿结构、光电物性与发光,active,
184,M186,风电场运行与功率优化,13574,184,C0185,风电场运行与功率优化,active,
185,M187,煤热解气化与煤质特性,11798,185,C0186,煤热解气化与煤质特性,active,
186,M188,通用反应分离与气液处理装置,1968,186,C0187,通用反应分离与气液处理装置,active,
187,M189,欧洲能源转型与能源政策研究,16861,187,C0188,欧洲能源转型与能源政策研究,active,
188,M190,风力机叶片与气动设计,20539,188,C0189,风力机叶片与气动设计,active,
189,M191,充电负荷预测与园区用电调配,1687,189,C0190,充电负荷预测与园区用电调配,active,
190,M192,固态储氢材料与反应器,16891,190,C0191,固态储氢材料与反应器,active,
191,M193,含锂化合物与锂金属界面,12223,191,C0192,含锂化合物与锂金属界面,active,
192,M194,多设备温控与智能散热,4406,192,C0193,多设备温控与智能散热,active,
193,M195,股票价格与通用金融预测,12328,193,C0194,股票价格与通用金融预测,active,
194,M196,碳捕集封存与碳移除系统,13262,194,C0195,碳捕集封存与碳移除系统,active,
195,M197,混合动力与整车能量管理,15676,195,C0196,混合动力与整车能量管理,active,
196,M198,铜基热电及功能复合材料,6333,196,C0197,铜基热电及功能复合材料,active,
197,M199,电池负极活性材料与电池器件,2559,197,C0198,电池负极活性材料与电池器件,active,
198,M200,交直流供电与储备能源控制,3092,198,C0199,交直流供电与储备能源控制,active,
199,M201,直流输电保护与故障限流,11031,199,C0200,直流输电保护与故障限流,active,
200,M202,电化学电极与摩擦电材料混合,9685,200,C0201,电化学电极与摩擦电材料混合,active,
201,M203,氧化锌复合光催化材料,13005,201,C0202,氧化锌复合光催化材料,active,
202,M204,纳米表征与光学传感材料,8394,202,C0203,纳米表征与光学传感材料,active,
203,M205,发电项目电价结算及清单政策,231,203,C0204,发电项目电价结算及清单政策,active,
204,M206,电池测试表征与性能评估,9010,204,C0205,电池测试表征与性能评估,active,
205,M207,激子量子点与发光机理,16014,205,C0206,激子量子点与发光机理,active,
206,M208,组件边框与通用结构材料,2110,206,C0207,组件边框与通用结构材料,active,
207,M209,能源企业组织投资与管理,12691,207,C0208,能源企业组织投资与管理,active,
208,M210,有机半导体光物理与光电响应,10829,208,C0209,有机半导体光物理与光电响应,active,
209,M211,地热资源开发与换热,11871,209,C0210,地热资源开发与换热,active,
210,M212,直流变换器拓扑与设计,18808,210,C0211,直流变换器拓扑与设计,active,
211,M213,等离子体波与高能粒子作用,14465,211,C0212,等离子体波与高能粒子作用,active,
212,M214,电力电缆绝缘与运行诊断,8594,212,C0213,电力电缆绝缘与运行诊断,active,
213,M215,通信网络路由与拓扑,13770,213,C0214,通信网络路由与拓扑,active,
214,M216,电池极耳焊接及耳机等混合部件,1059,214,C0215,电池极耳焊接及耳机等混合部件,active,
215,M217,电力可靠性与电气安全,12063,215,C0216,电力可靠性与电气安全,active,
216,M218,离子液体萃取与金属分离,8337,216,C0217,离子液体萃取与金属分离,active,
217,M219,气候变化治理与国际政策,21895,217,C0218,气候变化治理与国际政策,active,
218,M221,系统可靠性及暂态稳定混合,10951,218,C0219,系统可靠性及暂态稳定混合,active,
219,M222,局部放电电晕与放电物理,7985,219,C0220,局部放电电晕与放电物理,active,
220,M223,锂金属沉积与含锂电极材料,15769,220,C0221,锂金属沉积与含锂电极材料,active,
221,M224,木质纤维素预处理与生化转化,13717,221,C0222,木质纤维素预处理与生化转化,active,
222,M225,泵水轮机与水力机械流动,15408,222,C0223,泵水轮机与水力机械流动,active,
223,M226,生物炭制备与环境应用,8602,223,C0224,生物炭制备与环境应用,active,
224,M227,离子导电及功能聚合物,13534,224,C0225,离子导电及功能聚合物,active,
225,M228,过硫酸盐活化与高级氧化,13343,225,C0226,过硫酸盐活化与高级氧化,active,
226,M229,空调通风与空气处理,8973,226,C0227,空调通风与空气处理,active,
227,M230,能源审计与综合节能评估,19317,227,C0228,能源审计与综合节能评估,active,
228,M231,通用安装固定与机电结构,4241,228,C0229,通用安装固定与机电结构,active,
229,M232,高温钢材蠕变腐蚀与焊接,10408,229,C0230,高温钢材蠕变腐蚀与焊接,active,
230,M233,专利权利要求格式与杂项器件,2831,230,C0231,专利权利要求格式与杂项器件,active,
231,M234,多种掺杂氧化物及功能化合物,11909,231,C0232,多种掺杂氧化物及功能化合物,active,
232,M235,半导体光电化学水分解,10970,232,C0233,半导体光电化学水分解,active,
233,M236,软开关谐振与交流变换器,13196,233,C0234,软开关谐振与交流变换器,active,
234,M237,热电发电器件与热设计,15016,234,C0235,热电发电器件与热设计,active,
235,M238,氢能供给加氢与系统集成,8347,235,C0236,氢能供给加氢与系统集成,active,
236,M239,分布式光伏部署与技术经济,23692,236,C0237,分布式光伏部署与技术经济,active,
237,M240,农业农村经济与资源发展,9577,237,C0238,农业农村经济与资源发展,active,
238,M241,高温及绝缘陶瓷制备,9985,238,C0239,高温及绝缘陶瓷制备,active,
239,M242,薄膜晶体管与有机电子器件,8242,239,C0240,薄膜晶体管与有机电子器件,active,
240,M243,有机半导体供受体与分子器件材料,13229,240,C0241,有机半导体供受体与分子器件材料,active,
241,M244,文摘索引与教学资料记录,5446,241,C0242,文摘索引与教学资料记录,active,
242,M245,生物油热解与燃料升级,13582,242,C0243,生物油热解与燃料升级,active,
243,M246,电驱控制器与机电集成装置,2134,243,C0244,电驱控制器与机电集成装置,active,
244,M247,碳基超级电容器电极,12699,244,C0245,碳基超级电容器电极,active,
245,M248,虚拟电厂资源聚合与调度,2610,245,C0246,虚拟电厂资源聚合与调度,active,
246,M249,镍锰及多种无机功能材料,11497,246,C0247,镍锰及多种无机功能材料,active,
247,M250,电力安全生产与应急政策,965,247,C0248,电力安全生产与应急政策,active,
248,M251,磁性材料磁路与磁场基础,12703,248,C0249,磁性材料磁路与磁场基础,active,
249,M252,热力循环余热与联供系统,9533,249,C0250,热力循环余热与联供系统,active,
250,M253,充电站选址与充电调度,9621,250,C0251,充电站选址与充电调度,active,
251,M254,热泵与区域供热供冷,10959,251,C0252,热泵与区域供热供冷,active,
252,M255,二氧化碳加氢与多类催化反应,9613,252,C0253,二氧化碳加氢与多类催化反应,active,
253,M256,电催化析氢与界面调控,19499,253,C0254,电催化析氢与界面调控,active,
254,M257,锂离子电池电极材料,13320,254,C0255,锂离子电池电极材料,active,
255,M258,磁电耦合与自旋极化基础,11714,255,C0256,磁电耦合与自旋极化基础,active,
256,M259,固体氧化物燃料电池,18799,256,C0257,固体氧化物燃料电池,active,
257,M260,综合能源系统协同管理与优化调度,19593,257,C0258,综合能源系统协同管理与优化调度,active,
258,M261,锂硫电池正极与多硫化物调控,11208,258,C0259,锂硫电池正极与多硫化物调控,active,
259,M262,电压电流检测与校验电路,3082,259,C0260,电压电流检测与校验电路,active,
260,M263,保护电路与开关控制,3277,260,C0261,保护电路与开关控制,active,
261,M264,电池外壳盖板与封装,3146,261,C0262,电池外壳盖板与封装,active,
262,M265,碳基氧还原及单原子催化,12569,262,C0263,碳基氧还原及单原子催化,active,
263,M266,绿色发展可持续性与绿色金融,16115,263,C0264,绿色发展可持续性与绿色金融,active,
264,M267,覆冰冻结与除冰传热,4246,264,C0265,覆冰冻结与除冰传热,active,
265,M268,燃料电池质子交换膜,12065,265,C0266,燃料电池质子交换膜,active,
266,M269,通用数学方程与数值方法,15483,266,C0267,通用数学方程与数值方法,active,
267,M271,液冷流体通道与杂项机电装置,2231,267,C0268,液冷流体通道与杂项机电装置,active,
268,M272,有机发光与分子光物理材料,13964,268,C0269,有机发光与分子光物理材料,active,
269,M273,翼型螺旋桨与航空气动,15706,269,C0270,翼型螺旋桨与航空气动,active,
270,M274,沼气及多路线生物燃料,13989,270,C0271,沼气及多路线生物燃料,active,
271,M275,高分子绝缘与复合材料混合,9187,271,C0272,高分子绝缘与复合材料混合,active,
272,M276,电机调制谐波与转矩控制,3473,272,C0273,电机调制谐波与转矩控制,active,
273,M277,电缆结构材料与敷设,3320,273,C0274,电缆结构材料与敷设,active,
274,M278,风电发电机与并网控制,15613,274,C0275,风电发电机与并网控制,active,
275,M279,锂离子电池负极材料,23866,275,C0276,锂离子电池负极材料,active,
276,M280,分子生物学与医学机制,10192,276,C0277,分子生物学与医学机制,active,
277,M281,整体电催化水分解,14069,277,C0278,整体电催化水分解,active,
278,M282,光伏支架与组件机械固定,2893,278,C0279,光伏支架与组件机械固定,active,
279,M283,航空器无人机设计与飞控,13159,279,C0280,航空器无人机设计与飞控,active,
280,M284,电机磁路转子与铁芯设计,3413,280,C0281,电机磁路转子与铁芯设计,active,
281,M285,金融投资与风险经济,12326,281,C0282,金融投资与风险经济,active,
282,M286,油路液压与油浸电气装置,1308,282,C0283,油路液压与油浸电气装置,active,
283,M287,能源标准化许可与专项监管,1326,283,C0284,能源标准化许可与专项监管,active,
284,M288,热泵换热器与热管理设计,11841,284,C0285,热泵换热器与热管理设计,active,
285,M289,燃料电池铂基催化剂,14654,285,C0286,燃料电池铂基催化剂,active,
286,M290,核裂变聚变与核电工程,9653,286,C0287,核裂变聚变与核电工程,active,
287,M291,多体系电池配方与器件,4481,287,C0288,多体系电池配方与器件,active,
288,M292,锌基硫族及氧化物薄膜,13393,288,C0289,锌基硫族及氧化物薄膜,active,
289,M293,铁氧化物磁性纳米材料,16456,289,C0290,铁氧化物磁性纳米材料,active,
290,M294,瓶装液化石油气价格政策,218,290,C0291,瓶装液化石油气价格政策,active,
291,M295,仿真软件硬件在环与教学平台,10712,291,C0292,仿真软件硬件在环与教学平台,active,
292,M296,电池系统管理与全寿命利用,9865,292,C0293,电池系统管理与全寿命利用,active,
293,M297,电池管理与均衡控制,3982,293,C0294,电池管理与均衡控制,active,
294,M298,光学薄膜与发光表征,11116,294,C0295,光学薄膜与发光表征,active,
295,M299,供水管网水力状态与节能调度,6751,295,C0296,供水管网水力状态与节能调度,active,
296,M301,废旧锂电池回收、分离与材料再生,8343,296,C0297,废旧锂电池回收、分离与材料再生,active,
297,M302,场效应晶体管结构与建模,11901,297,C0298,场效应晶体管结构与建模,active,
298,M303,温度测量监测与温控装置,2838,298,C0299,温度测量监测与温控装置,active,
299,M304,出版商模板干扰的多能源文本,11350,299,C0300,出版商模板干扰的多能源文本,active,
300,M305,半导体离子注入与辐照缺陷,9288,300,C0301,半导体离子注入与辐照缺陷,active,
301,M306,制冷循环与余热驱动制冷,7475,301,C0302,制冷循环与余热驱动制冷,active,
302,M307,照明灯具与光学部件,6011,302,C0303,照明灯具与光学部件,active,
303,M308,二氧化钛纳米结构制备与基础应用,35044,303,C0304,二氧化钛纳米结构制备与基础应用,active,
304,M309,电气设备防护监测及杂项装置,3112,304,C0305,电气设备防护监测及杂项装置,active,
305,M310,电能质量谐波检测与信号分析,16094,305,C0306,电能质量谐波检测与信号分析,active,
306,M311,对流換热与换热器热工分析,14706,306,C0307,对流換热与换热器热工分析,active,
307,M312,变电站自动化与电网监控,12737,307,C0308,变电站自动化与电网监控,active,
308,M313,电动车辆及充电系统装置,2888,308,C0309,电动车辆及充电系统装置,active,
309,M314,复合氧化物合成与电化学性质,10419,309,C0310,复合氧化物合成与电化学性质,active,
310,M315,变换器与电机变压器保护混合,13450,310,C0311,变换器与电机变压器保护混合,active,
311,M316,书目碎片封面与其他非研究文本,3892,311,C0312,书目碎片封面与其他非研究文本,active,
312,M317,电力系统频率控制及通用控制方法,10080,312,C0313,电力系统频率控制及通用控制方法,active,
313,M318,多体系电催化剂与电池材料制备,3076,313,C0314,多体系电催化剂与电池材料制备,active,
314,M319,中国能源转型与区域低碳经济,15098,314,C0315,中国能源转型与区域低碳经济,active,
315,M320,多种燃料燃烧与排放评估,11126,315,C0316,多种燃料燃烧与排放评估,active,
