raw_topic_id,cluster,reviewed_name,merged_topic_id,merged_name,domain,status,merged_domain,merged_status,merge_reason
B071,71,氢能产业与制氢技术经济,M071,氢能产业与制氢技术经济,氢能与燃料电池,宽泛待细分,氢能与燃料电池,宽泛待细分,保留独立类群
B072,72,电极过程与电化学沉积,M072,电极过程与电化学沉积,能源材料与电化学基础,宽泛待细分,能源材料与电化学基础,宽泛待细分,保留独立类群
B073,73,通用防护支撑与安装结构混杂簇073,M073,通用防护支撑与安装结构混杂簇073,制造与通用装置,混杂待重分,制造与通用装置,混杂待重分,保留独立类群
B074,74,铋基氧化物光催化材料,M074,铋基氧化物光催化材料,能源材料与电化学基础,方向候选,能源材料与电化学基础,方向候选,保留独立类群
B075,75,通用催化剂与催化反应工程,M075,通用催化剂与催化反应工程,能源材料与电化学基础,宽泛待细分,能源材料与电化学基础,宽泛待细分,保留独立类群
B076,76,机电传动与运动执行装置,M076,机电传动与运动执行装置,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B077,77,充电连接与通用部件混合,M077,充电连接与通用部件混合,交通与充电,混杂待重分,交通与充电,混杂待重分,保留独立类群
B078,78,燃料电池系统运行控制,M078,燃料电池系统运行控制,氢能与燃料电池,方向候选,氢能与燃料电池,方向候选,保留独立类群
B079,79,污染物光催化降解,M079,污染物光催化降解,碳与环境,方向候选,碳与环境,方向候选,保留独立类群
B080,80,电力市场与售电制度政策,M080,电力市场与售电制度政策,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B081,81,智能电网体系与通信,M081,智能电网体系与通信,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,保留独立类群
B082,82,配电网电压无功与电能质量,M082,配电网电压无功与电能质量,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,保留独立类群
B083,83,电池单体电极及模组结构,M083,电池单体电极及模组结构,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B084,84,多类功能薄膜与纳米器件,M084,多类功能薄膜与纳米器件,能源材料与电化学基础,混杂待重分,能源材料与电化学基础,混杂待重分,保留独立类群
B085,85,光伏组件性能建模与故障检测,M085,光伏组件性能建模与故障检测,太阳能,宽泛待细分,太阳能,宽泛待细分,保留独立类群
B086,86,制氢储氢与加氢系统,M086,制氢储氢与加氢系统,氢能与燃料电池,宽泛待细分,氢能与燃料电池,宽泛待细分,保留独立类群
B087,87,污水厌氧处理与产能回收,M087,污水厌氧处理与产能回收,生物质与资源循环,宽泛待细分,生物质与资源循环,宽泛待细分,保留独立类群
B088,88,信号处理测量与电力扰动,M088,信号处理测量与电力扰动,数字技术与测量,宽泛待细分,数字技术与测量,宽泛待细分,保留独立类群
B089,89,电动汽车充电控制,M089,电动汽车充电控制,交通与充电,方向候选,交通与充电,方向候选,保留独立类群
B090,90,等离子体湍流与不稳定性,M090,等离子体湍流与不稳定性,核能与等离子体,方向候选,核能与等离子体,方向候选,保留独立类群
B091,91,天然气输配与气价政策,M091,天然气输配与气价政策,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B092,92,电能变换波浪能与互感器混合,M092,电能变换波浪能与互感器混合,电力电子与电机,混杂待重分,电力电子与电机,混杂待重分,保留独立类群
B093,93,晶体缺陷外延与变形,M093,晶体缺陷外延与变形,能源材料与电化学基础,关联基础研究,能源材料与电化学基础,关联基础研究,保留独立类群
B094,94,泄漏检测与多设备状态监测,M094,泄漏检测与多设备状态监测,数字技术与测量,混杂待重分,数字技术与测量,混杂待重分,保留独立类群
B095,95,电力设备通信与控制系统,M095,电力设备通信与控制系统,数字技术与测量,宽泛待细分,数字技术与测量,宽泛待细分,保留独立类群
B096,96,永磁电机与磁路设计,M096,永磁电机与磁路设计,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B097,97,建筑与工业冷却节能,M097,建筑与工业冷却节能,热工与能效,宽泛待细分,热工与能效,宽泛待细分,保留独立类群
B098,98,无人机巡检与电网作业,M098,无人机巡检与电网作业,数字技术与测量,方向候选,数字技术与测量,方向候选,保留独立类群
B099,99,磁重联与磁场材料效应,M099,磁重联与磁场材料效应,核能与等离子体,混杂待重分,核能与等离子体,混杂待重分,保留独立类群
B100,100,人类世生态危机与社会转型,M100,人类世生态危机与社会转型,其他基础与关联学科,关联基础研究,其他基础与关联学科,关联基础研究,保留独立类群
B101,101,电力设备与线路故障检测诊断,M101,电力设备与线路故障检测、定位和诊断,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,三簇共同研究电力设备及线路的信号特征、故障识别、定位与诊断；配电网电弧接地检测、光伏接入配网诊断和架空线路故障分类在对象及任务上重合。文献/专利表达差异不足以形成独立方向。合并仅消除这一层的重复，保留多设备宽泛状态；汽车传动、软开关控制及钢丝绳缺陷等越界样本未被重分。
B102,102,金属基复合材料与耐磨制造,M102,金属基复合材料与耐磨制造,能源材料与电化学基础,关联基础研究,能源材料与电化学基础,关联基础研究,保留独立类群
B103,103,发动机燃气轮机与动力机械,M103,发动机燃气轮机与动力机械,化石能源,宽泛待细分,化石能源,宽泛待细分,保留独立类群
B104,104,微电网能量管理与优化,M104,微电网能量管理与优化,电网与电力系统,方向候选,电网与电力系统,方向候选,保留独立类群
B105,105,电动汽车推广与整车能耗,M105,电动汽车推广与整车能耗,交通与充电,宽泛待细分,交通与充电,宽泛待细分,保留独立类群
B106,106,模板化晶体数据库记录,M106,模板化晶体数据库记录,其他基础与关联学科,外围或非研究文本,其他基础与关联学科,外围或非研究文本,保留独立类群
B107,107,储能充放电与变流控制,M107,储能充放电与变流控制,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B108,108,水系锌电池与锌空气电池,M108,水系锌电池与锌空气电池,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B109,109,电气柜密封防护与开关部件,M109,电气柜密封防护与开关部件,电网与电力系统,混杂待重分,电网与电力系统,混杂待重分,保留独立类群
B110,110,机柜装配与通用机械部件,M110,机柜装配与通用机械部件,制造与通用装置,混杂待重分,制造与通用装置,混杂待重分,保留独立类群
B111,111,电站锅炉汽轮机与设备运维,M111,电站锅炉汽轮机与设备运维,化石能源,混杂待重分,化石能源,混杂待重分,保留独立类群
B112,112,二氧化钛基光催化材料,M112,二氧化钛光催化材料与反应,能源材料与电化学基础,方向候选,能源材料与电化学基础,宽泛待细分,两簇均以TiO2基复合或改性光催化剂及活性提升为中心，标题样本的水净化和补查正文的加替沙星降解与簇438的有机污染物降解直接重合。没有稳定证据将材料改性与催化性能作为互斥类群。两簇仍含光电探测、制氢及其他边界记录，合并名称不限定为纯污染物降解，状态保留宽泛。
B113,113,水分离采集与流体界面技术,M113,水分离采集与流体界面技术,热工与能效,混杂待重分,热工与能效,混杂待重分,保留独立类群
B114,114,二氧化碳吸收溶解与水合物,M114,二氧化碳吸收溶解与水合物,碳与环境,宽泛待细分,碳与环境,宽泛待细分,保留独立类群
B115,115,电源装置与供电电路结构,M115,电源装置与供电电路结构,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B116,116,制冷循环工质与能效,M116,制冷循环工质与能效,热工与能效,宽泛待细分,热工与能效,宽泛待细分,保留独立类群
B117,117,煤矿产能及经营公告,M117,煤矿产能及经营公告,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B118,118,煤矿安全生产与许可管理,M118,煤矿安全生产与许可管理,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B119,119,电力载波与通信传输,M119,电力载波与通信传输,数字技术与测量,宽泛待细分,数字技术与测量,宽泛待细分,保留独立类群
B120,120,波浪能装置与海洋水动力,M120,波浪能装置与海洋水动力,风能与水能海洋能源,宽泛待细分,风能与水能海洋能源,宽泛待细分,保留独立类群
B121,121,热电材料与性能优化Ⅰ,M121,热电材料与热电性能优化,能源材料与电化学基础,方向候选,能源材料与电化学基础,方向候选,两簇中心均为热电材料进展，随机样本重复出现碲化物/氧化物掺杂复合、Seebeck与ZT等热电性能优化；补查专利同样为掺杂Bi2Te3材料。未观察到可稳定区分两簇的材料体系或研究任务。热电器件热设计簇237继续独立；磁性材料等边界误入不因合并而消失。
B122,122,磁约束等离子体运行与边界,M122,磁约束等离子体运行与边界,核能与等离子体,方向候选,核能与等离子体,方向候选,保留独立类群
B123,123,电力系统碳计量与低碳调度,M123,电力系统碳计量与低碳调度,碳与环境,宽泛待细分,碳与环境,宽泛待细分,保留独立类群
B124,124,重整气化与合成气制氢,M124,重整气化与合成气制氢,氢能与燃料电池,宽泛待细分,氢能与燃料电池,宽泛待细分,保留独立类群
B125,125,氮化碳及复合光催化材料,M125,氮化碳及复合光催化材料,能源材料与电化学基础,宽泛待细分,能源材料与电化学基础,宽泛待细分,保留独立类群
B126,126,质子交换及功能聚合物膜,M126,质子交换及功能聚合物膜,氢能与燃料电池,宽泛待细分,氢能与燃料电池,宽泛待细分,保留独立类群
B127,127,石墨烯复合材料与多场景应用,M127,石墨烯复合材料与多场景应用,能源材料与电化学基础,宽泛待细分,能源材料与电化学基础,宽泛待细分,保留独立类群
B128,128,生物质与污泥厌氧消化产气,M128,生物质与污泥厌氧消化产气,生物质与资源循环,方向候选,生物质与资源循环,方向候选,保留独立类群
B129,129,能源网络安全与隐私保护,M129,能源网络安全与隐私保护,数字技术与测量,方向候选,数字技术与测量,方向候选,保留独立类群
B130,130,光伏电池及组件结构制造,M130,光伏电池及组件结构制造,太阳能,宽泛待细分,太阳能,宽泛待细分,保留独立类群
B131,131,超级电容器复合电极材料,M131,超级电容器复合电极材料,电化学储能,方向候选,电化学储能,方向候选,保留独立类群
B132,132,排放交易与污染治理政策研究,M132,排放交易与污染治理政策研究,碳与环境,宽泛待细分,碳与环境,宽泛待细分,保留独立类群
B133,133,功能薄膜沉积与表征,M133,功能薄膜沉积与表征,能源材料与电化学基础,关联基础研究,能源材料与电化学基础,关联基础研究,保留独立类群
B134,134,电连接器接线与端口结构,M134,电连接器接线与端口结构,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B135,135,电力市场机制与产消者经济,M135,电力市场机制与产消者经济,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,保留独立类群
B136,136,电解与其他路线制氢技术,M136,电解与其他路线制氢技术,氢能与燃料电池,宽泛待细分,氢能与燃料电池,宽泛待细分,保留独立类群
B137,137,光伏出力预测与系统参数建模,M137,光伏出力预测与系统参数建模,太阳能,宽泛待细分,太阳能,宽泛待细分,保留独立类群
B138,138,变压器油纸绝缘诊断,M138,变压器油纸绝缘诊断,电网与电力系统,方向候选,电网与电力系统,方向候选,保留独立类群
B139,139,厌氧微生物产甲烷机制,M139,厌氧微生物产甲烷机制,生物质与资源循环,方向候选,生物质与资源循环,方向候选,保留独立类群
B140,140,半导体载流子与电荷输运,M140,半导体载流子与电荷输运,能源材料与电化学基础,关联基础研究,能源材料与电化学基础,关联基础研究,保留独立类群
B141,141,电机转子定子与装配结构,M141,电机转子定子与装配结构,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B142,142,微电网变流器协调与功率分配,M142,微电网变流器协调与功率分配,电网与电力系统,方向候选,电网与电力系统,方向候选,保留独立类群
B143,143,能源作物种植与生物质采收,M143,能源作物种植与生物质采收,生物质与资源循环,方向候选,生物质与资源循环,方向候选,保留独立类群
B144,144,陆面气象与蒸散估计,M144,陆面气象与蒸散估计,其他基础与关联学科,关联基础研究,其他基础与关联学科,关联基础研究,保留独立类群
B145,145,铁基催化剂与氧电催化,M145,铁基催化剂与氧电催化,能源材料与电化学基础,宽泛待细分,能源材料与电化学基础,宽泛待细分,保留独立类群
B146,146,节能减排财政资金安排,M146,节能减排财政资金安排,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B147,147,电极与电机铁芯制造装置,M147,电极与电机铁芯制造装置,制造与通用装置,混杂待重分,制造与通用装置,混杂待重分,保留独立类群
B148,148,临床疾病与健康研究,M148,临床疾病与健康研究,其他基础与关联学科,外围或非研究文本,其他基础与关联学科,外围或非研究文本,保留独立类群
B149,149,储能技术与能量转换综述,M149,储能技术与能量转换综述,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B150,150,多孔碳吸附二氧化碳,M150,多孔碳吸附二氧化碳,碳与环境,方向候选,碳与环境,方向候选,保留独立类群
B151,151,镁基及多组元合金性质,M151,镁基及多组元合金性质,能源材料与电化学基础,关联基础研究,能源材料与电化学基础,关联基础研究,保留独立类群
B152,152,硅基材料与碳化硅陶瓷,M152,硅基材料与碳化硅陶瓷,能源材料与电化学基础,混杂待重分,能源材料与电化学基础,混杂待重分,保留独立类群
B153,153,无线电能传输电路与系统,M153,无线电能传输电路与系统,电力电子与电机,方向候选,电力电子与电机,方向候选,保留独立类群
B154,154,电解水析氧催化,M154,电解水析氧催化,氢能与燃料电池,方向候选,氢能与燃料电池,方向候选,保留独立类群
B155,155,电力交易竞价与市场优化,M155,电力交易竞价与市场优化,电网与电力系统,方向候选,电网与电力系统,方向候选,保留独立类群
B156,156,水工引水排水与杂项装置,M156,水工引水排水与杂项装置,制造与通用装置,混杂待重分,制造与通用装置,混杂待重分,保留独立类群
B157,157,电力设备故障识别与智能诊断,M101,电力设备与线路故障检测、定位和诊断,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,三簇共同研究电力设备及线路的信号特征、故障识别、定位与诊断；配电网电弧接地检测、光伏接入配网诊断和架空线路故障分类在对象及任务上重合。文献/专利表达差异不足以形成独立方向。合并仅消除这一层的重复，保留多设备宽泛状态；汽车传动、软开关控制及钢丝绳缺陷等越界样本未被重分。
B158,158,有机光伏及空穴传输材料,M158,有机光伏材料、器件与载流子输运,太阳能,宽泛待细分,太阳能,宽泛待细分,两簇均围绕聚合物/富勒烯异质结有机光伏、导电透明电极及器件性能，中心和随机正文呈现相同材料—器件研究链。没有足够证据把有机太阳能电池与organic photovoltaics另列。保留宽泛状态及钙钛矿空穴层、无机光电化学等混入提示；跨晶体管等器件的有机半导体基础簇243不并入。
B159,159,太阳辐照预测与光伏环境建模,M159,太阳辐照预测与光伏环境建模,太阳能,宽泛待细分,太阳能,宽泛待细分,保留独立类群
B160,160,通用互联网协议与通信网络,M160,通用互联网协议与通信网络,数字技术与测量,关联基础研究,数字技术与测量,关联基础研究,保留独立类群
B161,161,车辆操稳道路与轮胎交互,M161,车辆操稳道路与轮胎交互,交通与充电,宽泛待细分,交通与充电,宽泛待细分,保留独立类群
B162,162,电气传感与多设备测量,M162,电气传感与多设备测量,数字技术与测量,宽泛待细分,数字技术与测量,宽泛待细分,保留独立类群
B163,163,分布式电源接入与配电网运行,M163,分布式电源接入与配电网运行,电网与电力系统,方向候选,电网与电力系统,方向候选,保留独立类群
B164,164,输电线路雷电接地与电磁影响,M164,输电线路雷电接地与电磁影响,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,保留独立类群
B165,165,天然气供能与燃气动力系统,M165,天然气供能与燃气动力系统,化石能源,宽泛待细分,化石能源,宽泛待细分,保留独立类群
B166,166,多类太阳能电池结构与性能,M166,多类太阳能电池结构与性能,太阳能,宽泛待细分,太阳能,宽泛待细分,保留独立类群
B167,167,晶硅异质结与硅基光伏制造,M167,晶硅异质结与硅基光伏制造,太阳能,方向候选,太阳能,方向候选,保留独立类群
B168,168,粒子束辐照与半导体材料缺陷,M168,粒子束辐照与半导体材料缺陷,核能与等离子体,关联基础研究,核能与等离子体,关联基础研究,保留独立类群
B169,169,电池荷电状态健康状态与建模,M169,电池荷电状态健康状态与建模,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B170,170,热电材料与性能优化Ⅱ,M121,热电材料与热电性能优化,能源材料与电化学基础,方向候选,能源材料与电化学基础,方向候选,两簇中心均为热电材料进展，随机样本重复出现碲化物/氧化物掺杂复合、Seebeck与ZT等热电性能优化；补查专利同样为掺杂Bi2Te3材料。未观察到可稳定区分两簇的材料体系或研究任务。热电器件热设计簇237继续独立；磁性材料等边界误入不因合并而消失。
B171,171,能源转型与能源安全研究,M171,能源转型与能源安全研究,能源政策与治理,宽泛待细分,能源政策与治理,宽泛待细分,保留独立类群
B172,172,最优潮流与电网优化运行,M172,最优潮流与电网优化运行,电网与电力系统,方向候选,电网与电力系统,方向候选,保留独立类群
B173,173,燃烧稳定与低污染排放,M173,燃烧稳定与低污染排放,化石能源,方向候选,化石能源,方向候选,保留独立类群
B174,174,电池正极改性与再生工艺,M174,电池正极改性与再生工艺,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B175,175,电力负荷预测与短路等系统计算混合,M175,电力负荷预测与短路等系统计算混合,电网与电力系统,混杂待重分,电网与电力系统,混杂待重分,保留独立类群
B176,176,空化流动与水动力,M176,空化流动与水动力,热工与能效,关联基础研究,热工与能效,关联基础研究,保留独立类群
B177,177,光伏最大功率点跟踪,M177,光伏最大功率点跟踪,太阳能,方向候选,太阳能,方向候选,保留独立类群
B178,178,纳米结构输运与器件基础,M178,纳米结构输运与器件基础,能源材料与电化学基础,关联基础研究,能源材料与电化学基础,关联基础研究,保留独立类群
