merged_topic_id,name,domain,status,raw_clusters,raw_cluster_count,documents,papers,patents_2026,policies,review_note,merge_reason
M020,金属离子吸附与材料化学,碳与环境,混杂待重分,B020,1,13123,13097,26,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M021,钠离子电池材料与电解液,电化学储能,宽泛待细分,B021,1,2984,745,2239,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M022,功率半导体器件与电路结构,电力电子与电机,宽泛待细分,B022,1,3037,65,2972,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M023,海洋资源开发与海上工程,风能与水能海洋能源,宽泛待细分,B023,1,8704,8702,2,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M024,通用防护支撑与安装结构混杂簇024,制造与通用装置,混杂待重分,B024,1,2315,123,2192,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M025,硫化镉等硫族薄膜制备,太阳能,方向候选,B025,1,6449,6435,14,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M026,变压器与高压开关设备,电网与电力系统,宽泛待细分,B026,1,14191,14181,10,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M027,电动汽车充电设施及并网,交通与充电,宽泛待细分,B027,1,7260,7208,51,1,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。,保留独立类群
M028,聚变等离子体诊断,核能与等离子体,方向候选,B028,1,12644,12606,38,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M029,碳基电极与多孔材料制备,能源材料与电化学基础,混杂待重分,B029,1,2826,919,1907,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M030,车辆驱动制动与运动控制,交通与充电,宽泛待细分,B030,1,14539,14293,246,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M031,煤炭产业布局与清洁利用政策,能源政策与治理,政策类群,B031,1,1746,1397,7,342,初审查看全簇主题词及中心/随机样本题名；政策治理类群；行政公告及资质清单不等于技术创新证据，年份需按用途另筛。,保留独立类群
M032,石油产业与油价经济,化石能源,宽泛待细分,B032,1,21371,21366,0,5,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M033,污泥资源化与水处理,生物质与资源循环,宽泛待细分,B033,1,11209,11091,118,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M034,太阳能集热与热利用装置,太阳能,宽泛待细分,B034,1,2257,1348,909,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M035,风机传动支撑与轴承部件,风能与水能海洋能源,混杂待重分,B035,1,2043,305,1738,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M036,光催化二氧化碳转化与氧化还原,碳与环境,宽泛待细分,B036,1,21767,21764,3,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M037,电气计量校准与测量不确定度,数字技术与测量,宽泛待细分,B037,1,10512,10443,68,1,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M038,碳达峰与综合节能政策,能源政策与治理,政策类群,B038,1,872,578,4,290,初审查看全簇主题词及中心/随机样本题名；政策治理类群；行政公告及资质清单不等于技术创新证据，年份需按用途另筛。,保留独立类群
M039,碳定价与减排经济机制,碳与环境,方向候选,B039,1,20977,20970,3,4,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M040,电池单体与模组构件装配,电化学储能,宽泛待细分,B040,1,5160,58,5102,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。,保留独立类群
M041,无线充电与充电器结构,交通与充电,宽泛待细分,B041,1,2716,776,1940,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M042,气体处理气化与天然气水合物,化石能源,混杂待重分,B042,1,11628,11601,27,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M043,二氧化碳及混合气体膜分离,碳与环境,方向候选,B043,1,7220,7189,31,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M044,铜铟镓硒薄膜光伏,太阳能,方向候选,B044,1,17099,17033,66,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M045,煤气化与燃煤清洁转化,化石能源,宽泛待细分,B045,1,8527,8462,65,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M046,分离膜制备与膜污染控制,碳与环境,宽泛待细分,B046,1,17359,17290,69,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M047,配电网柔性调度与协同规划,电网与电力系统,宽泛待细分,B047,1,11196,10903,293,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M048,电池隔膜、聚合物电解质与粘结剂,电化学储能,宽泛待细分,"B048,B466",2,6312,1117,5195,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。,两簇均反复出现锂电池复合隔膜、原位聚合或凝胶电解质及聚合物粘结剂；例如芳纶涂覆隔膜与LATP涂层隔膜、立构复合电解质与静电纺丝凝胶电解质。无法据此建立稳定的隔膜/电解质分界，合并为已有宽泛材料类群；不并入专门的固态电解质簇049。通用胶带等边界混入仍保留风险标记。
M049,固态及凝胶聚合物电解质,电化学储能,方向候选,B049,1,13255,13240,15,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M050,储能及通用装置温控换热,热工与能效,混杂待重分,B050,1,3500,1041,2459,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M051,电气故障保护与暂态检测,电网与电力系统,宽泛待细分,B051,1,2972,990,1982,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M052,电能变换与驱动控制电路,电力电子与电机,宽泛待细分,B052,1,2332,1006,1326,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M053,电价与输配电价监管政策,能源政策与治理,政策类群,B053,1,851,292,1,558,初审查看全簇主题词及中心/随机样本题名；政策治理类群；行政公告及资质清单不等于技术创新证据，年份需按用途另筛。,保留独立类群
M054,含铜化合物结构与功能,能源材料与电化学基础,混杂待重分,B054,1,9790,9780,10,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M055,电储能系统配置与运行,电化学储能,宽泛待细分,B055,1,10808,10760,48,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。,保留独立类群
M056,射频微波电路与功率放大,电力电子与电机,关联基础研究,B056,1,19209,19087,122,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M057,有价金属浸出回收,生物质与资源循环,方向候选,B057,1,17258,17191,67,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M058,厌氧过程微生物与生物能源,生物质与资源循环,宽泛待细分,B058,1,10901,10848,53,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M059,超级电容器电极与器件,电化学储能,方向候选,B059,1,24800,24775,25,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M060,有机合成与分子功能材料,其他基础与关联学科,关联基础研究,B060,1,17147,17006,141,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M061,热工设备换热与工况分析,热工与能效,混杂待重分,B061,1,11632,11596,36,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M062,生物质热解与炭化,生物质与资源循环,方向候选,B062,1,14272,14263,9,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M063,锂钠电池电解液与正极配方,电化学储能,混杂待重分,B063,1,3708,316,3392,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M064,电磁兼容干扰与电缆检测,电力电子与电机,混杂待重分,B064,1,9335,9324,11,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M065,环境税费补贴与市场规制,碳与环境,宽泛待细分,B065,1,13341,13340,0,1,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M066,钙钛矿太阳能电池界面与器件性能,太阳能,宽泛待细分,"B066,B220",2,31409,31408,1,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。；初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。,两簇的中心、随机和边界样本共同涉及钙钛矿太阳能电池空穴传输层、界面钝化及器件效率。簇220的表面处理与异质结钝化同样属于簇066的主任务，现有证据不支持以结晶/结构两个名称分开。合并保留多个器件子任务的宽泛属性，不并入卤化物钙钛矿基础物性类群。
M067,水热溶剂热合成与功能材料,能源材料与电化学基础,混杂待重分,B067,1,8914,8914,0,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M068,宽禁带半导体外延与结器件,电力电子与电机,宽泛待细分,B068,1,10450,10446,4,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M069,气象水文预测与环境评估,数字技术与测量,宽泛待细分,B069,1,8296,7962,334,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M070,功能聚合物合成与结构,能源材料与电化学基础,关联基础研究,B070,1,17953,17802,151,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M071,氢能产业与制氢技术经济,氢能与燃料电池,宽泛待细分,B071,1,12027,11991,13,23,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M072,电极过程与电化学沉积,能源材料与电化学基础,宽泛待细分,B072,1,17869,17835,34,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M073,通用防护支撑与安装结构混杂簇073,制造与通用装置,混杂待重分,B073,1,2123,19,2104,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M074,铋基氧化物光催化材料,能源材料与电化学基础,方向候选,B074,1,11611,11611,0,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M075,通用催化剂与催化反应工程,能源材料与电化学基础,宽泛待细分,B075,1,19480,19461,19,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M076,机电传动与运动执行装置,电力电子与电机,宽泛待细分,B076,1,2895,1084,1811,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M077,充电连接与通用部件混合,交通与充电,混杂待重分,B077,1,2286,20,2266,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M078,燃料电池系统运行控制,氢能与燃料电池,方向候选,B078,1,2177,792,1385,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M079,污染物光催化降解,碳与环境,方向候选,B079,1,27401,27400,1,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M080,电力市场与售电制度政策,能源政策与治理,政策类群,B080,1,1057,609,5,443,初审查看全簇主题词及中心/随机样本题名；政策治理类群；行政公告及资质清单不等于技术创新证据，年份需按用途另筛。,保留独立类群
M081,智能电网体系与通信,电网与电力系统,宽泛待细分,B081,1,12468,12446,21,1,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M082,配电网电压无功与电能质量,电网与电力系统,宽泛待细分,B082,1,12593,12548,45,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M083,电池单体电极及模组结构,电化学储能,宽泛待细分,B083,1,4848,22,4826,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M084,多类功能薄膜与纳米器件,能源材料与电化学基础,混杂待重分,B084,1,8597,8597,0,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M085,光伏组件性能建模与故障检测,太阳能,宽泛待细分,B085,1,15166,15148,18,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M086,制氢储氢与加氢系统,氢能与燃料电池,宽泛待细分,B086,1,2339,282,2057,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M087,污水厌氧处理与产能回收,生物质与资源循环,宽泛待细分,B087,1,11925,11828,97,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M088,信号处理测量与电力扰动,数字技术与测量,宽泛待细分,B088,1,18157,17887,270,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M089,电动汽车充电控制,交通与充电,方向候选,B089,1,3043,528,2515,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M090,等离子体湍流与不稳定性,核能与等离子体,方向候选,B090,1,11570,11570,0,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M091,天然气输配与气价政策,能源政策与治理,政策类群,B091,1,579,360,0,219,初审查看全簇主题词及中心/随机样本题名；政策治理类群；行政公告及资质清单不等于技术创新证据，年份需按用途另筛。,保留独立类群
M092,电能变换波浪能与互感器混合,电力电子与电机,混杂待重分,B092,1,12641,12641,0,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M093,晶体缺陷外延与变形,能源材料与电化学基础,关联基础研究,B093,1,9503,9406,97,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M094,泄漏检测与多设备状态监测,数字技术与测量,混杂待重分,B094,1,3452,2014,1437,1,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M095,电力设备通信与控制系统,数字技术与测量,宽泛待细分,B095,1,3323,1295,2028,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M096,永磁电机与磁路设计,电力电子与电机,宽泛待细分,B096,1,5027,3490,1537,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M097,建筑与工业冷却节能,热工与能效,宽泛待细分,B097,1,10500,10437,63,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M098,无人机巡检与电网作业,数字技术与测量,方向候选,B098,1,1669,293,1376,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M099,磁重联与磁场材料效应,核能与等离子体,混杂待重分,B099,1,13164,13157,7,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M100,人类世生态危机与社会转型,其他基础与关联学科,关联基础研究,B100,1,9459,9458,1,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M101,电力设备与线路故障检测、定位和诊断,电网与电力系统,宽泛待细分,"B101,B157,B420",3,24131,19901,4230,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。边界正文出现微逆软开关控制；并入相同故障诊断类群不移除错分。；初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。随机文献含汽车传动故障诊断，合并后仍保留范围外风险。；初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。边界正文含钢丝绳缺陷检测，整簇合并后仍保留该风险。,三簇共同研究电力设备及线路的信号特征、故障识别、定位与诊断；配电网电弧接地检测、光伏接入配网诊断和架空线路故障分类在对象及任务上重合。文献/专利表达差异不足以形成独立方向。合并仅消除这一层的重复，保留多设备宽泛状态；汽车传动、软开关控制及钢丝绳缺陷等越界样本未被重分。
M102,金属基复合材料与耐磨制造,能源材料与电化学基础,关联基础研究,B102,1,10658,10602,56,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M103,发动机燃气轮机与动力机械,化石能源,宽泛待细分,B103,1,12092,11960,132,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M104,微电网能量管理与优化,电网与电力系统,方向候选,B104,1,13850,13671,179,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M105,电动汽车推广与整车能耗,交通与充电,宽泛待细分,B105,1,14083,14078,5,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M106,模板化晶体数据库记录,其他基础与关联学科,外围或非研究文本,B106,1,10482,10450,32,0,初审查看全簇主题词及中心/随机样本题名；外围学科、资讯、书目或模板记录占据显著主题特征；本轮保留追溯，不直接用于热点计数。,保留独立类群
M107,储能充放电与变流控制,电化学储能,宽泛待细分,B107,1,2031,313,1717,1,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M108,水系锌电池与锌空气电池,电化学储能,宽泛待细分,B108,1,15542,15504,38,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M109,电气柜密封防护与开关部件,电网与电力系统,混杂待重分,B109,1,2649,136,2513,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M110,机柜装配与通用机械部件,制造与通用装置,混杂待重分,B110,1,3193,148,3045,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M111,电站锅炉汽轮机与设备运维,化石能源,混杂待重分,B111,1,8557,8544,12,1,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M112,二氧化钛光催化材料与反应,能源材料与电化学基础,宽泛待细分,"B112,B438",2,48650,48650,0,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。正文稀少；补查中含光电探测/人工视觉和污染物降解，合并后仍需逐条应用核对。；初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。,两簇均以TiO2基复合或改性光催化剂及活性提升为中心，标题样本的水净化和补查正文的加替沙星降解与簇438的有机污染物降解直接重合。没有稳定证据将材料改性与催化性能作为互斥类群。两簇仍含光电探测、制氢及其他边界记录，合并名称不限定为纯污染物降解，状态保留宽泛。
M113,水分离采集与流体界面技术,热工与能效,混杂待重分,B113,1,12443,12415,28,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
