category_id,topic_id,top_keywords,top_keyword_ids,top_keyword_weights,active,paper_documents,train_documents,validation_documents,replay_documents,name,domain,status,analysis_scope,uniform_assigned_papers
N0011,10,Graphene | Nanotechnology | Oxide | Graphene oxide paper | Graphene nanoribbons | Exfoliation joint | Graphene foam | Graphite oxide | Zigzag | Anode | Bilayer graphene | Lithium (medication) | Nanoparticle | Catalysis | Composite number,https://openalex.org/keywords/graphene | https://openalex.org/keywords/nanotechnology | https://openalex.org/keywords/oxide | https://openalex.org/keywords/graphene-oxide-paper | https://openalex.org/keywords/graphene-nanoribbons | https://openalex.org/keywords/exfoliation-joint | https://openalex.org/keywords/graphene-foam | https://openalex.org/keywords/graphite-oxide | https://openalex.org/keywords/zigzag | https://openalex.org/keywords/anode | https://openalex.org/keywords/bilayer-graphene | https://openalex.org/keywords/lithium | https://openalex.org/keywords/nanoparticle | https://openalex.org/keywords/catalysis | https://openalex.org/keywords/composite-number,17.4928 | 2.84128 | 1.25516 | 1.24115 | 0.845715 | 0.616013 | 0.613228 | 0.249664 | 0.184991 | 0.169374 | 0.160039 | 0.140639 | 0.140317 | 0.137593 | 0.132804,True,205,168,21,16,Graphene / Nanotechnology / Oxide,待主题范围审阅,NMF关键词主题,待主题范围审阅,200
N0012,11,Renewable energy | Thermodynamics | Automotive engineering | Enthalpy | Energy storage | Mechanical engineering | Power (physics) | Intermittent energy source | Pumped-storage hydroelectricity | Stand-alone power system | Isothermal process | Thermal | Diesel generator | Physics | Wind power,https://openalex.org/keywords/renewable-energy | https://openalex.org/keywords/thermodynamics | https://openalex.org/keywords/automotive-engineering | https://openalex.org/keywords/enthalpy | https://openalex.org/keywords/energy-storage | https://openalex.org/keywords/mechanical-engineering | https://openalex.org/keywords/power | https://openalex.org/keywords/intermittent-energy-source | https://openalex.org/keywords/pumped-storage-hydroelectricity | https://openalex.org/keywords/stand-alone-power-system | https://openalex.org/keywords/isothermal-process | https://openalex.org/keywords/thermal | https://openalex.org/keywords/diesel-generator | https://openalex.org/keywords/physics | https://openalex.org/keywords/wind-power,5.51175 | 5.48018 | 1.66639 | 1.39875 | 1.256 | 0.949113 | 0.931387 | 0.903459 | 0.831767 | 0.812103 | 0.778924 | 0.686313 | 0.673567 | 0.673508 | 0.629927,True,116,102,7,7,Renewable energy / Thermodynamics / Automotive engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,67
N0013,12,Overpotential | Oxygen evolution | Catalysis | Electrocatalyst | Water splitting | Electrochemistry | Inorganic chemistry | Electrolysis of water | Electrode | Physical chemistry | Tafel equation | Noble metal | Hydrogen production | Phosphide | Nanotechnology,https://openalex.org/keywords/overpotential | https://openalex.org/keywords/oxygen-evolution | https://openalex.org/keywords/catalysis | https://openalex.org/keywords/electrocatalyst | https://openalex.org/keywords/water-splitting | https://openalex.org/keywords/electrochemistry | https://openalex.org/keywords/inorganic-chemistry | https://openalex.org/keywords/electrolysis-of-water | https://openalex.org/keywords/electrode | https://openalex.org/keywords/physical-chemistry | https://openalex.org/keywords/tafel-equation | https://openalex.org/keywords/noble-metal | https://openalex.org/keywords/hydrogen-production | https://openalex.org/keywords/phosphide | https://openalex.org/keywords/nanotechnology,10.9089 | 6.42735 | 2.32475 | 1.83293 | 1.6244 | 0.937513 | 0.888531 | 0.601702 | 0.506034 | 0.462724 | 0.418172 | 0.321447 | 0.286624 | 0.233509 | 0.163641,True,404,294,40,70,Overpotential / Oxygen evolution / Catalysis,待主题范围审阅,NMF关键词主题,待主题范围审阅,388
N0014,13,Scanning electron microscope | Analytical Chemistry (journal) | Diffraction | Thin film | Diffractometer | Energy-dispersive X-ray spectroscopy | Electrochemistry | Transmission electron microscopy | Chemical engineering | Powder diffraction | Cyclic voltammetry | X-ray photoelectron spectroscopy | Diffuse reflectance infrared fourier transform | Field emission microscopy | Composite material,https://openalex.org/keywords/scanning-electron-microscope | https://openalex.org/keywords/analytical-chemistry | https://openalex.org/keywords/diffraction | https://openalex.org/keywords/thin-film | https://openalex.org/keywords/diffractometer | https://openalex.org/keywords/energy-dispersive-x-ray-spectroscopy | https://openalex.org/keywords/electrochemistry | https://openalex.org/keywords/transmission-electron-microscopy | https://openalex.org/keywords/chemical-engineering | https://openalex.org/keywords/powder-diffraction | https://openalex.org/keywords/cyclic-voltammetry | https://openalex.org/keywords/x-ray-photoelectron-spectroscopy | https://openalex.org/keywords/diffuse-reflectance-infrared-fourier-transform | https://openalex.org/keywords/field-emission-microscopy | https://openalex.org/keywords/composite-material,13.2222 | 2.90641 | 0.855375 | 0.715342 | 0.623793 | 0.508991 | 0.499402 | 0.487816 | 0.453833 | 0.38233 | 0.380273 | 0.336557 | 0.289354 | 0.284618 | 0.254832,True,44,43,1,0,Scanning electron microscope / Analytical Chemistry (journal) / Diffraction,待主题范围审阅,NMF关键词主题,待主题范围审阅,38
N0015,14,Mechanics | Heat transfer | Thermodynamics | Convection | Physics | Heat transfer coefficient | Heat flux | Pressure drop | Natural convection | Convective heat transfer | Thermal | Tube (container) | Nusselt number | Composite material | Thermal conduction,https://openalex.org/keywords/mechanics | https://openalex.org/keywords/heat-transfer | https://openalex.org/keywords/thermodynamics | https://openalex.org/keywords/convection | https://openalex.org/keywords/physics | https://openalex.org/keywords/heat-transfer-coefficient | https://openalex.org/keywords/heat-flux | https://openalex.org/keywords/pressure-drop | https://openalex.org/keywords/natural-convection | https://openalex.org/keywords/convective-heat-transfer | https://openalex.org/keywords/thermal | https://openalex.org/keywords/tube | https://openalex.org/keywords/nusselt-number | https://openalex.org/keywords/composite-material | https://openalex.org/keywords/thermal-conduction,9.45678 | 5.06696 | 2.37702 | 1.69765 | 1.39665 | 1.16417 | 1.12889 | 1.01539 | 1.00141 | 0.904341 | 0.860189 | 0.831551 | 0.741588 | 0.67051 | 0.65437,True,437,377,30,30,Mechanics / Heat transfer / Thermodynamics,待主题范围审阅,NMF关键词主题,待主题范围审阅,434
N0016,15,Wind power | Wind speed | Induction generator | Turbine | Meteorology | Doubly fed electric machine | Wind power forecasting | Weibull distribution | Offshore wind power | Permanent magnet synchronous generator | Environmental science | Control theory (sociology) | Power optimizer | Wind profile power law | Marine engineering,https://openalex.org/keywords/wind-power | https://openalex.org/keywords/wind-speed | https://openalex.org/keywords/induction-generator | https://openalex.org/keywords/turbine | https://openalex.org/keywords/meteorology | https://openalex.org/keywords/doubly-fed-electric-machine | https://openalex.org/keywords/wind-power-forecasting | https://openalex.org/keywords/weibull-distribution | https://openalex.org/keywords/offshore-wind-power | https://openalex.org/keywords/permanent-magnet-synchronous-generator | https://openalex.org/keywords/environmental-science | https://openalex.org/keywords/control-theory | https://openalex.org/keywords/power-optimizer | https://openalex.org/keywords/wind-profile-power-law | https://openalex.org/keywords/marine-engineering,12.7715 | 2.81815 | 0.800818 | 0.74466 | 0.650111 | 0.537849 | 0.478401 | 0.444499 | 0.402032 | 0.394091 | 0.379592 | 0.367539 | 0.363099 | 0.319167 | 0.233022,True,416,337,24,55,Wind power / Wind speed / Induction generator,待主题范围审阅,NMF关键词主题,待主题范围审阅,418
N0017,16,Photovoltaic system | Electrical engineering | Maximum power point tracking | Grid-connected photovoltaic power system | Computer science | Environmental science | Building-integrated photovoltaics | Photovoltaic thermal hybrid solar collector | Rooftop photovoltaic power station | Engineering physics | Payback period | Shading | Water pumping | Electronic engineering | Maximum power principle,https://openalex.org/keywords/photovoltaic-system | https://openalex.org/keywords/electrical-engineering | https://openalex.org/keywords/maximum-power-point-tracking | https://openalex.org/keywords/grid-connected-photovoltaic-power-system | https://openalex.org/keywords/computer-science | https://openalex.org/keywords/environmental-science | https://openalex.org/keywords/building-integrated-photovoltaics | https://openalex.org/keywords/photovoltaic-thermal-hybrid-solar-collector | https://openalex.org/keywords/rooftop-photovoltaic-power-station | https://openalex.org/keywords/engineering-physics | https://openalex.org/keywords/payback-period | https://openalex.org/keywords/shading | https://openalex.org/keywords/water-pumping | https://openalex.org/keywords/electronic-engineering | https://openalex.org/keywords/maximum-power-principle,18.2775 | 0.839697 | 0.642896 | 0.472483 | 0.450367 | 0.274699 | 0.271145 | 0.242781 | 0.215048 | 0.206237 | 0.19653 | 0.182966 | 0.17851 | 0.177288 | 0.162133,True,222,149,37,36,Photovoltaic system / Electrical engineering / Maximum power point tracking,待主题范围审阅,NMF关键词主题,待主题范围审阅,221
N0018,17,Polymer | Polymer chemistry | Membrane | Chemical engineering | Composite material | Electrospinning | Electrolyte | Polymerization | Nanofiber | Polymer science | Organic chemistry | Side chain | Monomer | Ether | Vinyl alcohol,https://openalex.org/keywords/polymer | https://openalex.org/keywords/polymer-chemistry | https://openalex.org/keywords/membrane | https://openalex.org/keywords/chemical-engineering | https://openalex.org/keywords/composite-material | https://openalex.org/keywords/electrospinning | https://openalex.org/keywords/electrolyte | https://openalex.org/keywords/polymerization | https://openalex.org/keywords/nanofiber | https://openalex.org/keywords/polymer-science | https://openalex.org/keywords/organic-chemistry | https://openalex.org/keywords/side-chain | https://openalex.org/keywords/monomer | https://openalex.org/keywords/ether | https://openalex.org/keywords/vinyl-alcohol,11.1653 | 4.49942 | 2.91389 | 2.7416 | 1.54256 | 1.14844 | 1.11276 | 1.00276 | 0.992247 | 0.84823 | 0.798542 | 0.758914 | 0.713246 | 0.659583 | 0.612837,True,142,116,9,17,Polymer / Polymer chemistry / Membrane,待主题范围审阅,NMF关键词主题,待主题范围审阅,130
N0019,18,Thermoelectric effect | Thermoelectric materials | Seebeck coefficient | Figure of merit | Thermal conductivity | Thermoelectric generator | Condensed matter physics | Thermodynamics | Thermoelectric cooling | Electrical resistivity and conductivity | Phonon scattering | Skutterudite | Composite material | Bismuth telluride | Dimensionless quantity,https://openalex.org/keywords/thermoelectric-effect | https://openalex.org/keywords/thermoelectric-materials | https://openalex.org/keywords/seebeck-coefficient | https://openalex.org/keywords/figure-of-merit | https://openalex.org/keywords/thermal-conductivity | https://openalex.org/keywords/thermoelectric-generator | https://openalex.org/keywords/condensed-matter-physics | https://openalex.org/keywords/thermodynamics | https://openalex.org/keywords/thermoelectric-cooling | https://openalex.org/keywords/electrical-resistivity-and-conductivity | https://openalex.org/keywords/phonon-scattering | https://openalex.org/keywords/skutterudite | https://openalex.org/keywords/composite-material | https://openalex.org/keywords/bismuth-telluride | https://openalex.org/keywords/dimensionless-quantity,10.9125 | 6.17174 | 5.67421 | 1.99583 | 1.89352 | 1.86838 | 1.29088 | 0.958322 | 0.731124 | 0.498001 | 0.447937 | 0.353436 | 0.343933 | 0.331094 | 0.281198,True,660,537,55,68,Thermoelectric effect / Thermoelectric materials / Seebeck coefficient,待主题范围审阅,NMF关键词主题,待主题范围审阅,648
N0020,19,Plasma | Atomic physics | Physics | Nuclear physics | Computational physics | Tokamak | Toroid | Cyclotron | Instability | Beam (structure) | Fusion | Plasma diagnostics | Fusion power | DIII-D | Magnetohydrodynamics,https://openalex.org/keywords/plasma | https://openalex.org/keywords/atomic-physics | https://openalex.org/keywords/physics | https://openalex.org/keywords/nuclear-physics | https://openalex.org/keywords/computational-physics | https://openalex.org/keywords/tokamak | https://openalex.org/keywords/toroid | https://openalex.org/keywords/cyclotron | https://openalex.org/keywords/instability | https://openalex.org/keywords/beam | https://openalex.org/keywords/fusion | https://openalex.org/keywords/plasma-diagnostics | https://openalex.org/keywords/fusion-power | https://openalex.org/keywords/diii-d | https://openalex.org/keywords/magnetohydrodynamics,11.5892 | 4.65193 | 3.5478 | 3.18635 | 2.2154 | 1.52002 | 1.19003 | 1.0446 | 0.789546 | 0.735098 | 0.720907 | 0.688312 | 0.675285 | 0.599502 | 0.599115,True,411,367,23,21,Plasma / Atomic physics / Physics,待主题范围审阅,NMF关键词主题,待主题范围审阅,395
N0021,20,Perovskite (structure) | Halide | Energy conversion efficiency | Perovskite solar cell | Chemical engineering | Iodide | Inorganic chemistry | Formamidinium | Crystallography | Hysteresis | Light-emitting diode | Planar | Tandem | Mesoscopic physics | Caesium,https://openalex.org/keywords/perovskite | https://openalex.org/keywords/halide | https://openalex.org/keywords/energy-conversion-efficiency | https://openalex.org/keywords/perovskite-solar-cell | https://openalex.org/keywords/chemical-engineering | https://openalex.org/keywords/iodide | https://openalex.org/keywords/inorganic-chemistry | https://openalex.org/keywords/formamidinium | https://openalex.org/keywords/crystallography | https://openalex.org/keywords/hysteresis | https://openalex.org/keywords/light-emitting-diode | https://openalex.org/keywords/planar | https://openalex.org/keywords/tandem | https://openalex.org/keywords/mesoscopic-physics | https://openalex.org/keywords/caesium,12.4706 | 2.40822 | 1.75644 | 1.29134 | 0.981502 | 0.914867 | 0.776129 | 0.565461 | 0.425733 | 0.39957 | 0.315065 | 0.297711 | 0.268916 | 0.165091 | 0.164412,True,653,454,78,121,Perovskite (structure) / Halide / Energy conversion efficiency,待主题范围审阅,NMF关键词主题,待主题范围审阅,623
N0022,21,Electronic engineering | Amplifier | CMOS | Voltage | Electrical engineering | Electronic circuit | Bandwidth (computing) | Wideband | Waveform | Oxide | Orthogonal frequency-division multiplexing | Channel (broadcasting) | Radio frequency | Chip | Metallurgy,https://openalex.org/keywords/electronic-engineering | https://openalex.org/keywords/amplifier | https://openalex.org/keywords/cmos | https://openalex.org/keywords/voltage | https://openalex.org/keywords/electrical-engineering | https://openalex.org/keywords/electronic-circuit | https://openalex.org/keywords/bandwidth | https://openalex.org/keywords/wideband | https://openalex.org/keywords/waveform | https://openalex.org/keywords/oxide | https://openalex.org/keywords/orthogonal-frequency-division-multiplexing | https://openalex.org/keywords/channel | https://openalex.org/keywords/radio-frequency | https://openalex.org/keywords/chip | https://openalex.org/keywords/metallurgy,9.24944 | 2.44766 | 2.28592 | 1.4859 | 1.15043 | 1.08656 | 1.01166 | 0.756072 | 0.74105 | 0.692564 | 0.668654 | 0.60795 | 0.592434 | 0.570152 | 0.561169,True,398,350,22,26,Electronic engineering / Amplifier / CMOS,待主题范围审阅,NMF关键词主题,待主题范围审阅,394
N0023,22,Nanoparticle | Nanotechnology | Chemical engineering | Magnetic nanoparticles | Iron oxide nanoparticles | Superparamagnetism | Colloidal gold | Perovskite (structure) | Colloid | Dispersity | Silver nanoparticle | Iron oxide | Magnetization | Nanomaterial-based catalyst | Zeta potential,https://openalex.org/keywords/nanoparticle | https://openalex.org/keywords/nanotechnology | https://openalex.org/keywords/chemical-engineering | https://openalex.org/keywords/magnetic-nanoparticles | https://openalex.org/keywords/iron-oxide-nanoparticles | https://openalex.org/keywords/superparamagnetism | https://openalex.org/keywords/colloidal-gold | https://openalex.org/keywords/perovskite | https://openalex.org/keywords/colloid | https://openalex.org/keywords/dispersity | https://openalex.org/keywords/silver-nanoparticle | https://openalex.org/keywords/iron-oxide | https://openalex.org/keywords/magnetization | https://openalex.org/keywords/nanomaterial-based-catalyst | https://openalex.org/keywords/zeta-potential,13.4509 | 2.77016 | 2.44013 | 0.822199 | 0.526161 | 0.434856 | 0.429148 | 0.365032 | 0.288652 | 0.25097 | 0.237798 | 0.227462 | 0.204619 | 0.202246 | 0.199827,True,170,136,19,15,Nanoparticle / Nanotechnology / Chemical engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,168
N0024,23,Automotive engineering | Powertrain | Engineering | Fuel efficiency | Traction (geology) | Electric motor | Battery (electricity) | Electric vehicle | Internal combustion engine | Brake | Propulsion | Regenerative brake | Power (physics) | Traction motor | Clutch,https://openalex.org/keywords/automotive-engineering | https://openalex.org/keywords/powertrain | https://openalex.org/keywords/engineering | https://openalex.org/keywords/fuel-efficiency | https://openalex.org/keywords/traction | https://openalex.org/keywords/electric-motor | https://openalex.org/keywords/battery | https://openalex.org/keywords/electric-vehicle | https://openalex.org/keywords/internal-combustion-engine | https://openalex.org/keywords/brake | https://openalex.org/keywords/propulsion | https://openalex.org/keywords/regenerative-brake | https://openalex.org/keywords/power | https://openalex.org/keywords/traction-motor | https://openalex.org/keywords/clutch,13.6256 | 1.13032 | 1.09872 | 0.888986 | 0.553036 | 0.546529 | 0.531824 | 0.531088 | 0.507436 | 0.474927 | 0.386187 | 0.351276 | 0.341517 | 0.318457 | 0.254349,True,318,271,29,18,Automotive engineering / Powertrain / Engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,319
